ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-25,2026-02-18,2026-03-25,2026-03-30,0.0886
2025-12-10,2025-02-18,2025-12-10,2025-12-15,0.0992
2025-09-24,2025-02-18,2025-09-24,2025-09-29,0.0918
2025-06-25,2025-02-18,2025-06-25,2025-06-30,0.0859
2025-03-26,2025-02-18,2025-03-26,2025-03-31,0.0808
2024-12-11,2024-02-19,2024-12-11,2024-12-16,0.0957
2024-09-25,2024-02-19,2024-09-25,2024-09-30,0.1675
2024-06-26,2024-02-19,2024-06-26,2024-07-01,0.1657
2024-03-20,2024-02-19,2024-03-21,2024-03-25,0.154
2023-12-28,2023-12-27,2023-12-29,2024-01-03,0.0069
2023-12-06,2023-03-15,2023-12-07,2023-12-11,0.1791
2023-09-20,2023-03-15,2023-09-21,2023-09-25,0.1531
2023-06-21,2023-03-15,2023-06-22,2023-06-26,0.1526
2023-03-22,2023-03-15,2023-03-23,2023-03-27,0.1441
2022-12-07,2022-02-18,2022-12-08,2022-12-12,0.1711
2022-09-21,2022-02-18,2022-09-22,2022-09-26,0.1439
2022-06-22,2022-02-18,2022-06-23,2022-06-27,0.1445
2022-03-23,2022-02-18,2022-03-24,2022-03-28,0.1201
2021-12-30,2021-12-29,2021-12-31,2022-01-04,0.0079
2021-12-08,2021-02-01,2021-12-09,2021-12-13,0.1621
2021-09-22,2021-02-01,2021-09-23,2021-09-27,0.1346
2021-06-23,2021-02-01,2021-06-24,2021-06-28,0.1252
2021-03-24,2021-02-01,2021-03-25,2021-03-29,0.1137
2020-12-10,2020-01-23,2020-12-11,2020-12-15,0.1473
2020-09-23,2020-01-23,2020-09-24,2020-09-28,0.1868
2020-06-24,2020-01-23,2020-06-25,2020-06-29,0.1242
2020-03-25,2020-01-23,2020-03-26,2020-03-30,0.1314
2019-12-12,,,,0.187
2019-09-25,,,,0.1378
2019-06-26,,,,0.1262
2019-03-20,,,,0.1246
2018-12-12,,,,0.116
2018-09-25,,,,0.1178
2018-06-26,,,,0.1225
2018-03-16,,,,0.0851
2017-12-27,,,,0.0053
2017-12-18,,,,0.0767
