date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2017-11-30,25.3700,26.1300,25.1100,26.0500,11.4520,3160595,0.0000
2017-12-29,26.0400,26.4800,25.6000,26.2600,11.5802,2807305,0.0820
2018-01-31,26.4000,28.1400,26.3300,27.6890,12.2104,4121158,0.0000
2018-02-28,27.6700,27.8090,24.8800,26.6600,11.7566,6271979,0.0000
2018-03-29,26.7100,27.5700,25.4500,26.0000,11.5017,3101329,0.0851
2018-04-30,25.9200,26.7300,25.1200,26.0500,11.5238,2230802,0.0000
2018-05-31,26.0300,27.0500,25.5750,26.7200,11.8202,1943644,0.0000
2018-06-29,26.8700,27.5900,26.5100,26.7750,11.8986,1699030,0.1225
2018-07-31,26.6800,27.9900,26.6000,27.7050,12.3119,1896392,0.0000
2018-08-31,27.7300,28.7600,27.5100,28.6300,12.7229,2966901,0.0000
2018-09-28,28.6000,29.0000,28.2900,28.6200,12.7708,1225283,0.1178
2018-10-31,28.7400,28.8200,25.5160,26.5700,11.8561,4247455,0.0000
2018-11-30,26.6800,27.5830,25.8150,27.1100,12.0970,6312137,0.0000
2018-12-31,27.5700,27.5700,22.9700,24.5200,10.9903,16011845,0.1160
2019-01-31,24.2000,26.6260,23.9500,26.5700,11.9091,5423247,0.0000
2019-02-28,26.6300,27.7485,26.4150,27.4700,12.3125,5643236,0.0000
2019-03-29,27.6500,28.1150,26.8500,27.8300,12.5299,3456884,0.1246
2019-04-30,28.0400,28.9900,28.0030,28.9500,13.0342,2645298,0.0000
2019-05-31,29.0200,29.0220,27.0950,27.1200,12.2103,3347996,0.0000
2019-06-28,27.1100,29.2000,26.8920,28.8730,13.0569,2172686,0.1262
2019-07-31,29.2200,29.7900,28.9970,29.3200,13.2591,1792571,0.0000
2019-08-30,29.3600,29.6120,27.7500,28.7900,13.0194,3021761,0.0000
2019-09-30,28.5800,29.7530,28.4700,29.1600,13.2488,1440774,0.1378
2019-10-31,29.2800,29.9100,28.0180,29.8000,13.5396,2010751,0.0000
2019-11-29,29.9600,31.0300,29.9480,30.9200,14.0485,1947043,0.0000
2019-12-31,30.9600,31.7600,30.2300,31.5700,14.4304,2273787,0.1870
2020-01-31,31.7700,32.6890,31.4100,31.6200,14.4533,3176727,0.0000
2020-02-28,31.7800,33.3500,28.0600,29.0400,13.2740,4529324,0.0000
2020-03-31,29.2600,30.8000,21.3000,25.0700,11.5222,14441540,0.1314
2020-04-30,24.1400,28.8100,23.7050,28.3200,13.0158,6358212,0.0000
2020-05-29,27.8500,30.1000,26.9700,29.8400,13.7144,5335324,0.0000
2020-06-30,29.8000,31.7900,29.1700,30.3500,14.0068,5433343,0.1242
2020-07-31,30.4700,32.2400,30.4000,32.1400,14.8329,4265970,0.0000
2020-08-31,32.3300,34.6400,32.2800,34.4700,15.9082,3438593,0.0000
2020-09-30,34.5200,35.3000,31.4400,32.9800,15.3101,3682206,0.1868
2020-10-30,33.2700,34.9400,31.9000,32.2263,14.9602,4630320,0.0000
2020-11-30,32.6100,36.2800,32.3320,36.0600,16.7399,3636498,0.0000
2020-12-31,36.4400,37.4400,36.1399,37.3900,17.4274,3785666,0.1473
