ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-25,2026-02-18,2026-03-25,2026-03-30,0.0758
2025-12-10,2025-02-18,2025-12-10,2025-12-15,0.1334
2025-09-24,2025-02-18,2025-09-24,2025-09-29,0.1258
2025-06-25,2025-02-18,2025-06-25,2025-06-30,0.1012
2025-03-26,2025-02-18,2025-03-26,2025-03-31,0.0776
2024-12-11,2024-02-19,2024-12-11,2024-12-16,0.1189
2024-09-25,2024-02-19,2024-09-25,2024-09-30,0.3176
2024-06-26,2024-02-19,2024-06-26,2024-07-01,0.2577
2024-03-20,2024-02-19,2024-03-21,2024-03-25,0.2584
2023-12-06,2023-03-10,2023-12-07,2023-12-11,0.3406
2023-09-20,2023-03-10,2023-09-21,2023-09-25,0.2596
2023-06-21,2023-03-10,2023-06-22,2023-06-26,0.2959
2023-03-22,2023-03-10,2023-03-23,2023-03-27,0.2348
2022-12-07,2022-02-18,2022-12-08,2022-12-12,0.3457
2022-09-21,2022-02-18,2022-09-22,2022-09-26,0.2805
2022-06-22,2022-02-18,2022-06-23,2022-06-27,0.2936
2022-03-23,2022-02-18,2022-03-24,2022-03-28,0.1748
2021-12-30,2021-12-29,2021-12-31,2022-01-04,0.0951
2021-12-08,2021-02-01,2021-12-09,2021-12-13,0.262
2021-09-22,2021-02-01,2021-09-23,2021-09-27,0.2805
2021-06-23,2021-02-01,2021-06-24,2021-06-28,0.1996
2021-03-24,2021-02-01,2021-03-25,2021-03-29,0.0754
2020-12-30,2020-12-29,2020-12-31,2021-01-05,0.0549
2020-12-10,2020-01-23,2020-12-11,2020-12-15,0.271
2020-09-23,2020-01-23,2020-09-24,2020-09-28,0.2026
2020-06-24,2020-01-23,2020-06-25,2020-06-29,0.1677
2020-03-25,2020-01-23,2020-03-26,2020-03-30,0.1957
2019-12-12,,,,0.3074
2019-09-25,,,,0.2309
2019-06-26,,,,0.1929
2019-03-20,,,,0.1615
2018-12-12,,,,0.256
2018-09-25,,,,0.1924
2018-06-26,,,,0.1345
2018-03-16,,,,0.1669
2017-12-18,,,,0.2473
2017-09-18,,,,0.1281
2017-06-19,,,,0.1648
2017-03-20,,,,0.1385
2016-12-19,,,,0.2566
2016-09-19,,,,0.1366
2016-06-20,,,,0.0973
2016-03-21,,,,0.1929
2015-12-21,,,,0.1738
2015-09-21,,,,0.1509
2015-06-22,,,,0.1582
2015-03-23,,,,0.1326
2014-12-22,,,,0.1468
2014-09-22,,,,0.1307
2014-06-23,,,,0.1696
2014-03-24,,,,0.1554
2013-12-23,,,,0.1177
2013-09-23,,,,0.1175
2013-06-24,,,,0.1384
2013-03-18,,,,0.1031
2012-12-24,,,,0.1866
2012-09-17,,,,0.0981
2012-06-18,,,,0.0925
2012-03-19,,,,0.0876
2011-12-19,,,,0.0734
2011-09-19,,,,0.0747
2011-06-20,,,,0.0829
2011-03-21,,,,0.0565
