ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-01,2026-01-13,2026-04-01,2026-04-08,0.0748
2026-03-02,2026-01-13,2026-03-02,2026-03-06,0.0707
2026-02-02,2026-01-13,2026-02-02,2026-02-06,0.0869
2025-12-19,2025-01-08,2025-12-19,2025-12-26,0.0769
2025-12-01,2025-01-08,2025-12-01,2025-12-05,0.072
2025-11-03,2025-01-08,2025-11-03,2025-11-07,0.0863
2025-10-01,2025-01-08,2025-10-01,2025-10-07,0.0762
2025-09-02,,,,0.0798
2025-08-01,2025-01-08,2025-08-01,2025-08-07,0.0896
2025-07-01,2025-01-08,2025-07-01,2025-07-08,0.0787
2025-06-02,2025-01-08,2025-06-02,2025-06-06,0.0874
2025-05-01,2025-01-08,2025-05-01,2025-05-07,0.0829
2025-04-01,2025-01-08,2025-04-01,2025-04-07,0.0842
2025-03-03,2025-01-08,2025-03-03,2025-03-07,0.0783
2025-02-03,2025-01-08,2025-02-03,2025-02-07,0.0964
2024-12-20,2024-01-09,2024-12-20,2024-12-27,0.0799
2024-12-02,2024-01-09,2024-12-02,2024-12-06,0.0811
2024-11-01,2024-01-09,2024-11-01,2024-11-07,0.0924
2024-10-01,2024-01-09,2024-10-01,2024-10-07,0.1571
2024-09-03,2024-01-09,2024-09-03,2024-09-09,0.1868
2024-08-01,2024-01-09,2024-08-01,2024-08-07,0.1755
2024-07-01,2024-01-09,2024-07-01,2024-07-08,0.1587
2024-06-03,2024-01-09,2024-06-03,2024-06-07,0.1845
2024-05-01,2024-01-09,2024-05-02,2024-05-07,0.1671
2024-04-01,2024-01-09,2024-04-02,2024-04-05,0.1664
2024-03-01,2024-01-09,2024-03-04,2024-03-07,0.1834
2024-02-01,2024-01-09,2024-02-02,2024-02-07,0.1768
2023-12-15,2023-01-10,2023-12-18,2023-12-21,0.1566
2023-12-01,2023-01-10,2023-12-04,2023-12-07,0.1807
2023-11-01,2023-01-10,2023-11-02,2023-11-07,0.1652
2023-10-02,2023-01-10,2023-10-03,2023-10-06,0.1626
2023-09-01,2023-01-10,2023-09-05,2023-09-08,0.1516
