date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,26.87,26.87,26.82,26.86,26.5624360434957,2513540,0.0,1.0
2025-11-24,26.88,26.89,26.86,26.88,26.5822144768862,2479304,0.0,1.0
2025-11-25,26.86,26.9287,26.86,26.92,26.6217713436673,2338216,0.0,1.0
2025-11-26,26.92,26.98,26.89,26.98,26.6811066438389,2270565,0.0,1.0
2025-11-28,26.98,26.98,26.91,26.91,26.611882126972,1513279,0.0,1.0
2025-12-01,26.76,26.77,26.72,26.73,26.5255492652223,4803023,0.0927,1.0
2025-12-02,26.73,26.75,26.72,26.74,26.5354727778543,2586451,0.0,1.0
2025-12-03,26.76,26.79,26.75,26.79,26.5850903410141,6881716,0.0,1.0
2025-12-04,26.77,26.77,26.74,26.76,26.5553198031182,7509824,0.0,1.0
2025-12-05,26.77,26.77,26.7,26.71,26.5057022399584,4314713,0.0,1.0
2025-12-08,26.7,26.705,26.63,26.67,26.4660081894306,5368277,0.0,1.0
2025-12-09,26.68,26.6899,26.62,26.63,26.4263141389027,3830388,0.0,1.0
2025-12-10,26.61,26.71,26.6032,26.71,26.4115018721493,5956028,0.0000,1.0
2025-12-11,26.75,26.76,26.68,26.69,26.3917253825408,3630248,0.0000,1.0
2025-12-12,26.65,26.655,26.62,26.65,26.3521724033238,3611627,0.0000,1.0
2025-12-15,26.69,26.69,26.63,26.63,26.3323959137153,3237319,0.0000,1.0
2025-12-16,26.6,26.66,26.5901,26.65,26.3521724033238,4227950,0.0000,1.0
2025-12-17,26.64,26.67,26.63,26.67,26.3719488929323,4307280,0.0000,1.0
2025-12-18,26.69,26.72,26.6401,26.71,26.4115018721493,4344755,0.0000,1.0
2025-12-19,26.53,26.53,26.47,26.48,26.3586986448946,7114039,0.1766,1.0
2025-12-22,26.48,26.48,26.44,26.46,26.3387902622323,3978885,0.0000,1.0
2025-12-23,26.41,26.48,26.4,26.47,26.3487444535635,3573687,0.0000,1.0
2025-12-24,26.5,26.53,26.49,26.52,26.3985154102192,2455276,0.0000,1.0
2025-12-26,26.54,26.55,26.5,26.51,26.3885612188881,2902466,0.0000,1.0
2025-12-29,26.54,26.55,26.53,26.55,26.4283779842127,2522437,0.0000,1.0
2025-12-30,26.53,26.56,26.52,26.54,26.4184237928815,2727114,0.0000,1.0
2025-12-31,26.51,26.55,26.49,26.49,26.3686528362258,5194901,0.0000,1.0
2026-01-02,26.5,26.5199,26.47,26.48,26.3586986448946,3356423,0.0000,1.0
2026-01-05,26.51,26.5599,26.49,26.55,26.4283779842127,3239314,0.0000,1.0
2026-01-06,26.54,26.55,26.5,26.53,26.4084696015504,4281637,0.0000,1.0
2026-01-07,26.57,26.6,26.545,26.58,26.4582405582062,4794562,0.0000,1.0
2026-01-08,26.53,26.55,26.52,26.53,26.4084696015504,2458081,0.0000,1.0
2026-01-09,26.53,26.58,26.52,26.55,26.4283779842127,5798648,0.0000,1.0
2026-01-12,26.55,26.58,26.54,26.56,26.4383321755439,4905860,0.0000,1.0
2026-01-13,26.59,26.6,26.56,26.59,26.4681947495373,8185858,0.0000,1.0
2026-01-14,26.61,26.65,26.6,26.6,26.4781489408685,5222722,0.0000,1.0
2026-01-15,26.62,26.63,26.57,26.57,26.448286366875,15722700,0.0000,1.0
2026-01-16,26.58,26.59,26.52,26.52,26.3985154102192,8929923,0.0000,1.0
2026-01-20,26.45,26.49,26.43,26.46,26.3387902622323,3921958,0.0000,1.0
2026-01-21,26.46,26.55,26.45,26.53,26.4084696015504,16853031,0.0000,1.0
2026-01-22,26.52,26.57,26.5,26.52,26.3985154102192,4288304,0.0000,1.0
2026-01-23,26.53,26.58,26.52,26.58,26.4582405582062,3153057,0.0000,1.0
2026-01-26,26.59,26.62,26.58,26.61,26.4881031321996,3962997,0.0000,1.0
2026-01-27,26.62,26.64,26.61,26.61,26.4881031321996,3287788,0.0000,1.0
2026-01-28,26.63,26.63,26.57,26.63,26.5080115148619,5732365,0.0000,1.0
2026-01-29,26.63,26.68,26.63,26.64,26.5179657061931,5184330,0.0000,1.0
2026-01-30,26.63,26.65,26.61,26.64,26.5179657061931,5414608,0.0000,1.0
2026-02-02,26.62,26.62,26.55,26.57,26.448286366875,7325232,0.0000,1.0
2026-02-03,26.57,26.61,26.57,26.6,26.4781489408685,4723838,0.0000,1.0
2026-02-04,26.57,26.6,26.56,26.58,26.4582405582062,3361546,0.0000,1.0
2026-02-05,26.62,26.65,26.59,26.65,26.5279198975242,4074392,0.0000,1.0
2026-02-06,26.66,26.67,26.63,26.67,26.5478282801865,3273397,0.0000,1.0
2026-02-09,26.65,26.7,26.65,26.7,26.57769085418,3660009,0.0000,1.0
2026-02-10,26.75,26.78,26.73,26.76,26.6374160021669,3413232,0.0000,1.0
2026-02-11,26.72,26.758,26.7,26.72,26.5975992368423,5787931,0.0000,1.0
2026-02-12,26.73,26.82,26.73,26.82,26.6971411501538,2838844,0.0000,1.0
2026-02-13,26.85,26.8679,26.82,26.84,26.7170495328162,3446704,0.0000,1.0
2026-02-17,26.83,26.84,26.8,26.82,26.6971411501538,2982539,0.0000,1.0
2026-02-18,26.81,26.83,26.79,26.8,26.6772327674915,3084435,0.0000,1.0
2026-02-19,26.79,26.84,26.79,26.81,26.6871869588227,3905309,0.0000,1.0
2026-02-20,26.83,26.835,26.75,26.81,26.6871869588227,3703655,0.0000,1.0
2026-02-23,26.82,26.8799,26.82,26.83,26.707095341485,2848335,0.0000,1.0
2026-02-24,26.84,26.85,26.81,26.83,26.707095341485,3961586,0.0000,1.0
2026-02-25,26.84,26.87,26.81,26.86,26.7369579154785,2648017,0.0000,1.0
2026-02-26,26.88,26.93,26.88,26.93,26.8066372547965,2851604,0.0000,1.0
2026-02-27,26.98,26.99,26.95,26.95,26.8265456374588,3374294,0.0000,1.0
2026-03-02,26.95,26.95,26.83,26.9,26.7767746808031,3300191,0.0000,1.0
2026-03-03,26.84,26.91,26.8201,26.87,26.7469121068096,4112762,0.0000,1.0
2026-03-04,26.87,26.87,26.8,26.8,26.6772327674915,7032870,0.0000,1.0
2026-03-05,26.77,26.83,26.76,26.81,26.6871869588227,5066935,0.0000,1.0
2026-03-06,26.84,26.92,26.815,26.85,26.7270037241473,4553467,0.0000,1.0
2026-03-09,26.87,26.93,26.8301,26.9,26.7767746808031,6576328,0.0000,1.0
2026-03-10,26.89,26.89,26.805,26.82,26.6971411501538,4056064,0.0000,1.0
2026-03-11,26.81,26.82,26.76,26.78,26.6573243848292,3518694,0.0000,1.0
2026-03-12,26.78,26.805,26.7001,26.75,26.6274618108358,4919867,0.0000,1.0
2026-03-13,26.73,26.74,26.67,26.7,26.57769085418,3332698,0.0000,1.0
2026-03-16,26.77,26.7757,26.72,26.76,26.6374160021669,3817702,0.0000,1.0
2026-03-17,26.83,26.87,26.8025,26.87,26.7469121068096,2793721,0.0000,1.0
2026-03-18,26.87,26.89,26.81,26.81,26.6871869588227,4463670,0.0000,1.0
2026-03-19,26.76,26.81,26.74,26.78,26.6573243848292,4913306,0.0000,1.0
2026-03-20,26.7,26.7,26.56,26.58,26.4582405582062,5387104,0.0000,1.0
2026-03-23,26.54,26.6099,26.5141,26.56,26.4383321755439,6268103,0.0000,1.0
2026-03-24,26.49,26.53,26.4345,26.47,26.3487444535635,6483144,0.0000,1.0
2026-03-25,26.55,26.55,26.5001,26.55,26.4283779842127,3352493,0.0000,1.0
2026-03-26,26.55,26.56,26.45,26.46,26.3387902622323,3554231,0.0000,1.0
2026-03-27,26.42,26.48,26.41,26.43,26.3089276882389,5724126,0.0000,1.0
2026-03-30,26.61,26.64,26.58,26.58,26.4582405582062,4153295,0.0000,1.0
2026-03-31,26.66,26.68,26.59,26.61,26.4881031321996,4782764,0.0000,1.0
2026-04-01,26.57,26.61,26.55,26.56,26.4656066597912,3091093,0.0274,1.0
2026-04-02,26.62,26.6899,26.6,26.68,26.5851801838565,3065215,0.0000,1.0
2026-04-06,26.65,26.69,26.6228,26.67,26.5752157235178,2834931,0.0000,1.0
2026-04-07,26.66,26.72,26.5801,26.69,26.5951446441953,3904260,0.0000,1.0
2026-04-08,26.75,26.75,26.673,26.7,26.6051091045341,2881524,0.0000,1.0
2026-04-09,26.69,26.74,26.66,26.71,26.6150735648729,7660212,0.0000,1.0
2026-04-10,26.73,26.75,26.7,26.73,26.6350024855504,3535055,0.0000,1.0
2026-04-13,26.75,26.8,26.7301,26.79,26.6947892475831,3862350,0.0000,1.0
2026-04-14,26.8,26.86,26.78,26.86,26.7645404699545,4316183,0.0000,1.0
2026-04-15,26.85,26.85,26.81,26.83,26.7346470889382,3837303,0.0000,1.0
2026-04-16,26.85,26.85,26.76,26.78,26.6848247872443,3399686,0.0000,1.0
2026-04-17,26.83,26.85,26.805,26.85,26.7545760096157,3370764,0.0000,1.0
2026-04-20,26.85,26.85,26.8,26.84,26.744611549277,3244292,0.0000,1.0
2026-04-21,26.81,26.825,26.765,26.78,26.6848247872443,3696939,0.0000,1.0
2026-04-22,26.86,26.86,26.82,26.82,26.7246826285994,3066222,0.0000,1.0
2026-04-23,26.85,26.8769,26.81,26.87,26.7745049302933,4382856,0.0000,1.0
2026-04-24,26.85,26.93,26.83,26.91,26.8143627716484,3191210,0.0000,1.0
2026-04-27,26.91,26.94,26.8933,26.91,26.8143627716484,14611747,0.0000,1.0
2026-04-28,26.91,26.91,26.86,26.91,26.8143627716484,2295188,0.0000,1.0
2026-04-29,26.88,26.88,26.805,26.83,26.7346470889382,3019321,0.0000,1.0
2026-04-30,26.85,26.8899,26.82,26.87,26.7745049302933,3310673,0.0000,1.0
2026-05-01,26.84,26.89,26.82,26.86,26.86,4210119,0.0958,1.0
2026-05-04,26.83,26.8363,26.77,26.8,26.8,3785652,0.0000,1.0
2026-05-05,26.8,26.815,26.77,26.78,26.78,2634857,0.0000,1.0
