date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2010-09-30,50.6100,51.6700,50.3000,51.2700,17.7273,436000,0.0000
2010-10-29,51.2200,52.7500,51.1800,52.3700,18.1113,541900,0.0103
2010-11-30,52.4800,52.8100,50.7300,51.4300,17.8001,679700,0.0408
2010-12-31,51.1100,51.2200,49.6100,50.5000,17.5281,683100,0.1444
2011-01-31,50.3400,50.9300,50.1500,50.5000,17.5281,637200,0.0000
2011-02-28,50.3600,51.0100,49.4190,50.8800,17.6651,1054000,0.0143
2011-03-31,50.7600,52.0500,50.7000,51.3600,17.8474,1467300,0.0450
2011-04-29,51.1800,55.2000,51.0900,52.4960,18.2919,952800,0.1402
2011-05-31,52.3600,52.6800,51.9610,52.5100,18.3534,909700,0.1622
2011-06-30,52.3200,53.1100,52.2500,52.5970,18.4867,908100,0.2938
2011-07-29,52.3800,54.4400,52.1800,54.3400,19.2006,900400,0.2777
2011-08-31,54.0900,56.4400,54.0270,54.5600,19.3710,1232400,0.2609
2011-09-30,54.5800,55.7200,54.3000,54.4300,19.3628,705300,0.1080
2011-10-31,54.6200,55.3700,53.9200,55.3600,19.7195,678600,0.0720
2011-11-30,55.6000,56.3300,55.1570,55.5700,19.8297,770900,0.0999
2011-12-30,55.4400,56.0400,55.1480,55.6200,19.8789,1230900,0.0877
2012-01-31,55.6000,56.8300,55.4180,56.8100,20.3042,1783500,0.0000
2012-02-29,56.7100,56.8900,56.0940,56.5400,20.2077,1067000,0.0000
2012-03-30,56.4300,56.5700,55.6500,55.9500,19.9969,1440800,0.0000
2012-04-30,56.1800,57.1300,55.7800,57.0300,20.3924,1223100,0.0264
2012-05-31,57.0000,58.0090,56.8080,57.9400,20.7602,1369200,0.1164
2012-06-29,57.9800,58.1300,57.1800,57.3800,20.6374,1056300,0.2196
2012-07-31,57.3000,58.2500,57.2660,58.2500,21.0181,1349000,0.1856
2012-08-31,58.2100,58.4200,56.7300,58.0100,20.9315,1488600,0.0000
2012-09-28,58.0000,58.6700,57.6800,58.3700,21.0614,1230300,0.0000
2012-10-31,58.3100,58.9300,57.9800,58.7700,21.2057,1025800,0.0000
2012-11-30,58.5900,59.0700,58.3900,58.9800,21.3176,1019500,0.0995
2012-12-31,58.7900,59.2900,58.2200,58.3000,21.1713,1674100,0.2771
2013-01-31,58.2500,58.3300,57.6100,57.8600,21.0115,1825100,0.0000
2013-02-28,58.0400,58.0660,57.4800,57.9210,21.0337,1434300,0.0000
2013-03-28,58.0000,58.1490,57.4500,58.0310,21.0736,1440000,0.0000
2013-04-30,58.1000,58.8690,57.9900,58.5600,21.2657,1301300,0.0000
2013-05-31,58.5100,58.5400,55.7300,56.0500,20.3727,1336800,0.0531
2013-06-28,55.7900,56.1700,52.1300,53.8100,19.5899,3016000,0.0899
2013-07-31,53.6300,54.6800,53.2400,54.2440,19.7479,1613700,0.0000
2013-08-30,54.0400,54.6500,52.6400,53.2100,19.3889,1786100,0.0485
2013-09-30,53.0400,54.1440,52.2400,54.0600,19.7286,719200,0.0805
2013-10-31,54.1100,54.6300,53.6810,54.3000,19.8310,664800,0.0405
2013-11-29,54.2000,54.2000,53.3200,53.6900,19.6226,491700,0.0394
2013-12-31,53.5700,53.5890,52.7500,52.7700,19.2863,1152200,0.0000
2014-01-31,52.9000,54.0500,52.7300,54.0100,19.7395,869100,0.0000
2014-02-28,54.0500,54.3200,53.5810,54.2300,19.8199,758700,0.0000
2014-03-31,54.3800,54.4500,53.5750,53.9500,19.7176,829700,0.0000
2014-04-30,53.8700,54.7900,53.6410,54.5820,19.9486,726100,0.0000
2014-05-30,54.6100,56.0399,54.6100,55.6400,20.3702,967300,0.0942
2014-06-30,55.4600,55.8000,54.7900,55.7000,20.4519,1008800,0.1618
2014-07-31,55.4400,55.9300,54.9500,55.5100,20.4386,1148200,0.1532
2014-08-29,55.4800,56.0700,55.3180,55.7200,20.5720,1093600,0.1519
2014-09-30,55.4400,55.4600,53.9601,54.1810,20.0361,1467818,0.0893
2014-10-31,54.3100,56.0100,54.2400,54.6300,20.2223,1780897,0.0547
2014-11-28,54.5800,54.8800,54.2600,54.7300,20.2594,1143034,0.0000
2014-12-31,54.8000,54.9947,53.7600,54.2400,20.0780,1702260,0.0000
2015-01-30,54.3200,55.9690,54.2800,55.9200,20.6999,2237565,0.0000
2015-02-27,55.8900,55.9799,54.1500,55.1800,20.4259,1425143,0.0000
2015-03-31,55.1300,55.4200,53.8950,54.9200,20.3297,1723995,0.0000
2015-04-30,55.1300,55.8400,55.0056,55.2900,20.4667,1849024,0.0000
2015-05-29,55.1500,55.1799,54.1006,54.7000,20.2483,1176686,0.0000
2015-06-30,54.7100,54.7200,53.5400,54.2100,20.0669,1332698,0.0000
2015-07-31,54.0000,54.7750,53.8700,54.4380,20.1513,1817670,0.0000
2015-08-31,54.4400,54.5500,53.5500,53.8800,19.9447,2042856,0.0000
2015-09-30,53.8700,53.9500,53.2301,53.6700,19.8670,1460849,0.0000
