ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-01,2026-01-15,2026-04-01,2026-04-08,0.1277
2026-03-02,2026-01-15,2026-03-02,2026-03-06,0.1066
2026-02-02,2026-01-15,2026-02-02,2026-02-06,0.148
2025-12-19,2025-01-08,2025-12-19,2025-12-26,0.127
2025-12-01,2025-01-08,2025-12-01,2025-12-05,0.0944
2025-11-03,2025-01-08,2025-11-03,2025-11-07,0.1208
2025-10-01,2025-01-08,2025-10-01,2025-10-07,0.1322
2025-09-02,,,,0.1148
2025-08-01,2025-01-08,2025-08-01,2025-08-07,0.1244
2025-07-01,2025-01-08,2025-07-01,2025-07-08,0.1191
2025-06-02,2025-01-08,2025-06-02,2025-06-06,0.1443
2025-05-01,2025-01-08,2025-05-01,2025-05-07,0.1213
2025-04-01,2025-03-31,2025-04-01,2025-04-07,0.1023
2025-03-03,2025-01-08,2025-03-03,2025-03-07,0.1052
2025-02-03,2025-01-08,2025-02-03,2025-02-07,0.1337
2024-12-20,2024-01-11,2024-12-20,2024-12-27,0.1156
2024-12-02,2024-01-11,2024-12-02,2024-12-06,0.1153
2024-11-01,2024-01-11,2024-11-01,2024-11-07,0.1355
2024-10-01,2024-01-11,2024-10-01,2024-10-07,0.1124
2024-09-03,2024-01-11,2024-09-03,2024-09-09,0.1183
2024-08-01,2024-01-11,2024-08-01,2024-08-07,0.1173
2024-07-01,2024-01-11,2024-07-01,2024-07-08,0.1131
2024-06-03,2024-01-11,2024-06-03,2024-06-07,0.1268
2024-05-01,2024-01-11,2024-05-02,2024-05-07,0.1205
2024-04-01,2024-01-11,2024-04-02,2024-04-05,0.1252
2024-03-01,2024-01-11,2024-03-04,2024-03-07,0.1105
2024-02-01,2024-01-11,2024-02-02,2024-02-07,0.1302
2023-12-15,2023-01-09,2023-12-18,2023-12-21,0.1109
2023-12-01,2023-01-09,2023-12-04,2023-12-07,0.1228
2023-11-01,2023-01-09,2023-11-02,2023-11-07,0.1112
2023-10-02,2023-01-09,2023-10-03,2023-10-06,0.1129
2023-09-01,2023-01-09,2023-09-05,2023-09-08,0.1185
2023-08-01,2023-01-09,2023-08-02,2023-08-07,0.0839
2023-07-03,2023-01-09,2023-07-05,2023-07-10,0.1196
2023-06-01,2023-01-09,2023-06-02,2023-06-07,0.1129
2023-05-01,2023-01-09,2023-05-02,2023-05-05,0.0893
2023-04-03,2023-01-09,2023-04-04,2023-04-10,0.1219
2023-03-01,2023-01-09,2023-03-02,2023-03-07,0.1096
2023-02-01,2023-01-09,2023-02-02,2023-02-07,0.1157
2022-12-16,2022-01-16,2022-12-19,2022-12-22,0.1032
2022-12-01,2022-01-16,2022-12-02,2022-12-07,0.092
2022-11-01,2022-01-16,2022-11-02,2022-11-07,0.0688
2022-10-03,2022-01-16,2022-10-04,2022-10-07,0.0929
2022-09-01,2022-01-16,2022-09-02,2022-09-08,0.0906
2022-08-01,2022-01-16,2022-08-02,2022-08-05,0.0802
2022-07-01,2022-01-16,2022-07-05,2022-07-08,0.1102
2022-06-01,2022-01-16,2022-06-02,2022-06-07,0.0763
2022-05-02,2022-01-16,2022-05-03,2022-05-06,0.0679
2022-04-01,2022-01-16,2022-04-04,2022-04-07,0.0805
2022-03-01,2022-01-16,2022-03-02,2022-03-07,0.0688
2022-02-01,2022-01-16,2022-02-02,2022-02-07,0.0842
2021-12-17,2021-02-24,2021-12-20,2021-12-23,0.0785
2021-12-01,2021-02-24,2021-12-02,2021-12-07,0.0742
2021-11-01,2021-10-29,2021-11-02,2021-11-05,0.0724
2021-10-01,2021-02-24,2021-10-04,2021-10-07,0.0804
2021-09-01,2021-02-24,2021-09-02,2021-09-08,0.0764
2021-08-02,2021-02-24,2021-08-03,2021-08-06,0.0737
2021-07-01,2021-02-24,2021-07-02,2021-07-08,0.0649
2021-06-01,2021-02-24,2021-06-02,2021-06-07,0.0617
2021-05-03,2021-02-24,2021-05-04,2021-05-07,0.0763
2021-04-01,2021-02-24,2021-04-05,2021-04-08,0.073
2021-03-01,2021-02-24,2021-03-02,2021-03-05,0.0667
2021-02-01,2021-01-29,2021-02-02,2021-02-05,0.0687
2020-12-17,2020-01-22,2020-12-18,2020-12-23,0.0625
2020-12-01,2020-01-22,2020-12-02,2020-12-07,0.0626
2020-11-02,2020-01-22,2020-11-03,2020-11-06,0.0716
2020-10-01,2020-01-22,2020-10-02,2020-10-07,0.0622
2020-09-01,2020-01-22,2020-09-02,2020-09-08,0.0652
2020-08-03,2020-01-22,2020-08-04,2020-08-07,0.0641
2020-07-01,2020-01-22,2020-07-02,2020-07-08,0.0697
2020-06-01,2020-01-22,2020-06-02,2020-06-05,0.0873
2020-05-01,2020-01-22,2020-05-04,2020-05-07,0.0773
2020-04-01,2020-01-22,2020-04-02,2020-04-07,0.0719
2020-03-02,2020-01-22,2020-03-03,2020-03-06,0.061
2020-02-03,2020-01-22,2020-02-04,2020-02-07,0.0738
2019-12-19,,,,0.0686
2019-12-02,,,,0.0793
2019-11-01,,,,0.0582
