date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2019-11-29,48.9800,49.1400,46.8200,48.8000,40.0028,329129,0.0582
2019-12-31,48.0800,49.2800,47.2100,47.2190,38.8266,201600,0.1479
2020-01-31,47.8800,50.7400,47.3590,50.7380,41.7201,309284,0.0000
2020-02-28,50.4400,54.1290,49.4500,54.0000,44.4671,515557,0.0738
2020-03-31,54.0000,62.2200,48.7450,57.4130,47.3314,1551406,0.0610
2020-04-30,58.5600,60.0000,56.7600,58.0300,47.8993,458148,0.0719
2020-05-29,58.1400,58.3400,56.1400,56.8700,47.0041,609481,0.0773
2020-06-30,56.3900,57.4020,53.3600,56.9500,47.1430,469751,0.0873
2020-07-31,56.6100,59.4000,56.2500,59.3200,49.1652,563024,0.0697
2020-08-31,58.7400,59.5600,55.9200,56.3360,46.7428,614302,0.0641
2020-09-30,56.2600,57.9800,56.0494,56.7175,47.1132,340272,0.0652
2020-10-30,56.4500,56.8810,54.5800,54.8300,45.5952,508892,0.0622
2020-11-30,55.1400,56.1900,53.7900,55.5900,46.2873,1092971,0.0716
2020-12-31,55.0600,55.3600,53.8000,54.7700,45.7091,1892208,0.1251
2021-01-29,54.4500,54.8900,52.1800,52.8800,44.1317,3393078,0.0000
2021-02-26,52.7600,52.9700,47.5300,49.8700,41.6738,2192719,0.0687
2021-03-31,49.0100,49.2500,46.5050,47.3200,39.5965,2479137,0.0667
2021-04-30,47.6100,49.0700,47.4100,48.3500,40.5202,1505794,0.0730
2021-05-28,48.3500,48.9650,47.2600,48.2500,40.5003,1215929,0.0763
2021-06-30,48.0500,50.6800,47.8800,50.1400,42.1406,1712415,0.0617
2021-07-30,50.0500,52.9500,49.9000,51.9200,43.6931,1941370,0.0649
2021-08-31,51.9100,52.6700,50.6400,51.7200,43.5862,648463,0.0737
2021-09-30,51.8100,52.5900,49.9500,50.1600,42.3340,1613854,0.0764
2021-10-29,50.3100,51.3100,49.1900,51.0700,43.1707,1745526,0.0804
2021-11-30,50.4700,52.4200,50.0200,52.3200,44.2905,2702719,0.0724
2021-12-31,51.9200,53.3700,50.6600,51.2200,43.4861,1301319,0.1527
2022-01-31,50.6400,50.7600,48.5320,49.2700,41.8306,1156862,0.0000
2022-02-28,49.2200,49.6000,46.7900,48.4600,41.2135,790936,0.0842
2022-03-31,48.5900,49.2500,44.4800,45.8700,39.0656,865260,0.0688
2022-04-29,45.1800,46.0775,41.5300,41.6700,35.5509,1265266,0.0805
2022-05-31,41.1700,41.8500,39.5200,40.8100,34.8749,1546534,0.0679
2022-06-30,40.9500,41.0100,38.0000,40.2203,34.4355,1024438,0.0763
2022-07-29,40.5500,41.6800,39.3000,41.1300,35.3103,620198,0.1102
2022-08-31,41.4100,42.1600,38.9200,39.2400,33.7522,678600,0.0802
2022-09-30,38.5400,38.7573,35.4600,36.0100,31.0469,1533969,0.0906
2022-10-31,36.5100,36.7400,32.6500,33.9900,29.3799,1969102,0.0929
2022-11-30,34.4600,36.6094,33.1100,36.2300,31.3791,2525420,0.0688
2022-12-30,36.5000,38.4300,35.2200,35.2400,30.6808,1826145,0.1952
2023-01-31,36.1700,38.2800,35.7100,37.8200,32.9270,1645317,0.0000
2023-02-28,37.8900,38.4700,35.4400,35.8600,31.3154,1551400,0.1157
2023-03-31,35.5600,38.2800,34.9000,37.4600,32.8140,2325530,0.1096
2023-04-28,37.3800,38.3100,36.5576,37.5300,32.9820,2175259,0.1219
2023-05-31,37.1500,37.6080,35.3800,36.4000,32.0672,1632586,0.0893
2023-06-30,36.4600,36.6300,35.6450,36.2900,32.0695,2061821,0.1129
2023-07-31,36.2100,36.3100,34.9300,35.3500,31.3426,3470140,0.1196
2023-08-31,35.0100,35.0100,32.8650,34.2500,30.4406,3392412,0.0839
2023-09-29,34.0000,34.0100,31.1700,31.6800,28.2555,5481022,0.1185
2023-10-31,31.3100,31.5700,29.6200,30.0000,26.8543,4574313,0.1129
