ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-25,2026-02-18,2026-03-25,2026-03-30,0.1413
2025-12-10,2025-02-18,2025-12-10,2025-12-15,0.1652
2025-09-24,2025-02-18,2025-09-24,2025-09-29,0.1477
2025-06-25,2025-02-18,2025-06-25,2025-06-30,0.1454
2025-03-26,2025-02-18,2025-03-26,2025-03-31,0.1412
2024-12-11,2024-02-19,2024-12-11,2024-12-16,0.1654
2024-09-25,2024-02-19,2024-09-25,2024-09-30,0.4339
2024-06-26,2024-02-19,2024-06-26,2024-07-01,0.4376
2024-03-20,2024-02-19,2024-03-21,2024-03-25,0.3941
2023-12-06,2023-03-10,2023-12-07,2023-12-11,0.4816
2023-09-20,2023-03-10,2023-09-21,2023-09-25,0.4192
2023-06-21,2023-03-10,2023-06-22,2023-06-26,0.4048
2023-03-22,2023-03-10,2023-03-23,2023-03-27,0.3887
2022-12-07,2022-02-18,2022-12-08,2022-12-12,0.4646
2022-09-21,2022-02-18,2022-09-22,2022-09-26,0.4005
2022-06-22,2022-02-18,2022-06-23,2022-06-27,0.386
2022-03-23,2022-02-18,2022-03-24,2022-03-28,0.3162
2021-12-30,2021-12-29,2021-12-31,2022-01-04,0.007
2021-12-08,2021-02-01,2021-12-09,2021-12-13,0.4105
2021-09-22,2021-02-01,2021-09-23,2021-09-27,0.357
2021-06-23,2021-02-01,2021-06-24,2021-06-28,0.349
2021-03-24,2021-02-01,2021-03-25,2021-03-29,0.2899
2020-12-10,2020-01-23,2020-12-11,2020-12-15,0.3795
2020-09-23,2020-01-23,2020-09-24,2020-09-28,0.6509
2020-06-24,2020-01-23,2020-06-25,2020-06-29,0.3562
2020-03-25,2020-01-23,2020-03-26,2020-03-30,0.4183
2019-12-12,,,,0.6173
2019-09-25,,,,0.4117
2019-06-26,,,,0.401
2019-03-20,,,,0.3833
2018-12-12,,,,0.407
2018-09-25,,,,0.3988
2018-06-26,,,,0.3643
2018-03-16,,,,0.3316
2017-12-18,,,,0.3665
2017-09-18,,,,0.3212
2017-06-19,,,,0.3084
2017-03-20,,,,0.3005
2016-12-19,,,,0.4327
2016-09-19,,,,0.2397
2016-06-20,,,,0.2871
2016-03-21,,,,0.3141
2015-12-21,,,,0.3048
2015-09-21,,,,0.278
2015-06-22,,,,0.2907
2015-03-23,,,,0.268
2014-12-22,,,,0.2867
2014-09-22,,,,0.2562
2014-06-23,,,,0.2574
2014-03-24,,,,0.2504
2013-12-23,,,,0.2724
2013-09-23,,,,0.2038
2013-06-24,,,,0.2324
2013-03-18,,,,0.1782
2012-12-24,,,,0.2966
2012-09-17,,,,0.2122
2012-06-18,,,,0.2168
2012-03-19,,,,0.2049
2011-12-19,,,,0.1962
2011-09-19,,,,0.1937
2011-06-20,,,,0.1865
2011-03-21,,,,0.1672
2010-12-20,,,,0.1794
2010-09-20,,,,0.18
2010-06-21,,,,0.15
2010-03-22,,,,0.14
2009-12-23,,,,0.04
