date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2010-01-29,25.4300,26.1500,24.6000,24.6650,5.3841,861800,0.0000
2010-02-26,24.8000,25.4100,23.9000,25.2570,5.5133,595400,0.0000
2010-03-31,25.3300,26.8700,25.3000,26.6070,5.8387,706300,0.1400
2010-04-30,26.8400,27.7300,26.6880,27.1470,5.9572,1148500,0.0000
2010-05-28,27.2600,27.5000,20.6400,25.0500,5.4970,1361700,0.0000
2010-06-30,24.8700,25.7900,23.6480,23.6780,5.2267,1936100,0.1500
2010-07-30,23.6600,25.7400,23.2680,25.3200,5.5891,838200,0.0000
2010-08-31,25.6700,25.9600,24.1000,24.3560,5.3763,709600,0.0000
2010-09-30,24.7000,26.2500,24.7000,25.9300,5.7633,732200,0.1800
2010-10-29,26.1400,26.9600,25.8200,26.7200,5.9388,914300,0.0000
2010-11-30,26.9000,27.6800,26.4300,26.5800,5.9077,794100,0.0000
2010-12-31,26.9900,28.3600,26.9340,28.2520,6.3197,1196700,0.1794
2011-01-31,28.5500,29.2800,28.3660,28.9100,6.4669,1190400,0.0000
2011-02-28,29.1300,30.2300,29.1300,29.9820,6.7067,1635400,0.0000
2011-03-31,30.1300,30.4300,28.3500,29.8620,6.7180,2690800,0.1672
2011-04-29,30.0600,30.7600,29.3500,30.7400,6.9155,900500,0.0000
2011-05-31,30.9400,30.9400,29.6900,30.3720,6.8327,1519000,0.0000
2011-06-30,30.3600,30.3600,28.5300,29.6600,6.7155,1434000,0.1865
2011-07-29,29.6700,30.2780,28.6100,28.7500,6.5095,895300,0.0000
2011-08-31,29.2300,29.2300,24.6800,27.3100,6.1835,2746300,0.0000
2011-09-30,27.3700,27.5490,24.8000,25.5000,5.8155,1154400,0.1937
2011-10-31,25.3300,28.9000,24.1500,28.0000,6.3857,2524800,0.0000
2011-11-30,27.3100,28.4600,25.9200,27.8980,6.3624,1642800,0.0000
2011-12-30,27.8300,28.7300,27.0700,28.4900,6.5444,1799500,0.1962
2012-01-31,28.9600,29.7900,28.5600,29.2300,6.7143,2062200,0.0000
2012-02-29,29.4400,30.5900,29.4220,30.3300,6.9670,988200,0.0000
2012-03-30,30.3800,31.3800,29.8740,31.1800,7.2094,1696500,0.2049
2012-04-30,31.1800,31.4500,29.9200,30.9770,7.1624,1267600,0.0000
2012-05-31,31.0000,31.3800,28.9500,29.2860,6.7714,1436000,0.0000
