date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,90.985,91.2,89.345,90.51,90.2020119098256,8270231,0.0,1.0
2025-11-24,90.65,90.895,89.64,90.52,90.2119778817524,9966463,0.0,1.0
2025-11-25,90.29,91.14,89.5,90.74,90.4312292641429,8979630,0.0,1.0
2025-11-26,91.0,92.37,90.945,91.8,91.4876222883879,6697413,0.0,1.0
2025-11-28,91.85,93.24,91.575,92.73,92.414457677584,6707777,0.0,1.0
2025-12-01,92.03,93.205,91.82,92.69,92.3745937898767,7974749,0.0,1.0
2025-12-02,92.8,93.115,92.025,92.07,91.7567035304126,10610606,0.0,1.0
2025-12-03,92.02,94.02,91.6,93.99,93.6701701403658,9688422,0.0,1.0
2025-12-04,94.12,95.405,93.96,95.03,94.7066312207571,8367642,0.0,1.0
2025-12-05,94.7,95.615,93.79,93.82,93.5007486176095,9043199,0.0,1.0
2025-12-08,93.64,94.42,92.75,94.28,93.9591833262442,8329244,0.0,1.0
2025-12-09,94.08,95.77,94.01,94.16,93.8395916631221,6332217,0.0,1.0
2025-12-10,94.36,96.38,94.07,95.81,95.4839770310506,8522089,0.0000,1.0
2025-12-11,95.56,97.09,94.86,97.05,96.7197575499787,10564871,0.0000,1.0
2025-12-12,96.99,97.4,94.375,96.65,96.3211186729052,13406804,0.0000,1.0
2025-12-15,96.73,97.16,94.51,95.28,94.9557805189281,9842825,0.0000,1.0
2025-12-16,95.3,96.44,95.03,96.0,95.6733304976606,9624500,0.0000,1.0
2025-12-17,96.57,97.2,95.82,96.61,96.2812547851978,10929773,0.0000,1.0
2025-12-18,96.9,97.377,95.92,97.23,96.8991450446619,9627525,0.0000,1.0
2025-12-19,97.4,99.5297,97.2232,98.82,98.4837345810294,23213359,0.0000,1.0
2025-12-22,99.56,101.739,99.05,101.41,101.064921310081,9307852,0.0000,1.0
2025-12-23,101.52,102.05,100.9,101.18,100.835703955764,5727504,0.0000,1.0
2025-12-24,101.35,102.11,100.89,101.85,101.503424074862,2859495,0.0000,1.0
2025-12-26,101.87,102.28,101.535,101.89,101.543287962569,2778050,0.0000,1.0
2025-12-29,101.71,101.8,101.22,101.31,100.965261590812,7958179,0.0000,1.0
2025-12-30,101.58,101.65,100.32,100.55,100.207847724373,3943358,0.0000,1.0
2025-12-31,100.8,100.91,99.89,99.91,99.5700255210549,4380624,0.0000,1.0
2026-01-02,99.77,101.83,99.41,101.57,101.22437686091,8409449,0.0000,1.0
2026-01-05,101.74,104.44,101.74,103.74,103.386992769034,9206456,0.0000,1.0
2026-01-06,104.34,104.76,103.52,103.57,103.217571246278,7285768,0.0000,1.0
2026-01-07,103.87,103.95,101.84,101.93,101.583151850276,7352322,0.0000,1.0
2026-01-08,102.28,102.49,101.14,101.34,100.995159506593,6500650,0.0000,1.0
2026-01-09,101.34,101.6199,100.14,100.17,99.8291407911527,6839943,0.0000,1.0
2026-01-12,100.24,102.28,100.05,101.9,101.553253934496,8849833,0.0000,1.0
2026-01-13,101.99,102.26,100.39,101.18,100.835703955764,7029369,0.0000,1.0
2026-01-14,100.86,101.94,99.6,101.92,101.57318587835,6642980,0.0000,1.0
2026-01-15,102.2,103.595,102.005,102.76,102.410327520204,8317687,0.0000,1.0
2026-01-16,102.64,104.98,102.64,103.82,103.466720544449,10868163,0.0000,1.0
2026-01-20,102.31,103.45,100.9,100.99,100.646350489154,12526244,0.0000,1.0
2026-01-21,101.33,104.8299,99.69,101.79,101.443628243301,17879526,0.0000,1.0
2026-01-22,103.07,105.81,103.01,104.05,103.695937898766,13539541,0.0000,1.0
2026-01-23,103.67,104.08,101.24,102.18,101.832301148447,8712678,0.0000,1.0
2026-01-26,102.52,103.685,102.465,102.94,102.589715014887,7357490,0.0000,1.0
2026-01-27,102.57,104.1,102.245,103.72,103.367060825181,8816042,0.0000,1.0
2026-01-28,103.57,103.785,102.745,103.47,103.11791152701,7531046,0.0000,1.0
2026-01-29,104.18,104.98,102.685,103.47,103.11791152701,10033918,0.0000,1.0
2026-01-30,103.35,104.855,102.88,103.92,103.566380263718,11335562,0.0000,1.0
2026-02-02,103.73,105.19,103.09,105.17,104.812126754573,9897222,0.0000,1.0
2026-02-03,105.22,105.72,102.435,103.73,103.377026797108,13334334,0.0000,1.0
2026-02-04,103.755,105.04,102.96,103.88,103.52651637601,10779784,0.0000,1.0
2026-02-05,103.93,103.93,101.571,102.0,101.652913653764,9683409,0.0000,1.0
2026-02-06,103.25,105.28,103.0,105.08,104.722433007231,7527617,0.0000,1.0
2026-02-09,104.84,107.27,104.78,107.21,106.845185027648,10178066,0.0000,1.0
2026-02-10,107.0,107.5,97.01,99.25,98.9122713738835,40420215,0.0000,1.0
2026-02-11,100.91,101.15,95.09,95.45,95.1252020416844,25148857,0.0000,1.0
2026-02-12,96.0,96.47,92.8,95.08,94.7564610803913,24881847,0.0000,1.0
2026-02-13,94.06,94.52,93.01,93.72,93.72,12653698,0.3200,1.0
2026-02-17,94.23,94.47,92.3,93.08,93.08,11250945,0.0000,1.0
2026-02-18,93.91,95.86,93.5,95.38,95.38,16285165,0.0000,1.0
2026-02-19,94.86,94.885,93.06,93.87,93.87,13403161,0.0000,1.0
2026-02-20,93.37,94.2331,92.73,94.03,94.03,8491813,0.0000,1.0
2026-02-23,93.51,93.92,91.28,92.75,92.75,11226893,0.0000,1.0
