ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-02-13,2026-01-29,2026-02-13,2026-02-27,0.32
2025-11-14,2025-10-23,2025-11-14,2025-11-28,0.27
2025-08-08,2025-07-24,2025-08-08,2025-08-22,0.27
2025-05-09,2025-04-24,2025-05-09,2025-05-23,0.27
2025-02-14,2025-01-29,2025-02-14,2025-02-28,0.27
2024-11-08,2024-10-23,2024-11-08,2024-11-22,0.25
2024-08-09,2024-07-24,2024-08-09,2024-08-23,0.25
2024-05-09,2024-04-24,2024-05-10,2024-05-24,0.25
2024-02-08,2024-01-24,2024-02-09,2024-02-23,0.25
2023-11-09,2023-10-19,2023-11-10,2023-11-24,0.25
2023-08-10,2023-07-27,2023-08-11,2023-08-25,0.25
2023-05-11,2023-04-26,2023-05-12,2023-05-26,0.25
2023-02-09,2023-01-26,2023-02-10,2023-02-24,0.25
2022-11-09,2022-10-26,2022-11-11,2022-11-25,0.22
2022-08-11,2022-07-27,2022-08-12,2022-08-26,0.22
2022-05-12,2022-04-27,2022-05-13,2022-05-27,0.2
2022-02-10,2022-01-26,2022-02-11,2022-02-25,0.2
2021-11-10,2021-10-26,2021-11-12,2021-11-26,0.18
2021-08-12,2021-07-21,2021-08-13,2021-08-27,0.18
2021-05-13,2021-04-27,2021-05-14,2021-05-28,0.18
2021-02-11,2021-01-27,2021-02-12,2021-02-26,0.18
2020-11-12,,,,0.18
2020-08-06,2020-07-23,2020-08-07,2020-08-28,0.18
2020-05-07,,,,0.18
2020-02-13,,,,0.18
2019-11-07,,,,0.17
2019-08-08,,,,0.17
2019-05-14,,,,0.17
2019-02-13,,,,0.17
2018-11-08,,,,0.13
2018-08-09,,,,0.13
2018-05-10,,,,0.1
2018-02-08,,,,0.1
2017-11-09,,,,0.08
2017-08-09,,,,0.08
2017-05-10,,,,0.08
2017-02-08,,,,0.08
2016-11-09,,,,0.07
2016-08-10,,,,0.07
2016-05-11,,,,0.07
2016-02-10,,,,0.06
2015-11-04,,,,0.06
2015-08-05,,,,0.06
2015-05-06,,,,0.06
2015-02-05,,,,0.06
2014-11-05,,,,0.06
2014-08-06,,,,0.06
2014-05-07,,,,0.06
2014-02-05,,,,0.06
2013-11-06,,,,0.06
2013-08-07,,,,0.06
2013-05-08,,,,0.06
2013-02-06,,,,0.06
2012-11-07,,,,0.06
2012-08-08,,,,0.06
2012-05-09,,,,0.06
2012-02-08,,,,0.06
2011-11-08,,,,0.06
2011-08-10,,,,0.06
2011-05-04,,,,0.06
2011-02-09,,,,0.06
2010-11-09,,,,0.06
2010-08-11,,,,0.06
2010-05-05,,,,0.06
2010-02-10,,,,0.06
2009-11-10,,,,0.06
2009-08-12,,,,0.06
2009-05-06,,,,0.06
2009-02-11,,,,0.06
2008-11-12,,,,0.06
2008-08-06,,,,0.06
2008-05-07,,,,0.05
2008-02-06,,,,0.05
2007-11-07,,,,0.05
2007-07-20,,,,1.05
2007-05-09,,,,0.05
2007-02-07,,,,0.05
2006-11-06,,,,0.05
2006-08-04,,,,0.03
2006-05-04,,,,0.03
2006-02-06,,,,0.025
2005-11-07,,,,0.025
2005-08-05,,,,0.022
2005-05-05,,,,0.022
2005-02-07,,,,0.02
2004-11-03,,,,0.02
2004-08-03,,,,0.02
2004-05-03,,,,0.02
2004-02-03,,,,0.014
2003-11-05,,,,0.014
2003-08-05,,,,0.014
2003-05-05,,,,0.011
2003-02-05,,,,0.011
2002-11-06,,,,0.011
2002-08-06,,,,0.011
2002-05-06,,,,0.011
2002-02-06,,,,0.011
2001-11-07,,,,0.011
2001-08-07,,,,0.011
2001-05-07,,,,0.011
2001-02-07,,,,0.011
2000-11-08,,,,0.011
2000-08-08,,,,0.011
2000-05-08,,,,0.014
2000-02-08,,,,0.014
1999-11-09,,,,0.014
1999-08-10,,,,0.014
1999-05-10,,,,0.028
1999-02-10,,,,0.028
