date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,25.84,26.21,25.655,26.0,25.8498143540413,42940719,0.0,1.0
2025-11-24,26.15,26.43,26.095,26.4,26.247503805642,21449763,0.0,1.0
2025-11-25,26.37,26.685,26.215,26.65,26.4960597128924,19818600,0.0,1.0
2025-11-26,26.74,26.91,26.72,26.83,26.6750199661126,19326018,0.0,1.0
2025-11-28,26.87,27.0,26.86,27.0,26.8440379830429,11537433,0.0,1.0
2025-12-01,26.8,26.97,26.79,26.87,26.7147889112727,25932802,0.0,1.0
2025-12-02,26.93,27.01,26.83,26.91,26.7545578564328,28801146,0.0,1.0
2025-12-03,26.86,27.0599,26.8435,27.02,26.8639224556229,19075016,0.0,1.0
2025-12-04,27.05,27.0601,26.9214,27.05,26.893749164493,22937000,0.0,1.0
2025-12-05,27.08,27.2,27.04,27.09,26.9335181096531,22546326,0.0,1.0
2025-12-08,27.12,27.125,26.9264,27.0,26.8440379830429,19022565,0.0,1.0
2025-12-09,26.98,27.08,26.965,26.98,26.8241535104629,15936642,0.0,1.0
2025-12-10,26.88,27.15,26.8386,27.09,27.0136525341506,22008377,0.0806,1.0
2025-12-11,26.99,27.16,26.88,27.16,27.0834552538771,22095715,0.0000,1.0
2025-12-12,27.11,27.15,26.75,26.85,26.7743289236598,22396064,0.0000,1.0
2025-12-15,27.0,27.01,26.7435,26.8,26.7244698381409,28213284,0.0000,1.0
2025-12-16,26.74,26.82,26.57,26.73,26.6546671184144,26816868,0.0000,1.0
2025-12-17,26.75,26.79,26.41,26.43,26.3555126053008,31868999,0.0000,1.0
2025-12-18,26.68,26.8,26.5601,26.62,26.5449771302727,29748768,0.0000,1.0
2025-12-19,26.71,26.9,26.71,26.88,26.8042443749711,17697702,0.0000,1.0
2025-12-22,27.01,27.08,26.9701,27.06,26.9837370828392,10984005,0.0000,1.0
2025-12-23,27.01,27.17,27.01,27.17,27.0934270709809,8845562,0.0000,1.0
2025-12-24,27.17,27.27,27.16,27.25,27.1732016078111,4482012,0.0000,1.0
2025-12-26,27.25,27.3,27.2,27.25,27.1732016078111,8150866,0.0000,1.0
2025-12-29,27.14,27.21,27.08,27.16,27.0834552538771,10661749,0.0000,1.0
2025-12-30,27.14,27.18,27.1,27.12,27.0435679854619,8036093,0.0000,1.0
2025-12-31,27.12,27.14,26.9,26.91,26.8341598262825,13444864,0.0000,1.0
2026-01-02,27.06,27.1,26.835,26.97,26.8939907289052,23666860,0.0000,1.0
2026-01-05,27.11,27.24,27.1,27.17,27.0934270709809,13160816,0.0000,1.0
2026-01-06,27.18,27.36,27.1691,27.34,27.2629479617452,13832717,0.0000,1.0
2026-01-07,27.34,27.4186,27.2346,27.24,27.1632297907073,14889912,0.0000,1.0
2026-01-08,27.22,27.29,27.16,27.25,27.1732016078111,20193192,0.0000,1.0
2026-01-09,27.28,27.46,27.225,27.42,27.3427224985755,15890119,0.0000,1.0
2026-01-12,27.27,27.5,27.27,27.47,27.3925815840944,10184873,0.0000,1.0
2026-01-13,27.48,27.5,27.31,27.41,27.3327506814717,16769093,0.0000,1.0
2026-01-14,27.31,27.33,27.11,27.27,27.1931452420187,22523375,0.0000,1.0
2026-01-15,27.45,27.48,27.32,27.37,27.2928634130565,19184812,0.0000,1.0
2026-01-16,27.42,27.43,27.27,27.33,27.2529761446414,14522411,0.0000,1.0
2026-01-20,26.94,27.061,26.74,26.78,26.7045262039333,25380718,0.0000,1.0
2026-01-21,26.86,27.2099,26.7901,27.08,27.0036807170468,30813202,0.0000,1.0
2026-01-22,27.25,27.3,27.14,27.22,27.1432861564998,20172414,0.0000,1.0
2026-01-23,27.19,27.289,27.145,27.22,27.1432861564998,17809037,0.0000,1.0
2026-01-26,27.26,27.4,27.2499,27.35,27.272919778849,12709894,0.0000,1.0
2026-01-27,27.4,27.5,27.37,27.46,27.3826097669906,9004980,0.0000,1.0
2026-01-28,27.52,27.54,27.3801,27.43,27.3526943156792,18728522,0.0000,1.0
2026-01-29,27.47,27.5,27.01,27.38,27.3028352301603,28496004,0.0000,1.0
2026-01-30,27.27,27.3599,27.075,27.24,27.1632297907073,31050842,0.0000,1.0
2026-02-02,27.16,27.45,27.15,27.4,27.3227788643679,17365333,0.0000,1.0
2026-02-03,27.44,27.4565,26.935,27.17,27.0934270709809,29358610,0.0000,1.0
2026-02-04,27.19,27.23,26.845,27.03,26.9538216315279,34204606,0.0000,1.0
2026-02-05,26.83,26.9301,26.62,26.68,26.6048080328954,31497832,0.0000,1.0
2026-02-06,26.84,27.29,26.825,27.24,27.1632297907073,17105430,0.0000,1.0
2026-02-09,27.18,27.44,27.135,27.38,27.3028352301603,16633312,0.0000,1.0
2026-02-10,27.4,27.48,27.28,27.3,27.2230606933301,17586318,0.0000,1.0
2026-02-11,27.48,27.5,27.165,27.29,27.2130888762263,21109000,0.0000,1.0
2026-02-12,27.37,27.42,26.82,26.85,26.7743289236598,26141118,0.0000,1.0
2026-02-13,26.87,27.06,26.705,26.88,26.8042443749711,26509067,0.0000,1.0
2026-02-17,26.82,27.01,26.64,26.93,26.85410346049,27681350,0.0000,1.0
2026-02-18,26.99,27.19,26.924,27.07,26.993708899943,15889586,0.0000,1.0
2026-02-19,26.97,27.065,26.885,27.01,26.9338779973203,22477802,0.0000,1.0
2026-02-20,26.92,27.205,26.9,27.18,27.1033988880846,21895343,0.0000,1.0
2026-02-23,27.11,27.19,26.8,26.89,26.8142161920749,20641233,0.0000,1.0
2026-02-24,26.86,27.13,26.8,27.1,27.0236243512544,15075875,0.0000,1.0
2026-02-25,27.2,27.3499,27.2,27.33,27.2529761446414,10637741,0.0000,1.0
2026-02-26,27.33,27.33,26.99,27.19,27.1133707051884,30728979,0.0000,1.0
2026-02-27,26.93,27.08,26.8727,27.06,26.9837370828392,36694509,0.0000,1.0
