ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-25,2026-02-18,2026-03-25,2026-03-30,0.0732
2025-12-10,2025-02-18,2025-12-10,2025-12-15,0.0806
2025-09-24,2025-02-18,2025-09-24,2025-09-29,0.0732
2025-06-25,2025-02-18,2025-06-25,2025-06-30,0.0721
2025-03-26,2025-02-18,2025-03-26,2025-03-31,0.0668
2024-12-11,2024-02-19,2024-12-11,2024-12-16,0.0792
2024-09-25,2024-02-19,2024-09-25,2024-09-30,0.2066
2024-06-26,2024-02-19,2024-06-26,2024-07-01,0.2061
2024-03-20,2024-02-19,2024-03-21,2024-03-25,0.1958
2023-12-06,2023-03-15,2023-12-07,2023-12-11,0.2236
2023-09-20,2023-03-15,2023-09-21,2023-09-25,0.1922
2023-06-21,2023-03-15,2023-06-22,2023-06-26,0.1895
2023-03-22,2023-03-15,2023-03-23,2023-03-27,0.1798
2022-12-07,2022-02-18,2022-12-08,2022-12-12,0.2124
2022-09-21,2022-02-18,2022-09-22,2022-09-26,0.1889
2022-06-22,2022-02-18,2022-06-23,2022-06-27,0.1867
2022-03-23,2022-02-18,2022-03-24,2022-03-28,0.1511
2021-12-30,2021-12-29,2021-12-31,2022-01-04,0.0204
2021-12-08,2021-02-01,2021-12-09,2021-12-13,0.4124
2021-09-22,2021-02-01,2021-09-23,2021-09-27,0.3405
2021-06-23,2021-02-01,2021-06-24,2021-06-28,0.3229
2021-03-24,2021-02-01,2021-03-25,2021-03-29,0.2868
2020-12-10,2020-01-23,2020-12-11,2020-12-15,0.3689
2020-09-23,2020-01-23,2020-09-24,2020-09-28,0.4851
2020-06-24,2020-01-23,2020-06-25,2020-06-29,0.2999
2020-03-25,2020-01-23,2020-03-26,2020-03-30,0.3383
2019-12-12,,,,0.4665
2019-09-25,,,,0.3313
2019-06-26,,,,0.3145
2019-03-20,,,,0.288
2018-12-12,,,,0.33
2018-09-25,,,,0.3099
2018-06-26,,,,0.2993
2018-03-16,,,,0.2675
2017-12-18,,,,0.3014
2017-09-18,,,,0.2784
2017-06-19,,,,0.2653
2017-03-20,,,,0.2406
2016-12-19,,,,0.356
2016-09-19,,,,0.1818
2016-06-20,,,,0.2405
2016-03-21,,,,0.2469
2015-12-21,,,,0.2528
2015-09-21,,,,0.2449
2015-06-22,,,,0.2747
2015-03-23,,,,0.2165
2014-12-22,,,,0.2292
2014-09-22,,,,0.2116
2014-06-23,,,,0.2183
2014-03-24,,,,0.2051
2013-12-23,,,,0.2049
2013-09-23,,,,0.1867
2013-06-24,,,,0.1866
2013-03-18,,,,0.15
2012-12-24,,,,0.2513
2012-09-17,,,,0.1766
2012-06-18,,,,0.1619
2012-03-19,,,,0.1479
2011-12-19,,,,0.1563
2011-09-19,,,,0.1429
2011-06-20,,,,0.1382
2011-03-21,,,,0.1256
2010-12-20,,,,0.1304
2010-09-20,,,,0.14
2010-06-21,,,,0.09
2010-03-22,,,,0.1
2009-12-23,,,,0.05
