ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-25,2026-02-18,2026-03-25,2026-03-30,0.1818
2025-12-11,2025-02-18,2025-12-11,2025-12-16,0.3199
2025-09-24,2025-02-18,2025-09-24,2025-09-29,0.2495
2025-06-25,2025-02-18,2025-06-25,2025-06-30,0.3486
2025-03-26,2025-02-18,2025-03-26,2025-03-31,0.1402
2024-12-13,2024-12-12,2024-12-13,2024-12-18,0.2907
2024-09-25,2024-02-19,2024-09-25,2024-09-30,0.2749
2024-06-26,2024-02-19,2024-06-26,2024-07-01,0.3466
2024-03-20,2024-02-19,2024-03-21,2024-03-25,0.1598
2023-12-06,2023-03-15,2023-12-07,2023-12-11,0.6874
2023-06-21,2023-03-15,2023-06-22,2023-06-26,0.29
2022-12-07,2022-02-18,2022-12-08,2022-12-12,0.5855
2022-06-22,2022-02-18,2022-06-23,2022-06-27,0.2375
2021-12-30,2021-12-29,2021-12-31,2022-01-04,0.0097
2021-12-08,2021-12-07,2021-12-09,2021-12-13,0.3846
2021-06-23,2021-06-22,2021-06-24,2021-06-28,0.0501
