date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,23.51,23.5399,23.46,23.5,23.1102963065507,1925309,0.0,1.0
2025-11-24,23.53,23.55,23.5101,23.55,23.1594671497561,1479053,0.0,1.0
2025-11-25,23.57,23.62,23.5601,23.6,23.2086379929615,2213547,0.0,1.0
2025-11-26,23.58,23.63,23.55,23.62,23.2283063302437,1317812,0.0,1.0
2025-11-28,23.62,23.6399,23.57,23.58,23.1889696556793,821848,0.0,1.0
2025-12-01,23.41,23.4299,23.37,23.42,23.103904096934,1409140,0.0735,1.0
2025-12-02,23.43,23.455,23.41,23.45,23.1334991918489,1636352,0.0,1.0
2025-12-03,23.47,23.5199,23.45,23.48,23.1630942867638,1875341,0.0,1.0
2025-12-04,23.46,23.46,23.42,23.44,23.1236341602106,1153894,0.0,1.0
2025-12-05,23.44,23.44,23.38,23.41,23.0940390652956,2212791,0.0,1.0
2025-12-08,23.41,23.41,23.33,23.36,23.0447139071041,1531157,0.0,1.0
2025-12-09,23.41,23.41,23.34,23.35,23.0348488754657,1831350,0.0,1.0
2025-12-10,23.34,23.43,23.34,23.43,23.0353910362871,1852456,0.0000,1.0
2025-12-11,23.46,23.4799,23.41,23.42,23.0255594566728,1281246,0.0000,1.0
2025-12-12,23.36,23.3699,23.34,23.35,22.9567383993728,1457612,0.0000,1.0
2025-12-15,23.4,23.4118,23.36,23.37,22.9764015586013,1383591,0.0000,1.0
2025-12-16,23.37,23.43,23.365,23.43,23.0353910362871,1516367,0.0000,1.0
2025-12-17,23.41,23.4295,23.39,23.42,23.0255594566728,2112288,0.0000,1.0
2025-12-18,23.46,23.48,23.4401,23.47,23.0747173547443,1687498,0.0000,1.0
2025-12-19,23.39,23.39,23.35,23.36,23.0422731420171,1833284,0.0770,1.0
2025-12-22,23.36,23.36,23.33,23.35,23.0324091552269,2094231,0.0000,1.0
2025-12-23,23.31,23.36,23.3,23.35,23.0324091552269,1898405,0.0000,1.0
2025-12-24,23.37,23.4,23.36,23.4,23.0817290891781,935072,0.0000,1.0
2025-12-26,23.43,23.45,23.39,23.42,23.1014570627586,1771679,0.0000,1.0
2025-12-29,23.42,23.44,23.41,23.44,23.1211850363391,1914866,0.0000,1.0
2025-12-30,23.42,23.44,23.39,23.42,23.1014570627586,1527843,0.0000,1.0
2025-12-31,23.4,23.42,23.36,23.37,23.0521371288074,2483764,0.0000,1.0
2026-01-02,23.39,23.3999,23.35,23.37,23.0521371288074,1373153,0.0000,1.0
2026-01-05,23.37,23.41,23.36,23.4,23.0817290891781,1948842,0.0000,1.0
2026-01-06,23.38,23.4,23.35,23.4,23.0817290891781,1679097,0.0000,1.0
2026-01-07,23.44,23.4499,23.4,23.42,23.1014570627586,1594534,0.0000,1.0
2026-01-08,23.39,23.4,23.37,23.39,23.0718651023878,2456012,0.0000,1.0
2026-01-09,23.4,23.46,23.39,23.44,23.1211850363391,2100693,0.0000,1.0
2026-01-12,23.42,23.4452,23.4,23.43,23.1113210495488,2715017,0.0000,1.0
2026-01-13,23.46,23.46,23.41,23.45,23.1310490231293,11527503,0.0000,1.0
2026-01-14,23.46,23.49,23.45,23.49,23.1705049702903,1348238,0.0000,1.0
2026-01-15,23.5,23.5,23.45,23.45,23.1310490231293,1458786,0.0000,1.0
2026-01-16,23.45,23.4599,23.4,23.41,23.0915930759683,1453594,0.0000,1.0
2026-01-20,23.33,23.36,23.3124,23.33,23.0126811816464,2135464,0.0000,1.0
2026-01-21,23.35,23.4499,23.33,23.39,23.0718651023878,3634134,0.0000,1.0
