ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-01,2026-01-15,2026-04-01,2026-04-08,0.0785
2026-03-02,2026-01-15,2026-03-02,2026-03-06,0.0772
2026-02-02,2026-01-15,2026-02-02,2026-02-06,0.085
2025-12-19,2025-01-08,2025-12-19,2025-12-26,0.077
2025-12-01,2025-01-08,2025-12-01,2025-12-05,0.0735
2025-11-03,2025-01-08,2025-11-03,2025-11-07,0.0843
2025-10-01,2025-01-08,2025-10-01,2025-10-07,0.0776
2025-09-02,,,,0.0758
2025-08-01,2025-01-08,2025-08-01,2025-08-07,0.0843
2025-07-01,2025-01-08,2025-07-01,2025-07-08,0.0763
2025-06-02,2025-01-08,2025-06-02,2025-06-06,0.0824
2025-05-01,2025-01-08,2025-05-01,2025-05-07,0.0786
2025-04-01,2025-03-31,2025-04-01,2025-04-07,0.0741
2025-03-03,2025-01-08,2025-03-03,2025-03-07,0.0758
2025-02-03,2025-01-08,2025-02-03,2025-02-07,0.0868
2024-12-20,2024-01-11,2024-12-20,2024-12-27,0.081
2024-12-02,2024-01-11,2024-12-02,2024-12-06,0.0726
2024-11-01,2024-01-11,2024-11-01,2024-11-07,0.0807
2024-10-01,2024-01-11,2024-10-01,2024-10-07,0.1399
2024-09-03,2024-01-11,2024-09-03,2024-09-09,0.1607
2024-08-01,2024-01-11,2024-08-01,2024-08-07,0.1503
2024-07-01,2024-01-11,2024-07-01,2024-07-08,0.1373
2024-06-03,2024-01-11,2024-06-03,2024-06-07,0.1619
2024-05-01,2024-01-11,2024-05-02,2024-05-07,0.1414
2024-04-01,2024-01-11,2024-04-02,2024-04-05,0.1462
2024-03-01,2024-01-11,2024-03-04,2024-03-07,0.1396
2024-02-01,2024-01-11,2024-02-02,2024-02-07,0.1527
2023-12-15,2023-01-27,2023-12-18,2023-12-21,0.1334
2023-12-01,2023-01-27,2023-12-04,2023-12-07,0.1467
2023-11-01,2023-01-27,2023-11-02,2023-11-07,0.1321
2023-10-02,2023-01-27,2023-10-03,2023-10-06,0.1394
2023-09-01,2023-01-27,2023-09-05,2023-09-08,0.1339
2023-08-01,2023-01-27,2023-08-02,2023-08-07,0.1203
2023-07-03,2023-01-27,2023-07-05,2023-07-10,0.1297
2023-06-01,2023-01-27,2023-06-02,2023-06-07,0.122
2023-05-01,2023-01-27,2023-05-02,2023-05-05,0.1118
2023-04-03,2023-01-27,2023-04-04,2023-04-10,0.1263
2023-03-01,2023-01-27,2023-03-02,2023-03-07,0.1139
2023-02-01,2023-01-27,2023-02-02,2023-02-07,0.1198
2022-12-16,2022-01-13,2022-12-19,2022-12-22,0.1094
2022-12-01,2022-01-13,2022-12-02,2022-12-07,0.1057
2022-11-01,2022-01-13,2022-11-02,2022-11-07,0.0969
2022-10-03,2022-01-13,2022-10-04,2022-10-07,0.112
