date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2011-08-31,50.1300,51.5200,50.1300,51.1600,17.4494,795400,0.0316
2011-09-30,51.1800,51.9000,51.0700,51.3800,17.5496,900600,0.0736
2011-10-31,51.4300,51.4700,50.7300,51.3800,17.5699,1141700,0.0596
2011-11-30,51.6000,51.6000,51.0200,51.2000,17.5312,1470400,0.0673
2011-12-30,51.1000,52.4200,50.9400,51.7000,17.7571,1309700,0.1582
2012-01-31,51.6800,52.1300,51.4000,52.1300,17.9048,2185500,0.0000
2012-02-29,52.0600,52.0900,51.5470,52.0100,17.8894,1154800,0.0750
2012-03-30,51.8400,51.9900,50.9600,51.4900,17.7359,1408300,0.0744
2012-04-30,51.4700,52.0300,51.2600,52.0100,17.9459,1269000,0.0884
2012-05-31,51.9500,52.4700,51.8400,52.3800,18.1083,1051300,0.1000
2012-06-29,52.1600,52.4700,52.1000,52.3600,18.1347,1549800,0.0965
2012-07-31,52.1900,52.9700,52.0600,52.9500,18.3712,1686300,0.0916
2012-08-31,52.8500,52.9300,52.1400,52.7800,18.3424,2127400,0.0871
2012-09-28,52.7400,53.1200,52.3000,52.8100,18.3863,982300,0.0959
2012-10-31,52.8300,52.8700,52.3900,52.7200,18.3881,1056900,0.0953
2012-11-30,52.6300,52.8900,52.5360,52.8400,18.4620,1919900,0.0915
2012-12-31,52.6900,52.8400,52.3000,52.3380,18.3462,2439100,0.1711
2013-01-31,52.3100,52.3800,51.9700,52.1000,18.2628,1938300,0.0000
2013-02-28,52.0900,52.3400,51.9400,52.2300,18.3383,1530900,0.0851
2013-03-28,52.2400,52.2510,51.8500,52.2290,18.3672,1318000,0.0831
2013-04-30,52.1500,52.7800,52.1200,52.6700,18.5519,2193600,0.0835
2013-05-31,52.6600,52.6900,51.5110,51.6260,18.2092,2034800,0.0725
2013-06-28,51.5500,51.6190,49.9400,50.5420,17.8539,1735100,0.0779
2013-07-31,50.5300,50.8600,49.9900,50.8100,17.9765,1642900,0.0787
2013-08-30,50.6700,50.8600,49.9200,50.4050,17.8627,1441300,0.0836
2013-09-30,50.1500,50.8740,49.7700,50.8300,18.0449,1231500,0.0880
2013-10-31,50.6700,51.3000,50.5500,51.1400,18.1868,1406800,0.0888
2013-11-29,51.0200,51.0200,50.5610,50.8500,18.1155,1078400,0.0897
2013-12-31,50.6900,51.8300,50.2300,50.2900,17.9800,1687600,0.1800
2014-01-31,50.3900,51.1900,50.2700,51.1600,18.2911,1774400,0.0000
2014-02-28,51.0700,51.3200,50.9600,51.2900,18.3700,1891500,0.0906
2014-03-31,51.2400,51.3600,50.8600,51.0450,18.3134,1998000,0.0871
2014-04-30,51.0100,51.5400,50.8700,51.3300,18.4474,2473200,0.0879
2014-05-30,51.3700,52.1400,51.3110,51.9700,18.7071,1925700,0.0818
2014-06-30,51.8400,51.9300,51.4910,51.9000,18.7129,2173300,0.0861
2014-07-31,51.8000,51.9500,51.4920,51.5730,18.6271,2751600,0.0893
2014-08-29,51.6200,52.2100,51.5401,52.1300,18.8608,2471900,0.0893
2014-09-30,52.0200,52.0200,51.4310,51.7670,18.7619,3460165,0.0898
2014-10-31,51.7700,52.9250,51.7000,52.0531,18.8971,5080334,0.0863
2014-11-28,52.0400,52.3900,51.9010,52.3600,19.0402,3217900,0.0869
2014-12-31,52.4500,52.5830,51.9550,52.3600,19.1083,4899766,0.1864
2015-01-30,52.3400,53.3900,52.3400,53.2600,19.4368,5089149,0.0000
2015-02-27,53.2600,53.2600,52.3410,52.8250,19.3129,3737979,0.0964
2015-03-31,52.8200,53.0500,52.0910,52.9100,19.3768,4688252,0.0892
2015-04-30,52.9300,53.1500,52.5300,52.6900,19.3276,4645389,0.0861
2015-05-29,52.5100,52.5500,51.9980,52.3900,19.2497,3199884,0.0875
2015-06-30,52.3300,52.3400,51.4400,51.7300,19.0395,3649132,0.0887
2015-07-31,51.5500,52.0790,51.3700,52.0700,19.1982,4021782,0.0901
2015-08-31,52.0200,52.4670,51.7500,51.8100,19.1379,6927530,0.0968
2015-09-30,51.8500,52.1500,51.5600,52.1400,19.2905,6601212,0.0828
2015-10-30,52.0900,52.3400,51.9600,52.0800,19.3016,6130088,0.0899
2015-11-30,51.9800,51.9800,51.3800,51.7800,19.2253,6212540,0.0942
2015-12-31,51.7300,51.8800,51.2700,51.5000,19.1892,7532589,0.1831
2016-01-29,51.5000,52.2299,51.4500,52.1600,19.4352,8885832,0.0000
2016-02-29,52.1000,52.6490,51.9100,52.4601,19.5821,6377899,0.0933
2016-03-31,52.4100,52.8600,52.1100,52.8200,19.7524,7855774,0.0953
2016-04-29,52.8100,53.0200,52.6000,52.9490,19.8359,11341956,0.0938
2016-05-31,52.8400,53.0900,52.6620,52.8100,19.8201,6362139,0.0966
2016-06-30,52.8400,53.7418,52.7100,53.7200,20.1955,10070898,0.0885
2016-07-29,53.7500,54.1000,53.5000,53.9200,20.3054,11406492,0.0921
2016-08-31,53.7600,53.8200,53.4800,53.7300,20.2699,7477942,0.0956
2016-09-30,53.5500,53.7800,53.2400,53.6700,20.2850,5185274,0.1001
2016-10-31,53.5500,53.5500,52.9900,53.0700,20.0975,5350586,0.1046
2016-11-30,52.9100,53.1300,51.5600,51.7400,19.6285,8272172,0.0938
2016-12-30,51.4900,51.6900,51.1500,51.5000,19.6139,11668442,0.2011
2017-01-31,51.4200,51.9500,51.4100,51.6700,19.6787,9001013,0.0000
2017-02-28,51.4800,52.0000,51.4100,51.9000,19.8071,6484559,0.1063
2017-03-31,51.6500,51.8900,51.1000,51.7900,19.8043,8298622,0.1021
2017-04-28,51.7200,52.3050,51.6900,52.0900,19.9608,7613598,0.1088
2017-05-31,51.9700,52.3790,51.7300,52.3600,20.1017,6151351,0.0968
2017-06-30,52.2100,52.6000,52.2000,52.2500,20.0992,7514454,0.1036
2017-07-31,52.1400,52.4501,51.9000,52.3700,20.1879,6940177,0.1101
2017-08-31,52.2300,52.7400,52.2130,52.7300,20.3645,7218040,0.0973
2017-09-29,52.5700,52.8200,52.2900,52.3600,20.2622,5962882,0.1055
2017-10-31,52.3200,52.4100,51.9900,52.2600,20.2658,5993225,0.1092
2017-11-30,52.1400,52.3500,52.0000,52.1000,20.2438,5953705,0.1033
2017-12-29,52.0300,52.3300,51.8200,52.0400,20.3008,13733092,0.2066
2018-01-31,52.0500,52.0500,51.3500,51.4400,20.0667,12615395,0.0000
2018-02-28,51.3700,51.3700,50.6200,50.8200,19.8704,11436671,0.1176
2018-03-29,50.7700,51.0500,50.5900,51.0200,19.9917,7856367,0.1097
2018-04-30,50.9200,51.0300,50.2800,50.5400,19.8491,8139512,0.1172
2018-05-31,50.4400,50.8700,50.0700,50.7000,19.9563,7608601,0.1120
2018-06-29,50.5600,50.6600,50.2800,50.6400,19.9780,6913623,0.1152
2018-07-31,50.5300,50.7200,50.3900,50.4800,19.9630,8536992,0.1220
2018-08-31,50.3500,50.8300,50.2900,50.7100,20.0988,7326930,0.1126
2018-09-28,50.5300,50.5600,50.1000,50.2500,19.9684,6909732,0.1316
2018-10-31,50.1500,50.2100,49.6500,49.7800,19.8242,12181474,0.1080
2018-11-30,49.6000,49.9400,49.4700,49.9100,19.9249,14338369,0.1220
2018-12-31,49.8000,50.6200,49.7900,50.5900,20.2483,19328033,0.1282
2019-01-31,50.6700,51.1700,50.5600,51.1600,20.4764,18919024,0.0000
2019-02-28,51.0000,51.1700,50.7800,50.9800,20.4561,18052973,0.1290
2019-03-29,50.8200,51.9300,50.7200,51.8800,20.8677,12520916,0.1230
2019-04-30,51.6800,51.7203,51.4000,51.7200,20.8546,13121187,0.1270
2019-05-31,51.5800,52.5100,51.4400,52.4000,21.1797,8395197,0.1245
2019-06-28,52.4300,53.0400,52.3600,53.0000,21.4773,8894453,0.1350
2019-07-31,52.9100,53.0800,52.6400,52.9900,21.5204,10052351,0.1160
2019-08-30,52.9300,54.3800,52.9300,54.2800,22.0962,10542052,0.1254
2019-09-30,54.1600,54.3100,53.1300,53.8500,21.9745,9557017,0.1318
2019-10-31,53.6000,54.1500,53.4000,53.8500,22.0214,11216016,0.1149
2019-11-29,53.7300,53.8000,53.1000,53.6800,22.0023,9640477,0.1233
2019-12-31,53.4900,53.8000,53.2600,53.4300,21.9987,10914789,0.2409
2020-01-31,53.5400,54.5000,53.4100,54.5000,22.4393,13639919,0.0000
2020-02-28,54.2800,55.2400,54.0500,55.1900,22.7790,16136549,0.1331
2020-03-31,55.2900,56.7200,50.1000,54.2700,22.4462,42670629,0.1154
2020-04-30,54.6300,55.9100,54.1600,55.7800,23.1219,20235613,0.1206
2020-05-29,55.6900,56.0000,55.1400,55.9900,23.2582,14324806,0.1179
2020-06-30,55.8000,56.2500,55.3900,56.2400,23.4089,17110821,0.1121
2020-07-31,56.0600,56.9200,55.9400,56.9000,23.7310,17456036,0.1120
2020-08-31,56.7300,56.9761,56.0500,56.2900,23.5257,15267032,0.1189
2020-09-30,56.1600,56.5467,56.0400,56.0800,23.4807,13685713,0.1027
2020-10-30,55.9700,56.1200,55.6300,55.6300,23.3372,16302981,0.1081
2020-11-30,55.7300,56.2457,55.5000,56.2300,23.6362,17050487,0.1116
2020-12-31,56.0400,56.0700,55.7658,56.0300,23.6396,19680801,0.2074
2021-01-29,55.9800,56.0200,55.2910,55.6500,23.4792,20169420,0.0000
2021-02-26,55.5400,55.6000,54.1000,54.6900,23.1183,18943406,0.1063
2021-03-31,54.5200,54.6000,53.6400,53.9500,22.8473,17450198,0.0998
2021-04-30,53.9500,54.4800,53.8607,54.2700,23.0256,20840600,0.1006
2021-05-28,54.1800,54.4600,53.8615,54.2500,23.0611,11990583,0.1035
2021-06-30,54.1300,54.6500,54.0500,54.6000,23.2492,12836155,0.0919
2021-07-30,54.5100,55.2800,54.4001,55.0900,23.4995,13431744,0.0968
2021-08-31,55.0100,55.2900,54.5500,54.9200,23.4688,10801864,0.0983
2021-09-30,54.8900,55.0300,54.0100,54.2600,23.2255,11390078,0.0915
2021-10-29,54.2700,54.3900,53.8000,54.2000,23.2395,12999296,0.0931
2021-11-30,54.0000,54.8200,53.3900,54.2200,23.2885,23349659,0.0939
2021-12-31,54.0400,54.4500,53.7300,53.9000,23.2323,17397042,0.1898
2022-01-31,53.6800,53.6800,52.5800,52.7200,22.7237,36389834,0.0000
2022-02-28,52.7100,52.8550,51.4900,52.0800,22.4903,22609548,0.0996
2022-03-31,52.1900,52.4600,49.9810,50.5700,21.8767,26652616,0.0921
2022-04-29,50.1100,50.4400,48.4000,48.4700,21.0073,21672834,0.0938
2022-05-31,48.2200,49.1500,47.8200,48.7400,21.1673,25838227,0.0979
2022-06-30,48.7000,48.7600,46.5500,47.8700,20.8297,24262509,0.0938
2022-07-29,47.9100,49.1700,47.6100,49.0500,21.3908,19622148,0.1074
2022-08-31,49.1200,49.1500,47.4144,47.4300,20.7225,15289816,0.0907
2022-09-30,47.1500,47.3800,44.9100,45.3100,19.8384,23955074,0.1004
2022-10-31,45.5300,45.9800,43.8600,44.6900,19.6150,22429092,0.1120
2022-11-30,44.8700,46.2900,44.2250,46.2500,20.3438,21257460,0.0969
2022-12-30,46.2900,47.1500,45.6500,45.6500,20.1725,22463067,0.2151
2023-01-31,46.1200,47.5200,45.8400,47.2500,20.8795,28375360,0.0000
2023-02-28,47.1500,47.6000,45.6400,45.8400,20.3077,19322620,0.1198
2023-03-31,45.6000,47.3100,45.2400,46.9100,20.8338,18387194,0.1139
2023-04-28,46.7200,47.4700,46.4500,47.0600,20.9566,11437669,0.1263
2023-05-31,46.8000,47.2650,45.7800,46.3800,20.7034,11849091,0.1118
2023-06-30,46.4000,46.4900,45.8800,46.1600,20.6594,12525428,0.1220
