date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,100.6,100.6,100.59,100.6,99.099670369397,16446851,0.0,1.0
2025-11-24,100.61,100.62,100.61,100.61,99.1095212312628,15830786,0.0,1.0
2025-11-25,100.63,100.63,100.62,100.63,99.1292229549943,19115046,0.0,1.0
2025-11-26,100.64,100.65,100.64,100.64,99.13907381686,11948523,0.0,1.0
2025-11-28,100.67,100.68,100.66,100.67,99.1686264024573,24417508,0.0,1.0
2025-12-01,100.38,100.38,100.37,100.38,99.1911907866469,29025592,0.3129,1.0
2025-12-02,100.39,100.4,100.39,100.4,99.210953924879,14362577,0.0,1.0
2025-12-03,100.41,100.415,100.41,100.41,99.220835493995,15531580,0.0,1.0
2025-12-04,100.42,100.43,100.42,100.43,99.2405986322271,13689588,0.0,1.0
2025-12-05,100.45,100.46,100.45,100.46,99.2702433395751,17918107,0.0,1.0
2025-12-08,100.46,100.46,100.45,100.46,99.2702433395751,16329231,0.0,1.0
2025-12-09,100.47,100.475,100.47,100.47,99.2801249086911,10823463,0.0,1.0
2025-12-10,100.48,100.48,100.47,100.47,98.9864286948006,12234937,0.0000,1.0
2025-12-11,100.49,100.5,100.49,100.49,99.0061333685728,22343472,0.0000,1.0
2025-12-12,100.52,100.53,100.52,100.53,99.0455427161173,13320203,0.0000,1.0
2025-12-15,100.53,100.54,100.53,100.53,99.0455427161173,14767906,0.0000,1.0
2025-12-16,100.55,100.55,100.54,100.54,99.0553950530034,10701203,0.0000,1.0
2025-12-17,100.55,100.56,100.55,100.56,99.0750997267756,13788228,0.0000,1.0
2025-12-18,100.57,100.57,100.56,100.56,99.0750997267756,20890620,0.0000,1.0
2025-12-19,100.28,100.28,100.27,100.28,99.1175100961356,18203554,0.3230,1.0
2025-12-22,100.28,100.29,100.28,100.28,99.1175100961356,17890913,0.0000,1.0
2025-12-23,100.3,100.3,100.29,100.29,99.1273941717335,12256199,0.0000,1.0
2025-12-24,100.32,100.32,100.31,100.31,99.1471623229294,7791305,0.0000,1.0
2025-12-26,100.34,100.345,100.34,100.34,99.1768145497232,12664284,0.0000,1.0
2025-12-29,100.35,100.36,100.35,100.36,99.1965827009191,17350182,0.0000,1.0
2025-12-30,100.365,100.37,100.36,100.37,99.206466776517,12608916,0.0000,1.0
2025-12-31,100.39,100.39,100.38,100.38,99.216350852115,13910871,0.0000,1.0
2026-01-02,100.41,100.42,100.41,100.41,99.2460030789088,19188771,0.0000,1.0
2026-01-05,100.42,100.425,100.42,100.42,99.2558871545067,25006563,0.0000,1.0
2026-01-06,100.43,100.43,100.43,100.43,99.2657712301047,17634991,0.0000,1.0
2026-01-07,100.44,100.44,100.44,100.44,99.2756553057026,14062286,0.0000,1.0
2026-01-08,100.45,100.45,100.45,100.45,99.2855393813006,11408769,0.0000,1.0
2026-01-09,100.48,100.48,100.47,100.47,99.3053075324964,15053503,0.0000,1.0
2026-01-12,100.48,100.49,100.48,100.49,99.3250756836923,14819410,0.0000,1.0
2026-01-13,100.49,100.5,100.49,100.5,99.3349597592902,14162972,0.0000,1.0
2026-01-14,100.51,100.51,100.5,100.51,99.3448438348882,11851802,0.0000,1.0
2026-01-15,100.51,100.52,100.51,100.52,99.3547279104861,11469519,0.0000,1.0
2026-01-16,100.55,100.56,100.545,100.56,99.3942642128779,14766771,0.0000,1.0
2026-01-20,100.56,100.57,100.56,100.56,99.3942642128779,18954552,0.0000,1.0
2026-01-21,100.565,100.58,100.56,100.56,99.3942642128779,17502067,0.0000,1.0
2026-01-22,100.58,100.58,100.57,100.58,99.4140323640738,13618465,0.0000,1.0
2026-01-23,100.61,100.61,100.6,100.61,99.4436845908676,12143024,0.0000,1.0
2026-01-26,100.62,100.62,100.61,100.62,99.4535686664655,16872019,0.0000,1.0
2026-01-27,100.63,100.635,100.62,100.62,99.4535686664655,13073978,0.0000,1.0
2026-01-28,100.63,100.64,100.63,100.64,99.4733368176614,11987524,0.0000,1.0
2026-01-29,100.64,100.65,100.64,100.65,99.4832208932593,16031748,0.0000,1.0
2026-01-30,100.67,100.68,100.67,100.67,99.5029890444552,29215192,0.0000,1.0
2026-02-02,100.38,100.38,100.37,100.37,99.5121179766775,31225300,0.3092,1.0
2026-02-03,100.39,100.39,100.38,100.39,99.5319470327653,17713481,0.0000,1.0
2026-02-04,100.395,100.4,100.39,100.4,99.5418615608092,18129380,0.0000,1.0
2026-02-05,100.41,100.41,100.4,100.4,99.5418615608092,20371152,0.0000,1.0
2026-02-06,100.43,100.44,100.43,100.43,99.5716051449409,17381414,0.0000,1.0
2026-02-09,100.44,100.45,100.44,100.45,99.5914342010287,13991633,0.0000,1.0
2026-02-10,100.46,100.46,100.45,100.46,99.6013487290726,14002727,0.0000,1.0
2026-02-11,100.47,100.47,100.46,100.46,99.6013487290726,12584436,0.0000,1.0
2026-02-12,100.47,100.48,100.47,100.48,99.6211777851604,16593919,0.0000,1.0
2026-02-13,100.52,100.52,100.51,100.52,99.660835897336,14917187,0.0000,1.0
2026-02-17,100.525,100.53,100.52,100.52,99.660835897336,14976248,0.0000,1.0
2026-02-18,100.54,100.54,100.53,100.54,99.6806649534238,10207259,0.0000,1.0
2026-02-19,100.55,100.55,100.54,100.55,99.6905794814678,11292098,0.0000,1.0
2026-02-20,100.58,100.58,100.57,100.57,99.7104085375556,13489959,0.0000,1.0
2026-02-23,100.585,100.59,100.58,100.59,99.7302375936434,13465360,0.0000,1.0
2026-02-24,100.595,100.6,100.59,100.59,99.7302375936434,12168916,0.0000,1.0
2026-02-25,100.61,100.61,100.6,100.6,99.7401521216873,12532003,0.0000,1.0
2026-02-26,100.61,100.62,100.61,100.62,99.7599811777751,13658525,0.0000,1.0
