date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2020-06-30,100.0200,100.0300,100.0000,100.0250,84.8588,7758559,0.0000
2020-07-31,100.0200,100.0400,100.0100,100.0250,84.8640,361271,0.0061
2020-08-31,100.0150,100.0300,100.0000,100.0200,84.8687,609995,0.0105
2020-09-30,100.0200,100.0300,100.0000,100.0200,84.8744,750361,0.0068
2020-10-30,100.0200,100.0500,100.0000,100.0200,84.8789,540495,0.0052
2020-11-30,100.0150,100.0300,100.0100,100.0200,84.8832,1098320,0.0051
2020-12-31,100.0102,100.0300,100.0100,100.0150,84.8888,797860,0.0117
2021-01-29,100.0200,100.0200,100.0100,100.0200,84.8931,970373,0.0000
2021-02-26,100.0120,100.0200,100.0100,100.0150,84.8931,1079632,0.0050
2021-03-31,100.0200,100.0300,100.0100,100.0150,84.8931,835830,0.0000
2021-04-30,100.0200,100.0300,100.0100,100.0300,84.9066,1184877,0.0009
2021-05-28,100.0300,100.0300,100.0200,100.0300,84.9096,532781,0.0036
2021-06-30,100.0200,100.0300,100.0100,100.0250,84.9067,538279,0.0016
2021-07-30,100.0200,100.0300,100.0100,100.0250,84.9083,614040,0.0019
2021-08-31,100.0100,100.0300,100.0100,100.0250,84.9098,408350,0.0017
2021-09-30,100.0280,100.0300,100.0100,100.0250,84.9119,1231064,0.0025
2021-10-29,100.0300,100.0300,100.0100,100.0200,84.9103,1143113,0.0031
2021-11-30,100.0200,100.0300,100.0100,100.0200,84.9127,575058,0.0028
2021-12-31,100.0226,100.0300,100.0100,100.0250,84.9239,1262573,0.0083
2022-01-31,100.0118,100.0400,100.0100,100.0250,84.9239,2639523,0.0000
2022-02-28,100.0163,100.0400,100.0100,100.0300,84.9297,12327312,0.0018
2022-03-31,100.0300,100.0500,100.0100,100.0500,84.9537,8743279,0.0083
2022-04-29,100.0300,100.0600,100.0100,100.0600,84.9779,8426513,0.0184
2022-05-31,100.0300,100.0900,100.0100,100.0800,85.0157,11741791,0.0246
2022-06-30,100.0500,100.1200,100.0200,100.1200,85.0849,13717796,0.0414
2022-07-29,100.0500,100.1400,100.0300,100.1000,85.1267,21872558,0.0690
2022-08-31,100.0300,100.2100,100.0200,100.2000,85.3102,16578361,0.1157
2022-09-30,100.0600,100.2700,100.0400,100.2700,85.5132,26608156,0.1680
2022-10-31,100.1200,100.3200,100.1100,100.3100,85.6811,29946075,0.1566
2022-11-30,100.0800,100.3900,100.0800,100.3700,85.9385,28111225,0.2406
2022-12-30,100.1300,100.2700,99.9600,100.1400,86.2653,41291248,0.6102
2023-01-31,100.1500,100.4700,100.1500,100.4600,86.5409,39687866,0.0000
2023-02-28,100.1000,100.4300,100.0800,100.4300,86.8553,41645143,0.3936
2023-03-31,100.1600,100.5800,100.1500,100.5800,87.2265,63112904,0.2780
2023-04-28,100.2300,100.5800,100.2200,100.5600,87.5238,48229784,0.3616
2023-05-31,100.2000,100.6100,100.1800,100.5900,87.8925,44944676,0.3921
2023-06-30,100.2300,100.6400,100.2100,100.6300,88.3065,47986863,0.4320
2023-07-31,100.2500,100.6300,100.2400,100.6200,88.6646,46779738,0.4166
2023-08-31,100.2100,100.6800,100.2000,100.6700,89.0996,60154427,0.4415
2023-09-29,100.2700,100.6700,100.2600,100.6700,89.4822,57657468,0.4306
2023-10-31,100.2700,100.7000,100.2600,100.7000,89.8764,72376616,0.4118
2023-11-30,100.2850,100.7400,100.2800,100.7300,90.2860,74764712,0.4270
2023-12-29,100.3200,100.4600,100.0400,100.2700,90.6809,70084261,0.8978
2024-01-31,100.2900,100.7200,100.2800,100.7100,91.0788,66556909,0.0000
2024-02-29,100.3200,100.7100,100.3100,100.7000,91.4856,65786170,0.4581
2024-03-28,100.3200,100.7200,100.3100,100.7100,91.8684,67652006,0.4097
2024-04-30,100.3000,100.7100,100.2900,100.7000,92.2714,85490170,0.4499
2024-05-31,100.3100,100.7500,100.3000,100.7500,92.7107,85829899,0.4276
2024-06-28,100.3300,100.7200,100.3300,100.7100,93.0801,81070231,0.4397
2024-07-31,100.3100,100.7300,100.3000,100.7200,93.4965,93628647,0.4388
2024-08-30,100.3000,100.7500,100.2900,100.7400,93.9377,109192743,0.4532
2024-09-30,100.3400,100.7400,100.3300,100.7200,94.3342,102622773,0.4435
2024-10-31,100.3300,100.7100,100.3200,100.7000,94.7194,110010418,0.4296
2024-11-29,100.3400,100.6900,100.3300,100.6800,95.0924,113432221,0.4152
