date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,110.37,110.38,110.37,110.38,108.712101579606,2488824,0.0,1.0
2025-11-24,110.38,110.39,110.38,110.39,108.721950474476,1975840,0.0,1.0
2025-11-25,110.395,110.4,110.39,110.4,108.731799369347,1860940,0.0,1.0
2025-11-26,110.42,110.43,110.42,110.42,108.751497159087,1898662,0.0,1.0
2025-11-28,110.455,110.46,110.45,110.45,108.781043843699,2504383,0.0,1.0
2025-12-01,110.12,110.12,110.11,110.12,108.802221922338,3505926,0.3515,1.0
2025-12-02,110.13,110.14,110.13,110.14,108.821982587417,1888240,0.0,1.0
2025-12-03,110.15,110.16,110.15,110.155,108.836803086226,4578465,0.0,1.0
2025-12-04,110.17,110.18,110.16,110.16,108.841743252495,3668908,0.0,1.0
2025-12-05,110.2,110.21,110.2,110.2,108.881264582653,2290151,0.0,1.0
2025-12-08,110.21,110.22,110.21,110.21,108.891144915192,2901189,0.0,1.0
2025-12-09,110.225,110.23,110.22,110.22,108.901025247731,2434594,0.0,1.0
2025-12-10,110.24,110.25,110.23,110.25,108.607343102408,4006471,0.0000,1.0
2025-12-11,110.26,110.27,110.25,110.27,108.627045114762,2275454,0.0000,1.0
2025-12-12,110.295,110.3,110.29,110.295,108.651672630205,1883887,0.0000,1.0
2025-12-15,110.32,110.32,110.31,110.32,108.676300145648,2454964,0.0000,1.0
2025-12-16,110.33,110.33,110.32,110.33,108.686151151825,2424752,0.0000,1.0
2025-12-17,110.34,110.34,110.33,110.34,108.696002158002,1986659,0.0000,1.0
2025-12-18,110.35,110.36,110.35,110.36,108.715704170356,2100997,0.0000,1.0
2025-12-19,110.02,110.03,110.02,110.02,108.732346460192,3192952,0.3569,1.0
2025-12-22,110.03,110.04,110.03,110.04,108.752112383925,3061631,0.0000,1.0
2025-12-23,110.04,110.05,110.04,110.04,108.752112383925,2922418,0.0000,1.0
2025-12-24,110.06,110.07,110.06,110.065,108.776819788593,1539243,0.0000,1.0
2025-12-26,110.1,110.11,110.09,110.105,108.816351636061,2439824,0.0000,1.0
2025-12-29,110.11,110.12,110.11,110.11,108.821293116994,2178696,0.0000,1.0
2025-12-30,110.13,110.13,110.12,110.12,108.831176078861,2135945,0.0000,1.0
2025-12-31,110.14,110.15,110.14,110.15,108.860824964462,2338819,0.0000,1.0
2026-01-02,110.17,110.18,110.17,110.17,108.880590888196,2410957,0.0000,1.0
2026-01-05,110.18,110.19,110.18,110.19,108.90035681193,1921739,0.0000,1.0
2026-01-06,110.2,110.2,110.19,110.19,108.90035681193,2899063,0.0000,1.0
2026-01-07,110.205,110.21,110.2,110.21,108.920122735664,2450180,0.0000,1.0
2026-01-08,110.215,110.22,110.21,110.22,108.930005697531,2781036,0.0000,1.0
2026-01-09,110.24,110.25,110.24,110.25,108.959654583131,2455930,0.0000,1.0
2026-01-12,110.25,110.26,110.25,110.255,108.964596064065,2279773,0.0000,1.0
2026-01-13,110.26,110.26,110.25,110.26,108.969537544998,2948390,0.0000,1.0
2026-01-14,110.27,110.27,110.26,110.27,108.979420506865,2449869,0.0000,1.0
2026-01-15,110.275,110.28,110.27,110.28,108.989303468732,2944499,0.0000,1.0
2026-01-16,110.31,110.32,110.31,110.31,109.018952354333,2621198,0.0000,1.0
2026-01-20,110.325,110.33,110.32,110.32,109.0288353162,3336411,0.0000,1.0
2026-01-21,110.335,110.34,110.33,110.34,109.048601239934,3360477,0.0000,1.0
2026-01-22,110.34,110.35,110.34,110.34,109.048601239934,4150019,0.0000,1.0
2026-01-23,110.37,110.38,110.37,110.37,109.078250125535,2437194,0.0000,1.0
2026-01-26,110.38,110.39,110.38,110.38,109.088133087402,1833782,0.0000,1.0
2026-01-27,110.395,110.4,110.39,110.4,109.107899011136,1984736,0.0000,1.0
2026-01-28,110.4,110.41,110.4,110.4,109.107899011136,1828289,0.0000,1.0
2026-01-29,110.41,110.42,110.41,110.41,109.117781973003,3034846,0.0000,1.0
2026-01-30,110.44,110.45,110.44,110.44,109.147430858603,3285742,0.0000,1.0
2026-02-02,110.12,110.12,110.11,110.12,109.169158550268,3828190,0.3420,1.0
2026-02-03,110.12,110.13,110.12,110.13,109.179072204332,3349241,0.0000,1.0
2026-02-04,110.14,110.14,110.13,110.13,109.179072204332,3051714,0.0000,1.0
2026-02-05,110.15,110.16,110.14,110.16,109.208813166523,3621790,0.0000,1.0
2026-02-06,110.19,110.19,110.18,110.18,109.228640474651,5666835,0.0000,1.0
2026-02-09,110.18,110.2,110.18,110.2,109.248467782778,3142064,0.0000,1.0
2026-02-10,110.21,110.21,110.2,110.2,109.248467782778,3213564,0.0000,1.0
2026-02-11,110.21,110.215,110.21,110.21,109.258381436842,2625071,0.0000,1.0
2026-02-12,110.23,110.23,110.22,110.22,109.268295090906,2324010,0.0000,1.0
2026-02-13,110.27,110.27,110.26,110.27,109.317863361225,2192509,0.0000,1.0
2026-02-17,110.27,110.28,110.27,110.28,109.327777015288,1901025,0.0000,1.0
2026-02-18,110.285,110.29,110.28,110.28,109.327777015288,2050216,0.0000,1.0
2026-02-19,110.29,110.3,110.29,110.3,109.347604323416,2156637,0.0000,1.0
2026-02-20,110.33,110.33,110.32,110.32,109.367431631543,3398922,0.0000,1.0
2026-02-23,110.33,110.34,110.33,110.33,109.377345285607,2780718,0.0000,1.0
2026-02-24,110.34,110.35,110.34,110.34,109.387258939671,2226401,0.0000,1.0
2026-02-25,110.355,110.36,110.35,110.35,109.397172593735,1731899,0.0000,1.0
2026-02-26,110.36,110.37,110.36,110.36,109.407086247799,1870562,0.0000,1.0
2026-02-27,110.395,110.4,110.39,110.39,109.43682720999,5135869,0.0000,1.0
2026-03-02,110.105,110.11,110.1,110.1,109.451140543727,3536470,0.3044,1.0
2026-03-03,110.105,110.11,110.1,110.11,109.46108161008,3484540,0.0000,1.0
2026-03-04,110.115,110.12,110.11,110.11,109.46108161008,2198249,0.0000,1.0
2026-03-05,110.13,110.13,110.12,110.13,109.480963742785,2205975,0.0000,1.0
2026-03-06,110.16,110.17,110.16,110.16,109.510786941844,5782521,0.0000,1.0
2026-03-09,110.17,110.17,110.16,110.17,109.520728008196,4277750,0.0000,1.0
2026-03-10,110.18,110.19,110.17,110.18,109.530669074549,3310234,0.0000,1.0
2026-03-11,110.19,110.19,110.18,110.19,109.540610140902,1975298,0.0000,1.0
2026-03-12,110.2,110.2,110.19,110.19,109.540610140902,3208071,0.0000,1.0
2026-03-13,110.23,110.23,110.22,110.23,109.580374406313,6686018,0.0000,1.0
2026-03-16,110.23,110.24,110.23,110.24,109.590315472666,2179281,0.0000,1.0
2026-03-17,110.25,110.25,110.24,110.25,109.600256539018,2496518,0.0000,1.0
2026-03-18,110.25,110.26,110.25,110.25,109.600256539018,1336480,0.0000,1.0
2026-03-19,110.25,110.26,110.25,110.25,109.600256539018,2497820,0.0000,1.0
2026-03-20,110.28,110.29,110.28,110.28,109.630079738077,4833214,0.0000,1.0
2026-03-23,110.28,110.3,110.28,110.3,109.649961870782,4869702,0.0000,1.0
2026-03-24,110.3,110.31,110.3,110.31,109.659902937135,1956094,0.0000,1.0
2026-03-25,110.32,110.32,110.31,110.32,109.669844003487,1712962,0.0000,1.0
2026-03-26,110.33,110.33,110.32,110.32,109.669844003487,2526846,0.0000,1.0
2026-03-27,110.35,110.36,110.35,110.36,109.709608268898,2681867,0.0000,1.0
2026-03-30,110.37,110.38,110.37,110.38,109.729490401604,3320231,0.0000,1.0
2026-03-31,110.38,110.39,110.38,110.39,109.739431467957,7304839,0.0000,1.0
2026-04-01,110.09,110.09,110.08,110.08,109.753265455893,5695377,0.3239,1.0
2026-04-02,110.11,110.13,110.11,110.12,109.793146729678,3924866,0.0000,1.0
2026-04-06,110.13,110.13,110.12,110.13,109.803117048124,3143246,0.0000,1.0
2026-04-07,110.135,110.15,110.13,110.14,109.81308736657,1797221,0.0000,1.0
2026-04-08,110.15,110.16,110.15,110.15,109.823057685017,5101228,0.0000,1.0
2026-04-09,110.16,110.18,110.16,110.17,109.842998321909,3146178,0.0000,1.0
2026-04-10,110.2,110.21,110.19,110.2,109.872909277248,2636153,0.0000,1.0
2026-04-13,110.2,110.21,110.2,110.2,109.872909277248,3801346,0.0000,1.0
2026-04-14,110.21,110.22,110.21,110.22,109.89284991414,3486181,0.0000,1.0
2026-04-15,110.22,110.23,110.22,110.22,109.89284991414,3408989,0.0000,1.0
