ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-01,2026-03-31,2026-04-01,2026-04-07,0.323916
2026-03-02,,,,0.304438
2026-02-02,2026-01-30,2026-02-02,2026-02-05,0.341985
2025-12-19,2025-12-18,2025-12-19,2025-12-24,0.356894
2025-12-01,2025-11-28,2025-12-01,2025-12-04,0.351503
2025-11-03,2025-10-31,2025-11-03,2025-11-06,0.370549
2025-10-01,2025-09-30,2025-10-01,2025-10-06,0.367379
2025-09-02,,,,0.387601
2025-08-01,2025-07-31,2025-08-01,2025-08-06,0.384741
2025-07-01,2025-06-30,2025-07-01,2025-07-07,0.371166
2025-06-02,2025-05-30,2025-06-02,2025-06-05,0.397026
2025-05-01,2025-04-30,2025-05-01,2025-05-06,0.372016
2025-04-01,2025-03-31,2025-04-01,2025-04-04,0.383602
2025-03-03,2025-02-28,2025-03-03,2025-03-06,0.357854
2025-02-03,2025-01-31,2025-02-03,2025-02-06,0.403309
2024-12-18,2024-06-25,2024-12-18,2024-12-23,0.426779
2024-12-02,2024-06-25,2024-12-02,2024-12-05,0.416001
2024-11-01,2024-06-25,2024-11-01,2024-11-06,0.466849
2024-10-01,2024-06-25,2024-10-01,2024-10-04,0.454424
2024-09-03,2024-06-25,2024-09-03,2024-09-06,0.475462
2024-08-01,2024-06-25,2024-08-01,2024-08-06,0.487904
2024-07-01,2024-06-25,2024-07-01,2024-07-05,0.466218
2024-06-03,2024-05-31,2024-06-03,2024-06-07,0.472298
2024-05-01,2024-04-30,2024-05-02,2024-05-07,0.463666
2024-04-01,2024-03-28,2024-04-02,2024-04-05,0.481925
2024-03-01,2024-02-29,2024-03-04,2024-03-07,0.447689
2024-02-01,2024-01-31,2024-02-02,2024-02-07,0.47335
2023-12-14,2023-12-13,2023-12-15,2023-12-20,0.503886
2023-12-01,2023-11-30,2023-12-04,2023-12-07,0.485282
2023-11-01,2023-10-31,2023-11-02,2023-11-07,0.468374
2023-10-02,2023-09-29,2023-10-03,2023-10-06,0.464899
