date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2007-02-28,108.7300,109.1500,108.6800,109.1200,82.3752,878800,0.3136
2007-03-30,108.8700,109.3000,108.8000,109.2800,82.6906,1883900,0.2568
2007-04-30,108.9900,109.4200,108.9100,109.4000,82.9976,1425700,0.2847
2007-05-31,109.1100,109.6000,109.0500,109.5840,83.3892,797800,0.3307
2007-06-29,109.1700,109.7000,109.1500,109.6400,83.7503,3157000,0.4167
2007-07-31,109.2000,109.6100,109.1100,109.5700,84.0598,3220900,0.4735
2007-08-31,109.1600,109.9400,109.1400,109.8600,84.6131,2308100,0.4285
2007-09-28,109.4000,109.8500,109.3800,109.8000,84.8897,1494900,0.4178
2007-10-31,109.5000,109.9100,109.4200,109.8600,85.2197,1585400,0.3655
2007-11-30,109.5200,110.1500,109.5100,110.1299,85.7345,1680000,0.3917
2007-12-31,110.1300,110.1300,109.4100,109.6000,85.9084,1191500,0.7527
2008-01-31,109.7100,110.4200,109.6301,110.3700,86.5119,2116700,0.0000
2008-02-29,110.1000,110.3300,109.9900,110.2800,86.6768,2751700,0.2998
2008-03-31,110.1300,110.5700,110.0300,110.4000,86.9503,3016300,0.2273
2008-04-30,110.2200,110.3200,110.1000,110.2800,87.0251,2066300,0.2148
2008-05-30,110.0600,110.1900,110.0300,110.1300,87.0373,2054500,0.1655
2008-06-30,110.0800,110.1400,109.8700,110.1300,87.2004,2615100,0.2060
2008-07-31,109.9600,110.2000,109.9100,110.2000,87.4103,3888800,0.1948
2008-08-29,109.9900,110.1740,109.9400,110.1300,87.5173,4777000,0.2045
2008-09-30,109.9400,110.8200,109.8700,110.3000,87.7879,8771400,0.1700
2008-10-31,110.2700,110.5900,110.1000,110.3700,87.9590,8953000,0.1450
2008-11-28,110.3400,110.5800,110.1000,110.5800,88.2702,3485200,0.1800
2008-12-31,110.4400,110.6000,110.2500,110.3900,88.3457,6495200,0.2845
2009-01-30,110.2400,110.4700,110.1400,110.3300,88.2977,7012100,0.0000
2009-02-27,110.3200,110.4500,110.1300,110.2300,88.2443,5502900,0.0333
2009-03-31,110.1600,110.2900,110.1600,110.2900,88.3444,7454200,0.0650
2009-04-30,110.2400,110.3200,110.1500,110.3000,88.3934,5146000,0.0511
2009-05-29,110.2200,110.2700,110.1400,110.2000,88.3521,4437100,0.0485
2009-06-30,110.2700,110.2800,110.1000,110.2300,88.4049,7165400,0.0359
2009-07-31,110.2100,110.2300,110.1600,110.2000,88.4026,6345300,0.0271
2009-08-31,110.1700,110.2200,110.1200,110.2200,88.4413,3722700,0.0282
2009-09-30,110.1300,110.2300,110.1000,110.1900,88.4402,7039000,0.0286
2009-10-30,110.1900,110.2600,110.1400,110.2200,88.4823,6259500,0.0225
2009-11-30,110.1900,110.2700,110.1600,110.2200,88.4938,5688400,0.0142
2009-12-31,110.2200,110.2300,110.1600,110.1900,88.4889,6918000,0.0239
2010-01-29,110.1800,110.2300,110.1600,110.2200,88.5130,5485900,0.0000
2010-02-26,110.2200,110.2300,110.1700,110.2200,88.5146,6210100,0.0020
2010-03-31,110.1600,110.2200,110.1600,110.2000,88.5046,20724400,0.0076
2010-04-30,110.1700,110.2100,110.1400,110.1900,88.4986,7478300,0.0025
2010-05-28,110.1800,110.2200,110.0900,110.2000,88.5115,14036600,0.0061
2010-06-30,110.1900,110.2300,110.1700,110.2300,88.5404,10093300,0.0059
2010-07-30,110.2100,110.2400,110.1800,110.2000,88.5222,10229800,0.0074
2010-08-31,110.2100,110.2400,110.1900,110.2200,88.5449,8788800,0.0082
2010-09-30,110.2000,110.2500,110.1900,110.2400,88.5685,11046700,0.0093
2010-10-29,110.2400,110.2600,110.1900,110.2300,88.5677,8406500,0.0091
2010-11-30,110.2000,110.2700,110.1900,110.2200,88.5670,6007200,0.0091
2010-12-31,110.2000,110.2500,110.1900,110.2400,88.5989,5100700,0.0197
2011-01-31,110.2100,110.2550,110.1900,110.2200,88.5828,4266100,0.0000
2011-02-28,110.2100,110.2400,110.2000,110.2200,88.5908,3926900,0.0100
2011-03-31,110.2100,110.2500,110.2000,110.2300,88.6062,4960400,0.0091
2011-04-29,110.2200,110.2900,110.2100,110.2800,88.6542,5231600,0.0097
2011-05-31,110.2500,110.2900,110.2300,110.2600,88.6455,3401000,0.0091
2011-06-30,110.2400,110.2750,110.2100,110.2700,88.6604,4076800,0.0086
2011-07-29,110.2500,110.2700,110.1700,110.2000,88.6104,4622900,0.0078
2011-08-31,110.2200,110.2800,110.1700,110.2400,88.6465,11325700,0.0048
2011-09-30,110.2300,110.2600,110.2200,110.2500,88.6587,30210000,0.0052
2011-10-31,110.2400,110.2500,110.2100,110.2300,88.6471,26515800,0.0055
2011-11-30,110.2100,110.2600,110.2100,110.2100,88.6342,9609500,0.0040
2011-12-30,110.2200,110.2500,109.9400,110.2300,88.6570,8301700,0.0084
2012-01-31,110.2100,110.2300,110.2000,110.2100,88.6409,8134400,0.0000
2012-02-29,110.2000,110.2200,110.0500,110.2000,88.6329,5504300,0.0000
2012-03-30,110.1800,110.2000,110.1750,110.1900,88.6249,4721200,0.0001
2012-04-30,110.1900,110.2200,110.1800,110.1900,88.6249,3323547,0.0000
2012-05-31,110.1900,110.2300,110.1700,110.2200,88.6491,6399300,0.0000
2012-06-29,110.2300,110.2400,110.1800,110.2100,88.6410,4180800,0.0000
2012-07-31,110.2300,110.2300,110.1900,110.2100,88.6410,7940500,0.0000
2012-08-31,110.2000,110.2300,110.1900,110.2300,88.6574,7611100,0.0004
2012-09-28,110.2100,110.2300,110.2000,110.2200,88.6501,3760300,0.0009
2012-10-31,110.2100,110.2400,110.2000,110.2100,88.6434,4488785,0.0017
2012-11-30,110.2200,110.2300,110.2000,110.2200,88.6530,5422914,0.0019
2012-12-31,110.2100,110.2600,110.2100,110.2600,88.6868,5621500,0.0020
2013-01-31,110.2400,110.2500,110.2200,110.2300,88.6627,11979700,0.0000
2013-02-28,110.2300,110.2400,110.2100,110.2200,88.6567,3011500,0.0026
2013-03-28,110.2100,110.2500,110.2100,110.2300,88.6651,16828600,0.0005
2013-04-30,110.2300,110.2500,110.2200,110.2500,88.6812,16826300,0.0000
2013-05-31,110.2300,110.2500,110.2300,110.2400,88.6732,9748500,0.0000
2013-06-28,110.2400,110.2500,110.2200,110.2200,88.6571,16935600,0.0000
