date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,83.02,83.04,82.98,83.03,81.8119719548523,4849556,0.0,1.0
2025-11-24,83.03,83.04,83.0,83.04,81.8218252575086,5120669,0.0,1.0
2025-11-25,83.05,83.1,83.04,83.09,81.8710917707898,4276699,0.0,1.0
2025-11-26,83.07,83.08,83.04,83.08,81.8612384681336,4349665,0.0,1.0
2025-11-28,83.1,83.11,83.061,83.08,81.8612384681336,2799591,0.0,1.0
2025-12-01,82.79,82.79,82.76,82.76,81.7911006891659,3358651,0.2488,1.0
2025-12-02,82.8,82.82,82.78,82.81,81.840515322255,4653334,0.0,1.0
2025-12-03,82.87,82.87,82.83,82.86,81.8899299553442,2121270,0.0,1.0
2025-12-04,82.84,82.84,82.8,82.8,81.8306323956372,2474043,0.0,1.0
2025-12-05,82.82,82.82,82.77,82.77,81.8009836157837,2172498,0.0,1.0
2025-12-08,82.77,82.77,82.71,82.75,81.781217762548,3378610,0.0,1.0
2025-12-09,82.79,82.79,82.71,82.71,81.7416860560767,2709083,0.0,1.0
2025-12-10,82.72,82.85,82.71,82.85,81.6390624124953,4431403,0.0000,1.0
2025-12-11,82.89,82.8999,82.85,82.86,81.6489162522554,3552418,0.0000,1.0
2025-12-12,82.86,82.89,82.85,82.87,81.6587700920155,4256368,0.0000,1.0
2025-12-15,82.93,82.94,82.9,82.92,81.708039290816,5252379,0.0000,1.0
2025-12-16,82.94,82.98,82.93,82.96,81.7474546498565,4004877,0.0000,1.0
2025-12-17,82.95,82.98,82.94,82.97,81.7573084896166,5873901,0.0000,1.0
2025-12-18,83.04,83.04,82.98,83.03,81.8164315281772,3896767,0.0000,1.0
2025-12-19,82.76,82.77,82.74,82.76,81.8015000047887,4195196,0.2548,1.0
2025-12-22,82.75,82.75,82.71,82.72,81.7619632720653,4489170,0.0000,1.0
2025-12-23,82.66,82.69,82.65,82.68,81.7224265393419,3443157,0.0000,1.0
2025-12-24,82.71,82.74,82.7,82.73,81.7718474552461,2287169,0.0000,1.0
2025-12-26,82.8,82.81,82.78,82.79,81.8311525543313,2034930,0.0000,1.0
2025-12-29,82.83,82.85,82.82,82.83,81.8706892870547,3432291,0.0000,1.0
2025-12-30,82.83,82.86,82.83,82.85,81.8904576534164,3641291,0.0000,1.0
2025-12-31,82.84,82.87,82.82,82.82,81.8608051038739,3753118,0.0000,1.0
2026-01-02,82.87,82.87,82.84,82.86,81.9003418365973,3041729,0.0000,1.0
2026-01-05,82.88,82.9,82.87,82.89,81.9299943861399,3063643,0.0000,1.0
2026-01-06,82.88,82.9,82.85,82.9,81.9398785693207,4368940,0.0000,1.0
2026-01-07,82.91,82.925,82.88,82.89,81.9299943861399,4297970,0.0000,1.0
2026-01-08,82.87,82.88,82.86,82.86,81.9003418365973,2470734,0.0000,1.0
2026-01-09,82.87,82.87,82.8101,82.83,81.8706892870547,3409675,0.0000,1.0
2026-01-12,82.82,82.84,82.81,82.83,81.8706892870547,2243111,0.0000,1.0
2026-01-13,82.86,82.87,82.84,82.85,81.8904576534164,4656348,0.0000,1.0
2026-01-14,82.88,82.9,82.87,82.87,81.9102260197782,3022481,0.0000,1.0
2026-01-15,82.86,82.86,82.81,82.81,81.850920920693,3306703,0.0000,1.0
2026-01-16,82.84,82.84,82.78,82.79,81.8311525543313,4540148,0.0000,1.0
2026-01-20,82.81,82.82,82.8,82.8,81.8410367375121,5683260,0.0000,1.0
2026-01-21,82.83,82.84,82.81,82.84,81.8805734702356,14151395,0.0000,1.0
2026-01-22,82.81,82.82,82.79,82.81,81.850920920693,4878395,0.0000,1.0
2026-01-23,82.83,82.85,82.82,82.84,81.8805734702356,2506894,0.0000,1.0
2026-01-26,82.87,82.88,82.85,82.87,81.9102260197782,3094288,0.0000,1.0
2026-01-27,82.87,82.91,82.87,82.89,81.9299943861399,3544794,0.0000,1.0
2026-01-28,82.905,82.91,82.87,82.89,81.9299943861399,4157537,0.0000,1.0
2026-01-29,82.9,82.95,82.9,82.92,81.9596469356825,4135826,0.0000,1.0
2026-01-30,82.965,83.01,82.9601,82.99,82.0288362179485,4272841,0.0000,1.0
2026-02-02,82.735,82.75,82.69,82.7,81.9892550064007,4079383,0.2500,1.0
2026-02-03,82.68,82.71,82.67,82.69,81.9793409489634,4447510,0.0000,1.0
2026-02-04,82.69,82.74,82.69,82.73,82.0189971787126,3945386,0.0000,1.0
