date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2002-08-30,81.3300,81.7300,81.3000,81.6100,52.2196,1762200,0.0000
2002-09-30,81.6200,82.1300,81.3600,82.0800,52.6057,2892300,0.1326
2002-10-31,81.9100,82.1700,81.3700,82.1600,52.7340,3779000,0.1198
2002-11-29,81.9700,82.0400,81.6100,81.7100,52.5302,2004100,0.1329
2002-12-31,81.5000,82.4200,81.4200,82.3100,53.0836,2660300,0.2596
2003-01-31,82.1600,82.3000,81.8700,82.2500,53.0449,3244100,0.0000
2003-02-28,82.0900,82.4500,82.0500,82.4500,53.2528,1570400,0.1217
2003-03-31,82.2700,82.6300,82.0200,82.4900,53.3481,1904300,0.1074
2003-04-30,82.3300,82.5200,82.1000,82.5100,53.4339,2926300,0.1125
2003-05-30,82.4200,82.7300,82.2300,82.6800,53.6287,1784100,0.1303
2003-06-30,82.5400,83.0400,82.5000,82.7100,53.7178,3434900,0.1072
2003-07-31,82.5700,82.6900,82.0300,82.1900,53.4460,2589600,0.1020
2003-08-29,81.9000,82.2600,81.8800,82.0500,53.4213,2560800,0.1020
2003-09-30,81.8600,82.7300,81.8200,82.7300,53.9321,2681300,0.1034
2003-10-31,82.6200,82.6800,82.0700,82.3000,53.7120,2794200,0.0927
2003-11-28,82.1300,82.4300,81.8900,82.1400,53.6797,2594400,0.1106
2003-12-31,81.9400,82.5500,81.8600,82.4700,54.0426,3285900,0.2244
2004-01-30,82.3700,82.8300,82.2000,82.5700,54.1082,4143700,0.0000
2004-02-27,82.4600,82.8500,82.4100,82.8500,54.3700,3376900,0.1191
2004-03-31,82.7400,83.0800,82.5100,82.9700,54.5234,4834400,0.1133
2004-04-30,82.8300,82.8300,81.8900,81.9700,53.9443,7352200,0.1199
2004-05-28,81.8300,82.0400,81.3200,81.8500,53.9416,4938700,0.1160
2004-06-30,81.6300,81.7100,81.1400,81.7100,53.9308,4479700,0.1235
2004-07-30,81.4900,81.9200,81.4800,81.7900,54.0812,4112300,0.1474
2004-08-31,81.7200,82.2800,81.6500,82.2500,54.4805,4126400,0.1430
2004-09-30,82.1500,82.2100,81.8200,82.0400,54.4284,4897100,0.1315
2004-10-29,81.8800,82.2000,81.7400,82.1500,54.5893,3579400,0.1321
2004-11-30,81.9900,82.0200,81.4700,81.5400,54.2751,4850500,0.1378
2004-12-31,81.5200,81.7000,81.3400,81.4300,54.4010,6131700,0.2989
2005-01-31,81.3700,81.5000,81.2400,81.4000,54.3810,4513300,0.0000
2005-02-28,81.2400,81.3700,80.9500,81.0200,54.2408,6771300,0.1707
2005-03-31,80.9000,80.9800,80.6200,80.8700,54.2495,10883100,0.1630
