date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2011-12-30,13.4700,14.0900,12.8000,13.1000,12.5541,80200,0.0000
2012-01-31,13.3400,14.7000,12.5000,14.2500,13.6562,131000,0.0000
2012-02-29,14.6900,16.0000,14.4500,15.2400,14.6049,1240400,0.0000
2012-03-30,15.2400,15.6200,14.7000,15.3900,14.7487,606900,0.0000
2012-04-30,15.3300,15.7400,14.7500,15.3800,14.7391,594600,0.0000
2012-05-31,15.3501,15.5000,12.6700,12.9500,12.4104,2128900,0.0000
2012-06-29,12.5300,14.0800,12.1600,13.7025,13.1315,470200,0.0000
2012-07-31,13.7700,14.0100,12.0000,12.2500,11.7395,368200,0.0000
2012-08-31,12.2000,13.0750,11.8400,12.4900,11.9695,438100,0.0000
2012-09-28,12.6400,14.1300,12.4500,13.7900,13.2154,272100,0.0000
2012-10-31,13.8700,13.8900,12.4300,12.6800,12.1516,175200,0.0000
2012-11-30,12.6400,12.9700,11.8101,12.9200,12.3816,116100,0.0000
2012-12-31,12.9000,13.1900,12.4601,12.9400,12.5072,136400,0.1093
2013-01-31,13.0900,14.2000,13.0900,13.9812,13.5135,206600,0.0000
2013-02-28,13.9900,14.4900,13.5300,13.9000,13.4351,175100,0.0000
2013-03-28,13.8672,14.3600,13.6000,13.8067,13.3449,101800,0.0000
2013-04-30,13.7400,14.8140,13.4125,14.8140,14.3185,165100,0.0000
2013-05-31,14.7340,15.2340,14.3000,14.7470,14.2537,144100,0.0000
2013-06-28,14.5000,15.0400,14.0000,14.8201,14.3244,66900,0.0000
2013-07-31,14.9000,16.8699,14.9000,16.7300,16.1704,153800,0.0000
2013-08-30,16.9800,18.3200,16.9799,17.5799,16.9919,1104500,0.0000
2013-09-30,17.9400,20.4300,17.7100,19.7100,19.0507,3853400,0.0000
2013-10-31,19.7700,21.1500,18.3800,19.3800,18.7317,6306300,0.0000
2013-11-29,19.4300,20.1500,18.4804,19.4120,18.7627,4784200,0.0000
2013-12-31,19.5000,21.6500,19.1100,21.2200,20.5105,4298100,0.0003
2014-01-31,21.3000,22.2000,19.7500,21.2800,20.5685,4418700,0.0000
2014-02-28,21.3200,22.8090,20.3807,22.3200,21.5737,3562500,0.0000
2014-03-31,21.5800,22.9999,18.9300,19.4900,18.8383,4744600,0.0000
2014-04-30,19.7200,20.2500,16.6000,17.1800,16.6056,7045500,0.0000
2014-05-30,17.3800,18.1200,16.1200,17.8000,17.2048,4377100,0.0000
2014-06-30,17.8200,19.7200,17.5000,19.5800,18.9253,2926300,0.0000
2014-07-31,19.6500,20.1400,18.3600,19.6300,18.9737,3576200,0.0000
2014-08-29,19.7600,20.6200,19.2500,20.3501,19.6697,3784200,0.0000
2014-09-30,20.3500,20.7670,19.1900,19.2500,18.6064,2712744,0.0000
2014-10-31,19.1200,19.5600,17.8800,19.3100,18.6644,3214823,0.0000
2014-11-28,19.3200,19.8400,18.7000,19.1200,18.4807,1674692,0.0000
2014-12-31,19.0500,19.0592,17.2300,18.0200,17.4264,2340123,0.0093
2015-01-30,18.2200,18.5400,17.4000,17.8800,17.2910,1365787,0.0000
2015-02-27,18.0100,18.9700,17.7700,18.7200,18.1033,2043099,0.0000
2015-03-31,18.7000,19.6800,18.3300,19.3300,18.6932,6400534,0.0000
2015-04-30,19.2900,21.2100,19.1501,20.2000,19.5346,2404536,0.0000
2015-05-29,20.0200,20.7492,19.4550,20.1900,19.5249,1423384,0.0000
2015-06-30,20.3500,21.0800,19.7300,20.0400,19.3798,1036683,0.0000
2015-07-31,20.2300,20.2712,18.3700,19.0300,18.4031,1283701,0.0000
2015-08-31,18.9400,19.1800,15.2000,17.6200,17.0396,1326010,0.0000
2015-09-30,17.0800,18.3900,16.9000,17.4900,16.9138,636220,0.0000
2015-10-30,17.5300,19.4400,17.1900,19.2900,18.6545,784830,0.0000
2015-11-30,19.4000,20.4500,19.1601,20.2800,19.6119,2158185,0.0000
2015-12-31,20.2800,20.6390,19.3300,19.8700,19.2166,1236604,0.0013
2016-01-29,19.4900,19.7399,16.5500,18.2700,17.6692,2619823,0.0000
2016-02-29,18.3300,18.6199,15.5500,17.3500,16.7795,1180774,0.0000
2016-03-31,17.5300,18.5200,17.3101,18.4200,17.8143,468520,0.0000
2016-04-29,18.1900,19.0000,18.0900,18.6300,18.0174,496205,0.0000
2016-05-31,18.7300,19.9899,18.2500,19.9400,19.2843,302502,0.0000
2016-06-30,19.8500,21.0500,19.4700,20.9300,20.2418,522687,0.0000
2016-07-29,21.0300,22.0700,20.7201,22.0600,21.3346,595770,0.0000
2016-08-31,22.2100,23.9990,21.8201,23.7400,22.9594,2185161,0.0000
2016-09-30,23.7800,25.5223,23.5200,25.2500,24.4197,2322579,0.0000
2016-10-31,25.6800,25.8097,23.5000,23.5000,22.7273,1205842,0.0000
2016-11-30,23.5000,23.5790,22.1000,22.9600,22.2050,4320187,0.0000
2016-12-30,22.9700,23.2400,21.5400,21.6200,20.9465,930595,0.0389
2017-01-31,21.6900,23.8700,21.6900,23.6000,22.8648,1003757,0.0000
2017-02-28,23.7400,24.8400,23.4959,24.1900,23.4364,1486724,0.0000
2017-03-31,24.3435,24.9660,24.1000,24.8000,24.0274,860106,0.0000
2017-04-28,24.8600,26.5900,24.4551,26.5600,25.7326,805544,0.0000
2017-05-31,27.0000,29.1400,26.7737,28.4900,27.6025,2487724,0.0000
2017-06-30,28.6400,29.4200,27.3900,28.2800,27.3990,1379801,0.0000
2017-07-31,28.2700,30.4500,27.8000,29.6400,28.7167,1405436,0.0000
2017-08-31,29.8400,30.9900,28.9400,30.9300,29.9665,1169784,0.0000
2017-09-29,31.0100,32.1500,30.5200,31.4100,30.4315,1166117,0.0000
2017-10-31,31.5300,32.8400,31.1400,32.7300,31.7104,902526,0.0000
2017-11-30,33.0000,34.7000,32.1050,32.8800,31.8557,1835111,0.0000
2017-12-29,32.7300,34.3800,31.8000,32.9500,32.3951,1029374,0.4902
2018-01-31,33.2400,36.2800,33.2400,35.8800,35.2757,1774984,0.0000
2018-02-28,35.7300,38.2000,33.0100,36.6000,35.9836,2174770,0.0000
2018-03-29,36.6800,38.9800,33.6000,34.6100,34.0271,3086075,0.0000
2018-04-30,34.3800,34.7500,32.5000,33.8400,33.2701,1212879,0.0000
2018-05-31,33.8300,35.0400,32.6100,34.9400,34.3515,1337112,0.0000
2018-06-29,35.1600,38.0000,34.9000,35.5700,34.9709,981394,0.0000
2018-07-31,35.1100,37.1900,32.5700,32.9700,32.4147,1020889,0.0000
2018-08-31,32.9200,33.8400,31.4100,33.0700,32.5130,925089,0.0000
2018-09-28,32.8400,32.9000,30.7100,31.9000,31.3627,794341,0.0000
2018-10-31,32.0700,32.2000,26.9400,29.0400,28.5509,1330425,0.0000
2018-11-30,29.2000,30.2500,26.6700,29.3300,28.8360,729844,0.0000
2018-12-31,30.1200,30.2400,26.2800,27.5500,27.0860,690913,0.0000
2019-01-31,27.1500,31.6000,27.0300,31.3900,30.8613,762550,0.0000
2019-02-28,31.3900,32.0000,30.3200,31.2000,30.6745,561314,0.0000
2019-03-29,31.3500,32.4500,30.7000,31.9000,31.3627,329900,0.0000
2019-04-30,32.1800,34.4000,32.1300,34.1400,33.5650,545330,0.0000
2019-05-31,34.1900,34.6500,30.6900,30.7600,30.2419,643360,0.0000
2019-06-28,30.8200,32.7900,29.9600,32.1700,31.6282,349838,0.0000
2019-07-31,32.6800,34.6500,32.3600,33.7800,33.2111,389446,0.0000
2019-08-30,34.0200,34.4500,31.5900,32.8600,32.3066,322193,0.0000
2019-09-30,32.8300,33.8900,31.5900,31.9300,31.3922,232202,0.0000
