ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-23,2026-01-02,2026-03-23,2026-03-27,0.2069
2026-02-23,2026-01-02,2026-02-23,2026-02-27,0.20937
2026-01-20,2026-01-02,2026-01-20,2026-01-23,0.20271
2025-12-22,2025-01-14,2025-12-22,2025-12-26,0.20594
2025-11-24,2025-01-14,2025-11-24,2025-11-28,0.19476
2025-10-20,2025-01-14,2025-10-20,2025-10-24,0.18271
2025-09-22,2025-01-14,2025-09-22,2025-09-26,0.17847
2025-08-18,2025-01-14,2025-08-18,2025-08-22,0.16181
2025-07-21,2025-01-14,2025-07-21,2025-07-25,0.15681
2025-06-23,2025-01-14,2025-06-23,2025-06-27,0.15051
2025-05-19,2025-01-14,2025-05-19,2025-05-23,0.14559
2025-04-21,2025-01-14,2025-04-21,2025-04-25,0.14015
2025-03-24,2025-01-14,2025-03-24,2025-03-28,0.13909
2025-02-24,2025-01-14,2025-02-24,2025-02-28,0.13751
2025-01-21,,,,0.138
2024-12-23,2024-01-05,2024-12-23,2024-12-27,0.13752
2024-11-18,2024-01-05,2024-11-18,2024-11-22,0.13781
2024-10-21,2024-01-05,2024-10-21,2024-10-25,0.13279
2024-09-23,2024-01-05,2024-09-23,2024-09-27,0.13201
2024-08-19,2024-01-05,2024-08-19,2024-08-23,0.13123
2024-07-22,2024-01-05,2024-07-22,2024-07-26,0.13513
2024-06-24,2024-01-05,2024-06-24,2024-06-28,0.13011
2024-05-20,2024-01-05,2024-05-21,2024-05-24,0.13625
2024-04-22,2024-01-05,2024-04-23,2024-04-26,0.14107
2024-03-18,2024-01-05,2024-03-19,2024-03-22,0.13405
2024-02-20,2024-01-05,2024-02-21,2024-02-23,0.14544
2024-01-22,2024-01-05,2024-01-23,2024-01-26,0.15303
2023-12-18,2023-01-02,2023-12-19,2023-12-22,0.16931
2023-11-20,2023-01-02,2023-11-21,2023-11-24,0.16389
2023-10-23,2023-01-02,2023-10-24,2023-10-27,0.17672
2023-09-18,2023-01-02,2023-09-19,2023-09-22,0.17886
2023-08-21,2023-01-02,2023-08-22,2023-08-25,0.16242
2023-07-24,2023-01-02,2023-07-25,2023-07-28,0.15816
2023-06-20,2023-01-02,2023-06-21,2023-06-23,0.15507
2023-05-22,2023-01-02,2023-05-23,2023-05-26,0.15064
2023-04-24,2023-01-02,2023-04-25,2023-04-28,0.1479
2023-03-20,2023-01-02,2023-03-21,2023-03-24,0.14738
2023-02-21,2023-01-02,2023-02-22,2023-02-24,0.14598
2023-01-23,2023-01-02,2023-01-24,2023-01-27,0.14462
2022-12-19,2022-01-19,2022-12-20,2022-12-23,0.14362
2022-11-21,2022-01-19,2022-11-22,2022-11-25,0.14261
2022-10-24,2022-01-19,2022-10-25,2022-10-28,0.14146
2022-09-19,2022-01-19,2022-09-20,2022-09-23,0.14127
2022-08-22,2022-01-19,2022-08-23,2022-08-26,0.14057
2022-07-18,2022-01-19,2022-07-19,2022-07-22,0.14061
2022-06-21,2022-01-19,2022-06-22,2022-06-30,0.14177
2022-05-23,2022-01-19,2022-05-24,2022-05-31,0.14228
2022-04-18,,,,0.14259
2022-03-21,2022-01-19,2022-03-22,2022-03-31,0.14498
2022-02-22,,,,0.14258
2022-01-24,2022-01-19,2022-01-25,2022-01-31,0.13944
2021-12-20,2021-12-17,2021-12-21,2021-12-31,0.13652
2021-11-22,2021-01-18,2021-11-23,2021-11-30,0.13252
2021-10-18,2021-01-18,2021-10-19,2021-10-29,0.12961
2021-09-20,2021-01-18,2021-09-21,2021-09-30,0.12751
2021-08-23,2021-08-20,2021-08-24,2021-08-31,0.12699
2021-07-19,2021-01-18,2021-07-20,2021-07-30,0.11415
2021-06-21,2021-01-18,2021-06-22,2021-06-30,0.12083
2021-05-24,2021-01-18,2021-05-25,2021-05-28,0.11409
2021-04-19,2021-01-18,2021-04-20,2021-04-30,0.12642
2021-03-22,2021-01-18,2021-03-23,2021-03-31,0.14101
2021-02-22,2021-01-18,2021-02-23,2021-02-26,0.14526
2021-01-19,2021-01-15,2021-01-20,2021-01-29,0.14936
2020-12-21,2020-01-24,2020-12-22,2020-12-31,0.15393
2020-11-23,2020-01-24,2020-11-24,2020-11-30,0.15323
2020-10-19,2020-01-24,2020-10-20,2020-10-30,0.14746
2020-09-21,2020-01-24,2020-09-22,2020-09-30,0.1497
2020-08-24,2020-01-24,2020-08-25,2020-08-31,0.14973
2020-07-20,2020-01-24,2020-07-21,2020-07-31,0.14989
2020-06-22,2020-01-24,2020-06-23,2020-06-30,0.15274
2020-05-18,2020-01-24,2020-05-19,2020-05-29,0.15536
2020-04-20,2020-01-24,2020-04-21,2020-04-30,0.15618
2020-03-23,2020-01-24,2020-03-24,2020-03-31,0.15725
2020-02-24,2020-01-24,2020-02-25,2020-02-28,0.1578
2020-01-21,,,,0.15556
2019-12-23,,,,0.155
2019-11-18,,,,0.15472
2019-10-21,,,,0.15216
2019-09-23,,,,0.15203
2019-08-19,,,,0.1529
2019-07-22,,,,0.15044
2019-06-24,,,,0.15307
2019-05-20,,,,0.1511
2019-04-22,,,,0.14785
2019-03-18,,,,0.1436
2019-02-19,,,,0.14255
2019-01-22,,,,0.13489
2018-12-24,,,,0.1471
2018-11-19,,,,0.1379
2018-10-22,,,,0.1385
2018-09-24,,,,0.13892
2018-08-20,,,,0.13727
2018-07-23,,,,0.13648
2018-06-18,,,,0.13601
2018-05-21,,,,0.136
2018-04-23,,,,0.14096
2018-03-19,,,,0.14006
2018-02-20,,,,0.15172
2018-01-22,,,,0.13843
2017-12-18,,,,0.11643
2017-11-20,,,,0.1283
2017-10-23,,,,0.10114
2017-09-18,,,,0.10037
2017-08-15,,,,0.10029
2017-07-14,,,,0.09742
2017-06-15,,,,0.09777
2017-05-15,,,,0.09946
2017-04-13,,,,0.12391
2017-03-15,,,,0.121
2017-02-15,,,,0.125
2017-01-13,,,,0.1225
2016-12-15,,,,0.25085
2016-11-15,,,,0.12
2016-10-14,,,,0.11667
2016-09-15,,,,0.11678
2016-08-15,,,,0.11157
2016-07-15,,,,0.11351
2016-06-15,,,,0.10905
2016-05-13,,,,0.11208
2016-04-15,,,,0.1145
2016-03-15,,,,0.11888
2016-02-12,,,,0.10803
2016-01-15,,,,0.10777
2015-12-15,,,,0.09947
2015-11-13,,,,0.10309
2015-10-15,,,,0.10796
2015-09-15,,,,0.09631
2015-08-14,,,,0.09431
2015-07-15,,,,0.09784
2015-06-15,,,,0.09688
2015-05-15,,,,0.09062
2015-04-15,,,,0.09322
2015-03-13,,,,0.09461
2015-02-13,,,,0.0947
2015-01-15,,,,0.09349
2014-12-15,,,,0.09321
2014-11-14,,,,0.09278
2014-10-15,,,,0.08901
2014-09-15,,,,0.08936
2014-08-15,,,,0.08882
2014-07-15,,,,0.08477
2014-06-13,,,,0.08508
2014-05-15,,,,0.08397
2014-04-15,,,,0.0889
2014-03-14,,,,0.09153
2014-02-14,,,,0.08842
2014-01-15,,,,0.08805
2013-12-24,,,,0.01818
2013-12-13,,,,0.104
2013-11-15,,,,0.08654
2013-10-15,,,,0.0896
2013-09-13,,,,0.08729
2013-08-15,,,,0.07826
2013-07-15,,,,0.08063
2013-06-14,,,,0.07807
2013-05-15,,,,0.07496
2013-04-15,,,,0.07727
2013-03-15,,,,0.0768
2013-02-15,,,,0.10193
2013-01-15,,,,0.08988
2012-12-14,,,,0.12217
2012-11-15,,,,0.10353
