date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2012-11-30,25.1600,25.2400,23.4301,24.6000,14.4233,1419100,0.1035
2012-12-31,24.5800,25.0000,24.0600,24.3876,14.3705,1132200,0.1222
2013-01-31,24.7700,26.2000,24.7200,25.7000,15.1981,1451000,0.0899
2013-02-28,25.8500,26.4000,25.6511,26.1500,15.5249,1041200,0.1019
2013-03-28,26.1100,27.4090,25.9800,27.3800,16.3018,1484500,0.0768
2013-04-30,27.3500,28.4800,27.1900,28.4200,16.9687,1778500,0.0773
2013-05-31,28.3700,29.1600,27.4800,27.4800,16.4502,1814200,0.0750
2013-06-28,27.6000,28.0400,26.6195,27.4200,16.4607,2241500,0.0781
2013-07-31,27.4520,28.5900,27.1100,28.2200,16.9891,961400,0.0806
2013-08-30,28.3100,28.6800,26.8901,26.9700,16.2828,783600,0.0783
2013-09-30,27.2300,28.1700,26.7212,27.2593,16.5101,1230600,0.0873
2013-10-31,27.2600,28.6000,26.9400,28.3900,17.2513,559500,0.0896
2013-11-29,28.4500,30.7250,28.1200,28.2332,17.2079,529900,0.0865
2013-12-31,28.1500,28.4115,27.4600,28.3600,17.3617,559900,0.1222
2014-01-31,28.3600,28.3600,27.3920,27.7300,17.0293,824200,0.0881
2014-02-28,27.7300,28.7176,27.1701,28.6400,17.6430,569600,0.0884
2014-03-31,28.4800,29.4900,28.4374,29.4500,18.2001,422800,0.0915
2014-04-30,29.5400,30.5900,29.2400,30.5784,18.9540,1200000,0.0889
2014-05-30,30.5900,30.9700,30.0900,30.9700,19.2500,597200,0.0840
2014-06-30,31.0400,31.6300,30.6300,31.4800,19.6211,914300,0.0851
2014-07-31,31.4700,31.5500,30.2100,30.2300,18.8932,1336200,0.0848
2014-08-29,30.1300,31.2864,29.8300,31.2864,19.6102,603800,0.0888
2014-09-30,31.2500,31.4500,30.5500,30.7500,19.3300,582266,0.0894
2014-10-31,30.7400,32.2800,29.6200,32.1600,20.2759,1491613,0.0890
2014-11-28,32.2200,32.9200,32.0550,32.7800,20.7264,1601443,0.0928
2014-12-31,32.7100,35.3790,31.3900,32.8500,20.8317,1761218,0.0932
2015-01-30,32.8800,34.2100,32.4500,32.7946,20.8554,2683147,0.0935
2015-02-27,32.9500,33.6300,32.5639,33.1099,21.1160,6390418,0.0947
2015-03-31,33.1100,33.1777,31.7500,32.8900,21.0378,6983046,0.0946
2015-04-30,32.8200,33.4300,32.5705,32.8100,21.0456,1274219,0.0932
2015-05-29,32.9400,33.1900,32.3189,32.7500,21.0647,2991202,0.0906
2015-06-30,32.8800,32.8800,31.6200,31.6600,20.4254,2809231,0.0969
2015-07-31,31.8000,32.9693,31.7000,32.8000,21.2248,2471695,0.0978
2015-08-31,32.8300,33.3700,19.8300,31.5100,20.4479,2372141,0.0943
2015-09-30,30.9900,32.2560,30.5284,31.4700,20.4844,5161471,0.0963
2015-10-30,31.5000,33.7800,31.0900,33.2500,21.7143,3354190,0.1080
2015-11-30,33.2700,33.5400,32.1800,33.1300,21.7052,1915012,0.1031
2015-12-31,33.1900,33.8200,32.1700,33.3400,21.9091,3272731,0.0995
2016-01-29,32.9700,33.3800,30.8501,33.0000,21.7591,7884415,0.1078
2016-02-29,32.8400,34.6200,31.9500,34.2300,22.6449,8975669,0.1080
2016-03-31,34.5200,37.2800,34.4100,37.1200,24.6377,20467141,0.1189
2016-04-29,36.9500,37.6699,36.2400,37.1000,24.7006,17612440,0.1145
2016-05-31,37.2900,37.4500,35.6000,36.8900,24.6360,15178546,0.1121
2016-06-30,36.8500,38.2500,36.1400,38.2500,25.6190,22303169,0.1090
2016-07-29,38.3000,39.9684,37.8100,39.9100,26.8078,16505483,0.1135
2016-08-31,39.9300,39.9699,38.9300,39.1700,26.3851,14551585,0.1116
2016-09-30,39.1900,39.5600,37.8000,38.9100,26.2900,13671025,0.1168
2016-10-31,38.8200,38.8200,37.4800,37.7100,25.5580,11662806,0.1167
2016-11-30,37.6500,38.7500,36.5500,38.5500,26.2095,17086372,0.1200
2016-12-30,38.5400,40.1600,38.4040,39.1800,26.8077,13527234,0.2509
2017-01-31,39.4000,40.0900,39.2400,39.7300,27.2680,14219450,0.1225
2017-02-28,39.7800,41.0000,39.3561,40.9200,28.1722,11682141,0.1250
2017-03-31,41.0000,41.2100,40.0600,40.5100,27.9727,12886166,0.1210
2017-04-28,40.5700,40.6900,39.8700,39.9300,27.6574,11221934,0.1239
2017-05-31,40.0000,40.2500,39.1300,40.1900,27.9073,12216472,0.0995
2017-06-30,40.2400,40.9700,40.0267,40.2300,28.0020,7747635,0.0978
2017-07-31,40.3500,40.6000,39.6350,40.4000,28.1884,7848564,0.0974
2017-08-31,40.5000,40.5700,39.5288,40.1300,28.0701,11130757,0.1003
2017-09-29,40.2100,41.1800,40.0800,41.0100,28.7557,6752212,0.1004
