date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2008-12-31,34.4700,38.7500,27.3800,36.3900,2.3428,179097600,0.0655
2009-01-30,37.0800,42.1000,25.5000,27.5200,1.7718,262507400,0.0000
2009-02-27,26.2500,32.7600,18.8900,19.0400,1.2258,358136800,0.0000
2009-03-31,17.9100,26.2200,14.0000,22.6200,1.4614,596994200,0.0834
2009-04-30,21.8500,31.4500,21.6500,29.6800,1.9175,413703300,0.0000
2009-05-29,29.8400,35.7600,29.0900,34.3300,2.2179,333488600,0.0000
2009-06-30,35.7600,38.5100,30.5200,33.9600,2.2019,312594100,0.1115
2009-07-31,34.3700,42.8400,28.4400,41.5600,2.6946,259558500,0.0000
2009-08-31,42.9000,48.5900,40.5500,45.9400,2.9786,201450400,0.0000
2009-09-30,45.2500,54.9100,42.1200,51.0500,3.3170,153387000,0.1148
2009-10-30,50.6500,57.7000,45.7300,47.0900,3.0597,163186500,0.0000
2009-11-30,47.7500,58.8600,46.2600,49.2100,3.6245,139649000,6.5145
2009-12-31,50.6400,54.9700,48.1700,52.5100,3.8734,84743100,0.0795
2010-01-29,53.8900,58.0100,46.4800,46.6200,3.4389,107140500,0.0000
2010-02-26,47.7000,52.3200,42.7800,51.0000,3.7620,123120600,0.0000
2010-03-31,51.7500,61.1800,51.6700,59.5200,4.4918,84679700,1.3913
2010-04-30,60.6700,68.1000,59.7100,62.5160,4.7179,87455200,0.0000
2010-05-28,63.3100,65.3500,41.0700,47.5800,3.5908,139368100,0.0000
2010-06-30,46.0700,52.4400,38.9200,39.1000,2.9543,111217200,0.0568
2010-07-30,39.2300,50.1500,36.8300,47.3950,3.5811,90336900,0.0000
2010-08-31,49.6100,51.1100,39.6500,41.1300,3.1077,76775900,0.0000
2010-09-30,42.6100,54.9700,42.5200,52.7500,3.9936,59693100,0.1022
2010-10-29,53.8500,60.5900,51.3500,58.9600,4.4637,44239800,0.0000
2010-11-30,59.7700,65.7600,57.4101,58.9500,4.4630,35407000,0.0000
2010-12-31,61.4700,72.1000,61.4700,71.5000,5.4131,20590300,0.0000
2011-01-31,72.9900,79.2300,71.8200,76.1800,5.7674,20672800,0.0000
2011-02-28,77.6000,87.4600,77.5100,84.1500,6.3708,19721300,0.0000
2011-03-31,85.0000,85.1500,69.8400,83.8500,6.3481,36460000,0.0000
2011-04-29,85.3400,91.3976,77.8800,91.2100,6.9053,20445300,0.0000
2011-05-31,92.4700,92.6490,80.9700,87.8000,6.6472,24651700,0.0000
2011-06-30,87.1000,87.2300,71.2300,82.4900,6.2452,27899900,0.0000
2011-07-29,82.6200,89.6990,74.6600,76.7100,5.8076,31254000,0.0000
2011-08-31,79.4600,81.9100,45.3800,59.9300,4.5372,103633000,0.0000
2011-09-30,59.8900,61.5500,44.5590,46.3700,3.5106,83071700,0.0000
2011-10-31,45.5100,68.2400,39.2400,62.0200,4.6954,62850800,0.0000
2011-11-30,56.9400,65.5700,48.4200,59.7400,4.5228,49914100,0.0000
