date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,655.05,664.55,650.85,659.03,655.289797975999,123956203,0.0,1.0
2025-11-24,662.69,670.06,661.59,668.73,664.934747432575,80437940,0.0,1.0
2025-11-25,668.63,676.21,664.48,675.02,671.189049709055,81077088,0.0,1.0
2025-11-26,677.63,681.7,676.72,679.68,675.822602746957,71879597,0.0,1.0
2025-11-28,680.86,683.665,680.5,683.39,679.511547332925,49212030,0.0,1.0
2025-12-01,678.81,682.99,678.74,680.27,676.409254311841,61201193,0.0,1.0
2025-12-02,681.92,683.82,679.3275,681.53,677.66210341651,62953844,0.0,1.0
2025-12-03,680.57,684.91,679.69,683.89,680.008709676048,57238481,0.0,1.0
2025-12-04,685.3,685.37,681.34,684.39,680.50587201917,61970336,0.0,1.0
2025-12-05,685.47,688.39,684.58,685.69,681.798494111289,79241045,0.0,1.0
2025-12-08,686.59,686.64,681.57,683.63,679.750185257624,53033654,0.0,1.0
2025-12-09,683.15,685.385,682.59,683.04,679.16353369274,56313923,0.0,1.0
2025-12-10,682.56,688.97,681.31,687.57,683.667824521429,85671334,0.0000,1.0
2025-12-11,685.14,689.25,682.165,689.17,685.258744019421,86173678,0.0000,1.0
2025-12-12,688.17,688.88,679.1744,681.76,677.890798094346,113160347,0.0000,1.0
2025-12-15,685.74,685.76,679.25,680.73,676.866643667514,90810952,0.0000,1.0
2025-12-16,679.23,681.08,674.98,678.87,675.017199751098,122030631,0.0000,1.0
2025-12-17,679.89,680.435,671.195,671.4,667.589594344849,110625198,0.0000,1.0
2025-12-18,677.6,680.74,674.9,676.47,672.63082050411,108650128,0.0000,1.0
2025-12-19,676.59,681.09,676.47,680.59,678.70949322261,103599543,1.9934,1.0
2025-12-22,683.94,685.36,680.5868,684.83,682.937777874551,69556733,0.0000,1.0
2025-12-23,683.92,688.2,683.87,687.96,686.059129516195,64839951,0.0000,1.0
2025-12-24,687.95,690.83,687.8,690.38,688.472442926029,39445560,0.0000,1.0
2025-12-26,690.64,691.66,689.27,690.31,688.402636339794,41613347,0.0000,1.0
2025-12-29,687.54,689.2,686.07,687.85,685.949433452112,62559503,0.0000,1.0
2025-12-30,687.445,688.555,686.58,687.01,685.111754417293,47160671,0.0000,1.0
2025-12-31,687.14,687.36,681.71,681.92,680.035818361073,74144801,0.0000,1.0
2026-01-02,685.71,686.87,679.82,683.17,681.282364543838,89377203,0.0000,1.0
2026-01-05,686.54,689.43,686.375,687.72,685.819792649104,71927191,0.0000,1.0
2026-01-06,687.93,692.315,687.78,691.81,689.898491759112,69273827,0.0000,1.0
2026-01-07,692.19,693.96,689.32,689.58,687.674653369059,75588337,0.0000,1.0
2026-01-08,688.82,690.615,687.49,689.51,687.604846782824,64019200,0.0000,1.0
2026-01-09,690.63,695.31,689.18,694.07,692.152247257552,80125467,0.0000,1.0
2026-01-12,690.68,696.09,690.63,695.16,693.239235528923,63976002,0.0000,1.0
2026-01-13,695.49,696.09,691.35,693.77,691.853076173688,78309726,0.0000,1.0
2026-01-14,691.0,691.72,686.04,690.36,688.452498187104,94676684,0.0000,1.0
2026-01-15,694.57,695.45,691.25,692.24,690.327303645983,77861974,0.0000,1.0
2026-01-16,693.66,694.25,690.1,691.66,689.74890621718,79289200,0.0000,1.0
2026-01-20,681.49,684.77,676.57,677.58,675.707810014512,107178877,0.0000,1.0
2026-01-21,679.65,688.735,678.13,685.4,683.506202933891,127844467,0.0000,1.0
2026-01-22,689.85,691.13,686.92,688.98,687.076311201331,77112243,0.0000,1.0
2026-01-23,688.15,690.96,687.16,689.23,687.325620437884,63059578,0.0000,1.0
2026-01-26,690.49,694.13,689.92,692.73,690.815949749627,60473813,0.0000,1.0
2026-01-27,694.18,696.53,693.57,695.49,693.568323721173,54124395,0.0000,1.0
2026-01-28,697.05,697.84,693.94,695.42,693.498517134938,61172165,0.0000,1.0
2026-01-29,696.39,697.06,684.83,694.04,692.122330149165,97486198,0.0000,1.0
2026-01-30,691.79,694.21,687.12,691.97,690.058049670506,101835131,0.0000,1.0
2026-02-02,689.58,696.93,689.42,695.41,693.488544765476,77975410,0.0000,1.0
2026-02-03,696.21,696.96,684.03,689.53,687.624791521748,105889540,0.0000,1.0
2026-02-04,690.35,691.45,681.76,686.19,684.294020121399,105204600,0.0000,1.0
2026-02-05,680.94,683.69,675.79,677.62,675.74769949236,113610812,0.0000,1.0
2026-02-06,681.46,692.31,680.85,690.62,688.711779793119,89127566,0.0000,1.0
2026-02-09,689.42,695.87,688.34,693.95,692.032578824006,73885192,0.0000,1.0
2026-02-10,694.95,696.54,691.66,692.12,690.207635212438,65185725,0.0000,1.0
2026-02-11,696.39,697.14,689.18,691.96,690.048077301044,76353872,0.0000,1.0
2026-02-12,694.24,695.35,680.37,681.27,679.387614346035,118828963,0.0000,1.0
2026-02-13,681.69,686.28,677.52,681.75,679.866288080217,96267487,0.0000,1.0
2026-02-17,680.14,684.94,675.78,682.85,680.96324872105,81354660,0.0000,1.0
2026-02-18,684.02,689.15,682.83,686.29,684.39374381602,73570341,0.0000,1.0
2026-02-19,683.84,686.18,681.5475,684.48,682.588744943376,58649363,0.0000,1.0
2026-02-20,682.32,690.06,681.73,689.43,687.525067827127,100033986,0.0000,1.0
2026-02-23,687.83,690.0,680.371,682.39,680.504519725793,90558087,0.0000,1.0
2026-02-24,681.9,688.35,680.0,687.35,685.450814979005,73798727,0.0000,1.0
2026-02-25,690.18,693.68,690.1,693.15,691.234789267036,56369479,0.0000,1.0
2026-02-26,693.28,693.3,684.35,689.3,687.395427024119,71670990,0.0000,1.0
2026-02-27,683.09,686.86,681.64,685.99,684.094572732157,83308868,0.0000,1.0
2026-03-02,678.7,688.62,678.02,686.38,684.483495141179,87477198,0.0000,1.0
2026-03-03,675.06,682.61,669.66,680.33,678.450211616595,105003113,0.0000,1.0
2026-03-04,681.63,687.09,679.62,685.13,683.236948958414,79182244,0.0000,1.0
2026-03-05,682.08,685.53,675.61,681.31,679.427503823883,106606464,0.0000,1.0
2026-03-06,673.41,676.11,669.76,672.38,670.522177894208,100686951,0.0000,1.0
2026-03-09,666.39,679.92,662.39,678.27,676.395903507398,102667711,0.0000,1.0
2026-03-10,677.72,683.36,674.76,677.18,675.308915236027,81505315,0.0000,1.0
2026-03-11,677.58,680.08,673.34,676.33,674.461263831746,68441672,0.0000,1.0
2026-03-12,671.16,671.65,665.87,666.06,664.219640394146,108882246,0.0000,1.0
2026-03-13,669.27,672.335,661.36,662.29,660.460057106926,97200242,0.0000,1.0
2026-03-16,668.38,672.07,667.12,669.03,667.181434124397,82023130,0.0000,1.0
2026-03-17,672.39,674.44,669.7,670.79,668.93657114973,87128044,0.0000,1.0
2026-03-18,668.36,669.72,661.19,661.43,659.602433333183,82062576,0.0000,1.0
2026-03-19,656.97,662.98,655.17,659.8,657.976937110857,111272539,0.0000,1.0
2026-03-20,656.51,656.69,644.72,648.57,648.57,163617522,1.7970,1.0
2026-03-23,658.07,662.615,653.94,655.38,655.38,134802732,0.0000,1.0
2026-03-24,651.32,657.03,649.88,653.18,653.18,96457478,0.0000,1.0
2026-03-25,658.67,660.89,654.24,656.82,656.82,90653787,0.0000,1.0
2026-03-26,652.06,654.85,644.82,645.09,645.09,96494375,0.0000,1.0
2026-03-27,642.5,642.66,633.105,634.09,634.09,103649368,0.0000,1.0
2026-03-30,640.11,640.37,629.28,631.97,631.97,99275851,0.0000,1.0
2026-03-31,638.94,651.54,637.98,650.34,650.34,152534102,0.0000,1.0
2026-04-01,653.9,658.52,653.0,655.24,655.24,97841472,0.0000,1.0
2026-04-02,646.42,658.2,645.11,655.83,655.83,68358713,0.0000,1.0
2026-04-06,655.86,659.72,655.52,658.93,658.93,39105758,0.0000,1.0
2026-04-07,656.65,659.61,651.06,659.22,659.22,69980362,0.0000,1.0
2026-04-08,676.39,677.08,671.46,676.01,676.01,93606114,0.0000,1.0
2026-04-09,674.84,681.16,673.77,679.91,679.91,57134445,0.0000,1.0
2026-04-10,681.32,682.03,678.45,679.46,679.46,42253456,0.0000,1.0
2026-04-13,677.41,686.3,676.58,686.1,686.1,54185819,0.0000,1.0
2026-04-14,687.69,694.58,687.66,694.46,694.46,63480529,0.0000,1.0
2026-04-15,695.26,700.28,694.2,699.94,699.94,58240384,0.0000,1.0
2026-04-16,701.06,702.78,698.53,701.66,701.66,49972363,0.0000,1.0
2026-04-17,706.14,712.39,705.76,710.14,710.14,70661926,0.0000,1.0
2026-04-20,708.78,709.91,706.14,708.72,708.72,43546812,0.0000,1.0
2026-04-21,710.28,711.275,702.64,704.08,704.08,58941384,0.0000,1.0
2026-04-22,709.15,711.45,708.22,711.21,711.21,42518498,0.0000,1.0
2026-04-23,709.5,712.3598,702.2803,708.45,708.45,56173990,0.0000,1.0
2026-04-24,710.75,714.47,709.01,713.94,713.94,45181957,0.0000,1.0
2026-04-27,713.17,715.63,712.295,715.17,715.17,33135943,0.0000,1.0
2026-04-28,711.815,712.88,709.25,711.69,711.69,43117436,0.0000,1.0
