date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2011-05-31,12.8100,12.9800,12.2300,12.7000,5.7277,2769000,0.0000
2011-06-30,12.7100,12.7500,11.5800,12.2500,5.6196,3884200,0.2100
2011-07-29,12.2900,12.8100,12.1200,12.2900,5.6380,1102400,0.0000
2011-08-31,12.5000,12.5000,9.5500,10.7600,4.9361,1790900,0.0000
2011-09-30,10.7500,11.8400,9.8700,10.2000,4.7968,1263200,0.2600
2011-10-31,10.1400,11.2700,9.8000,10.7400,5.0507,1130800,0.0000
2011-11-30,10.5100,10.8000,10.0200,10.4900,4.9331,1519500,0.0000
2011-12-30,10.5000,11.9500,10.3600,11.4700,5.5159,1865600,0.2600
2012-01-31,11.5900,12.3700,11.4400,11.9800,5.7612,1135500,0.0000
2012-02-29,12.0100,12.6200,11.8600,12.2900,5.9103,853100,0.0000
2012-03-30,12.4200,14.1700,12.3300,13.9600,6.8417,3120600,0.2600
2012-04-30,13.9900,14.3400,12.8800,13.9200,6.8221,1350600,0.0000
2012-05-31,13.9000,14.7500,12.3400,13.7500,6.7388,6230900,0.0000
2012-06-29,13.5800,15.0700,13.3200,14.5800,7.2805,6304600,0.2700
2012-07-31,14.6500,15.2300,14.0400,14.4600,7.2206,4053200,0.0000
2012-08-31,14.5800,15.8200,14.1700,15.3900,7.6850,6577738,0.0000
2012-09-28,15.4500,16.5000,15.2600,16.2600,8.2576,7110900,0.2700
2012-10-31,16.3300,17.6000,16.0100,17.3200,8.7959,4555400,0.0000
2012-11-30,17.3700,19.0700,16.2500,18.8500,9.5729,14505600,0.0000
2012-12-31,19.0000,19.0600,16.9300,17.9700,9.2652,9636200,0.2700
2013-01-31,18.2400,20.1700,17.9700,19.7200,10.1675,12910071,0.0000
2013-02-28,19.8400,21.3100,19.7000,21.2100,10.9357,7272600,0.0000
2013-03-28,21.2000,22.1900,20.9500,21.2700,11.1219,5958200,0.3000
2013-04-30,21.3600,22.7200,21.0200,22.0400,11.5245,6577200,0.0000
2013-05-31,22.1100,24.3500,21.3900,22.0000,11.5036,7513800,0.0000
2013-06-28,22.0900,22.2800,19.3000,19.9500,10.5884,8599800,0.3000
2013-07-31,20.1000,22.1000,19.2200,20.7300,11.0024,9003000,0.0000
2013-08-30,20.7900,22.3200,18.7600,20.0000,10.6149,6878900,0.0000
2013-09-30,20.2400,21.8200,19.6400,20.1200,10.8346,5464600,0.3000
2013-10-31,20.1300,22.0500,19.3900,20.9100,11.3121,5581600,0.1000
2013-11-29,20.8000,22.4500,20.5100,21.6800,11.7831,4660200,0.1000
2013-12-31,21.6200,21.7100,19.2800,20.3900,11.1368,5940400,0.1000
2014-01-31,20.3200,22.4200,19.7500,21.4600,11.7792,5653600,0.1050
2014-02-28,21.5000,23.9900,20.5400,23.3100,12.8530,4659900,0.1050
2014-03-31,23.2500,24.7100,22.4000,24.1000,13.3480,9544500,0.1050
2014-04-30,24.0200,25.1900,23.2800,23.5300,13.0903,8357900,0.1050
2014-05-30,23.4900,24.2000,23.0500,23.9500,13.3830,8016700,0.1050
2014-06-30,24.0000,25.0400,23.5100,24.0100,13.4753,7280500,0.1050
2014-07-31,24.0200,24.4600,22.8400,22.8400,12.8780,5506900,0.1100
2014-08-29,22.7800,23.8500,22.4300,23.4300,13.2727,7801700,0.1100
2014-09-30,23.5000,23.7500,20.5700,20.7100,11.7932,9090445,0.1100
2014-10-31,20.7900,24.5400,20.6500,24.4000,13.9582,16494943,0.1100
2014-11-28,24.3700,25.2600,23.2500,23.8400,13.7006,6727159,0.1100
2014-12-31,23.8000,25.2000,23.5000,24.5000,14.1418,8198616,0.1100
2015-01-30,24.6100,27.6100,24.4100,26.2000,15.1864,7781706,0.1125
2015-02-27,26.3300,27.2300,24.4700,24.9500,14.5278,6924840,0.1125
2015-03-31,24.9600,25.4000,22.2800,23.5200,13.7606,11158228,0.1125
2015-04-30,23.4700,23.8100,21.6800,21.7300,12.7772,9005447,0.1125
2015-05-29,21.8100,22.3604,20.9600,21.3000,12.5888,10700265,0.1125
2015-06-30,21.3300,21.7600,19.8900,20.0000,11.8858,14990313,0.1125
2015-07-31,20.0700,21.2900,18.4800,19.6400,11.7423,14722345,0.1150
2015-08-31,19.6600,19.8300,16.7200,17.0600,10.2677,12303418,0.1150
2015-09-30,17.0200,18.4000,16.6600,18.2100,11.0302,11810858,0.1150
2015-10-30,18.3000,20.8600,18.0100,20.5200,12.4990,14762010,0.1150
2015-11-30,20.4600,21.1300,19.1000,20.4000,12.4965,9234466,0.1150
2015-12-31,20.4500,20.5300,18.0100,18.4500,11.3710,12393588,0.1150
2016-01-29,18.3000,18.8000,15.6650,16.9300,10.5059,11427107,0.1158
2016-02-29,16.8400,17.7600,14.9700,17.5600,10.9726,14526660,0.1158
2016-03-31,17.6700,20.5350,17.6700,20.3600,12.7960,13422847,0.1158
2016-04-29,20.2100,20.7700,19.4150,19.9600,12.6159,9201955,0.1158
2016-05-31,20.0200,21.6000,19.8750,21.3500,13.5679,10223759,0.1158
2016-06-30,21.3500,23.8300,21.2100,23.8100,15.2070,14279087,0.1158
2016-07-29,23.9300,25.5100,23.3400,25.3800,16.2862,12929909,0.1158
2016-08-31,25.3600,25.4650,23.8100,24.8300,16.0074,12137529,0.1158
2016-09-30,24.7800,25.3350,22.6800,24.5100,15.8747,10402708,0.1158
2016-10-31,24.4000,24.4100,21.8900,23.0700,15.0187,10906152,0.1158
2016-11-30,23.0000,24.0700,21.2100,23.6100,15.4457,12440141,0.1158
2016-12-30,23.6800,23.8800,22.6400,23.8700,15.6936,20283892,0.1158
2017-01-31,24.0000,24.5500,22.7000,23.1400,15.2899,15818317,0.1167
2017-02-28,23.1700,25.9900,23.0800,25.8300,17.1449,15111496,0.1167
2017-03-31,25.7200,26.2441,23.9800,25.0200,16.6858,19193990,0.1167
2017-04-28,25.0200,26.8700,24.8400,26.3600,17.6566,16820811,0.1167
2017-05-31,26.4400,27.2300,25.4000,26.9800,18.1501,13522499,0.1167
2017-06-30,27.0000,28.7500,26.8350,27.6000,18.6469,19427970,0.1167
2017-07-31,27.6200,28.3100,26.6500,27.2900,18.5166,9693504,0.1175
2017-08-31,27.4500,28.4850,26.4300,27.9900,19.0725,17487415,0.1175
2017-09-29,28.0300,28.9500,27.2300,27.4700,18.7976,10523099,0.1175
2017-10-31,27.5300,28.3000,27.1400,27.3000,18.7615,8434530,0.1175
2017-11-30,27.4000,28.9100,27.3000,28.3000,19.5296,13434599,0.1175
