date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2004-01-30,101.5000,103.7200,101.0800,102.9500,51.9346,3027300,0.0000
2004-02-27,102.9800,105.2200,102.8100,105.1600,53.0495,2811400,0.0000
2004-03-31,105.4700,107.6700,105.0200,106.9100,53.9323,3088300,0.0000
2004-04-30,106.2500,106.4300,100.8000,101.2600,51.3317,2343900,0.5197
2004-05-28,100.6800,102.8700,99.5300,102.7500,52.3679,2107900,0.5441
2004-06-30,101.7500,102.2700,100.1000,101.9200,52.2939,1950500,0.6865
2004-07-30,101.7000,102.9700,101.0200,102.3300,52.7161,1038400,0.4115
2004-08-31,101.8000,104.7500,101.6500,104.5300,54.1347,1106100,0.5398
2004-09-30,104.0000,104.6900,102.9300,104.1900,54.1793,1362600,0.4257
2004-10-29,103.6900,105.7500,102.7500,105.3300,54.7721,1119900,0.0000
2004-11-30,105.0000,105.9900,104.0500,104.8200,54.5941,1632400,0.1677
2004-12-31,104.6500,107.0300,104.0300,105.8100,55.5542,2044200,0.8481
2005-01-31,105.5000,106.4000,104.7000,105.8200,55.5594,3566700,0.0000
2005-02-28,105.6000,107.3200,104.9000,105.1000,55.2663,2833800,0.1623
2005-03-31,105.0200,106.2000,103.6500,105.3300,55.3873,3864500,0.0000
2005-04-29,105.4600,107.4500,104.2000,106.9000,56.3714,3198000,0.2967
2005-05-31,106.5400,107.4500,105.7700,107.2900,56.7998,2408200,0.4194
2005-06-30,107.0000,107.9000,105.3100,107.2300,57.0906,2837200,0.6120
2005-07-29,106.3700,106.4500,103.4100,103.9100,55.6821,2803600,0.6872
2005-08-31,103.3400,105.8600,102.4000,105.8500,57.0918,3290400,0.6725
2005-09-30,105.4200,106.0000,104.6100,105.2700,57.0031,3592500,0.4173
2005-10-31,104.8800,104.8900,102.8000,103.5800,56.2561,3488400,0.3126
2005-11-30,103.3400,104.0000,102.2500,103.3300,56.3555,3259500,0.4321
2005-12-30,102.3200,103.3290,101.6500,102.8201,56.9399,3542400,1.5658
2006-01-31,102.6900,103.4900,102.0100,102.8500,56.9565,5359000,0.0000
2006-02-28,102.7600,103.2000,101.6900,102.8500,56.9565,3063500,0.0000
2006-03-31,102.7200,102.8000,100.3200,100.6500,55.7381,3941000,0.0000
2006-04-28,99.7600,100.3500,98.8900,99.9000,55.6075,4423200,0.5146
2006-05-31,99.4100,100.2000,98.6200,99.7000,55.7734,3981800,0.4949
2006-06-30,99.1500,100.0600,98.3000,99.5700,56.0118,5083700,0.5542
2006-07-31,98.7800,100.7200,98.2100,100.5100,56.8589,3672800,0.5563
2006-08-31,99.8100,101.7440,99.8100,101.6100,57.8037,3971200,0.5617
2006-09-29,100.9100,101.6000,99.8000,101.1500,57.8678,3439000,0.5718
2006-10-31,100.7100,100.9800,98.7000,100.6200,57.8248,4252600,0.4556
2006-11-30,100.1000,101.2400,99.4000,101.1300,58.4436,3987800,0.5628
2006-12-29,101.1500,101.6455,98.4200,98.8000,57.0971,4955000,0.0000
2007-01-31,99.3500,99.4800,97.7700,99.0300,57.2300,4559700,0.0000
2007-02-28,99.1100,101.4300,98.4000,100.7100,58.2009,4506500,0.0000
2007-03-30,100.9700,101.6600,99.7200,101.0400,58.5526,3452000,0.2781
2007-04-30,101.1800,102.2500,99.1900,101.3400,58.9417,3344100,0.3691
2007-05-31,101.0700,101.0900,99.2600,99.6300,58.1685,3702500,0.3856
2007-06-29,98.9900,99.2000,97.2100,98.9800,58.0500,4824400,0.4465
2007-07-31,98.5700,100.8100,97.7268,100.8000,59.3789,4206300,0.4371
2007-08-31,100.2600,101.4000,99.0000,101.1800,59.8680,4252400,0.4448
2007-09-28,100.9200,102.7499,100.5600,102.0300,60.6341,3339700,0.4396
2007-10-31,101.6100,103.8000,100.7700,102.8000,61.3409,3835800,0.4154
2007-11-30,102.8500,109.1000,102.8500,106.7000,63.8649,6910800,0.3198
2007-12-31,106.7000,106.9700,103.9900,105.8000,63.9020,5418100,0.9564
2008-01-31,105.9100,110.5700,105.7000,109.5800,66.1851,8810600,0.0000
2008-02-29,109.4100,110.5800,106.6900,110.5700,67.1263,11720300,0.5607
2008-03-31,110.1900,112.1100,108.1900,109.9000,67.0327,14489800,0.5164
2008-04-30,108.9200,109.6200,106.2500,107.1100,65.7121,10638100,0.6319
2008-05-30,107.0300,109.0600,105.8600,106.7800,65.7824,10482200,0.4438
2008-06-30,105.9600,108.2000,104.6700,107.8500,66.9575,9971900,0.8255
2008-07-31,107.8500,109.1700,105.1600,106.4700,66.5491,11814700,0.7268
2008-08-29,105.4000,107.0100,104.2620,106.3600,67.0665,9549700,0.9341
2008-09-30,105.1400,106.5900,101.2300,101.3000,64.3696,14787500,0.8154
2008-10-31,101.5000,102.6000,91.3600,92.3700,59.1563,19039400,0.8000
2008-11-28,92.8100,96.0900,90.6500,93.1800,59.6750,13741200,0.0000
2008-12-31,93.7400,102.2000,93.3800,99.2400,63.5560,14866200,0.0000
2009-01-30,99.4400,100.8700,96.6600,99.2000,63.5304,17271400,0.0000
2009-02-27,99.4800,101.0300,97.0200,97.0200,62.1342,23782400,0.0000
2009-03-31,97.3100,103.6500,96.2200,102.7500,65.8039,23201200,0.0000
2009-04-30,102.8200,102.8500,100.0000,100.4400,64.6216,21769900,0.4740
2009-05-29,99.4800,102.0900,98.6400,101.8100,65.9155,25204300,0.6226
2009-06-30,100.9500,101.7500,99.3100,101.6400,66.0479,27790800,0.3707
2009-07-31,100.9900,101.5000,99.8600,101.3400,66.1063,19884900,0.3888
2009-08-31,100.4600,102.4700,99.6200,101.7600,66.6641,25073500,0.4292
2009-09-30,100.7800,102.9500,100.5000,102.8300,67.9790,27273500,0.9204
2009-10-30,103.0600,104.7918,102.5200,104.0100,68.7907,26655200,0.0474
2009-11-30,103.8400,106.5800,103.4500,106.3600,70.5767,20439200,0.3421
2009-12-31,106.3900,106.4400,103.3300,103.9000,69.2383,24786800,0.4469
2010-01-29,103.9900,105.5000,103.7800,105.4900,70.2979,24650400,0.0000
2010-02-26,105.1600,105.4700,103.4089,103.9100,69.3819,23514000,0.2081
2010-03-31,103.9900,104.8300,103.0700,103.9000,69.3782,23843600,0.0044
2010-04-30,103.3000,106.1500,102.2900,106.0600,71.1228,21554200,0.4415
2010-05-28,105.7800,107.6600,105.1000,106.1000,71.2595,24260800,0.1633
2010-06-30,105.7700,107.0100,105.0700,106.9100,72.1725,16673700,0.5414
2010-07-30,106.3700,106.6100,105.2300,106.3700,71.9980,11658700,0.2806
2010-08-31,106.1000,108.3095,106.0600,108.2400,73.3961,17071400,0.1921
2010-09-30,107.7600,109.9590,107.1300,109.0600,73.9728,16081600,0.0301
2010-10-29,108.8000,112.5000,108.6800,111.6200,75.8030,16127800,0.1354
2010-11-30,111.8000,112.4800,108.1800,109.4800,74.5195,17556800,0.2548
2010-12-31,108.9100,109.0800,105.4800,107.5200,73.4871,19919400,0.4413
2011-01-31,106.9700,108.3400,106.6964,107.5400,73.5008,15411100,0.0000
2011-02-28,107.1800,108.4500,104.9000,108.1500,74.0308,16160600,0.1641
2011-03-31,107.7900,110.5000,107.7000,109.1600,74.9111,19550100,0.2744
2011-04-29,108.5200,111.3100,108.3100,111.1600,76.6915,15185400,0.5821
2011-05-31,110.6800,111.3900,109.8700,110.8600,76.8947,17241700,0.5939
2011-06-30,110.1800,111.6200,109.9500,110.6400,77.4702,18352300,1.0493
2011-07-29,110.1700,114.3600,109.6500,114.1700,80.4904,20210400,0.7549
2011-08-31,113.6400,118.5944,113.4400,114.3200,81.0075,36787500,0.5813
2011-09-30,114.5900,117.0700,114.1900,114.3000,81.0005,24955500,0.0102
2011-10-31,114.6300,116.5500,113.4100,116.4900,82.6764,18955300,0.1730
