date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,89.65,89.67,89.195,89.5,87.8441079419202,41938628,0.0,1.0
2025-11-24,89.95,90.0665,89.7801,90.01,88.3446721324272,30865695,0.0,1.0
2025-11-25,90.31,90.59,90.13,90.24,88.5704167673617,36503342,0.0,1.0
2025-11-26,90.15,90.64,89.83,90.64,88.9630161324653,34098962,0.0,1.0
2025-11-28,90.46,90.5299,89.95,90.21,88.540971814979,40704287,0.0,1.0
2025-12-01,88.845,88.99,88.71,88.77,87.4423296036605,47086647,0.3206,1.0
2025-12-02,88.575,88.955,88.46,88.81,87.4817313518203,27605681,0.0,1.0
2025-12-03,88.92,89.155,88.74,89.06,87.7279922778191,23278580,0.0,1.0
2025-12-04,88.91,88.93,88.48,88.58,87.2551712999014,25541459,0.0,1.0
2025-12-05,88.55,88.55,88.045,88.17,86.8513033812633,32808068,0.0,1.0
2025-12-08,88.185,88.2,87.56,87.88,86.5656407071047,32097083,0.0,1.0
2025-12-09,88.34,88.345,87.84,87.97,86.6542946404643,25685485,0.0,1.0
2025-12-10,88.0,88.52,87.855,88.31,86.6699591210237,46833512,0.0000,1.0
2025-12-11,88.69,88.83,88.16,88.19,86.5521876897643,26778686,0.0000,1.0
2025-12-12,87.375,87.495,87.19,87.34,85.7179733850098,47030122,0.0000,1.0
2025-12-15,87.715,87.88,87.39,87.4,85.7768591006395,28611787,0.0000,1.0
2025-12-16,87.185,87.92,87.17,87.88,86.2479448256773,41018681,0.0000,1.0
2025-12-17,87.625,87.9856,87.5801,87.8,86.169430538171,24668305,0.0000,1.0
2025-12-18,88.13,88.38,88.07,88.22,86.5816305475791,39048891,0.0000,1.0
2025-12-19,87.605,87.76,87.41,87.55,86.2601508530988,37858082,0.3424,1.0
2025-12-22,87.415,87.4574,87.25,87.36,86.0729500688373,25547134,0.0000,1.0
2025-12-23,87.07,87.58,87.03,87.5,86.2108874888194,33624059,0.0000,1.0
2025-12-24,87.76,88.08,87.65,88.03,86.7330791501803,25942006,0.0000,1.0
2025-12-26,88.1,88.1699,87.6,87.74,86.4473516373602,26522734,0.0000,1.0
2025-12-29,87.95,88.0703,87.79,88.07,86.7724898416037,29399823,0.0000,1.0
2025-12-30,87.74,88.04,87.6744,87.86,86.5655837116306,25106784,0.0000,1.0
