ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-01,2026-03-31,2026-04-01,2026-04-07,0.344779
2026-03-02,2026-02-27,2026-03-02,2026-03-05,0.300633
2026-02-02,2026-01-30,2026-02-02,2026-02-05,0.331885
2025-12-19,2025-12-18,2025-12-19,2025-12-24,0.342437
2025-12-01,2025-11-28,2025-12-01,2025-12-04,0.320648
2025-11-03,2025-10-31,2025-11-03,2025-11-06,0.325125
2025-10-01,2025-09-30,2025-10-01,2025-10-06,0.310447
2025-09-02,2025-08-29,2025-09-02,2025-09-05,0.328083
2025-08-01,2025-07-31,2025-08-01,2025-08-06,0.330802
2025-07-01,2025-06-30,2025-07-01,2025-07-07,0.328301
2025-06-02,2025-05-30,2025-06-02,2025-06-05,0.319532
2025-05-01,2025-04-30,2025-05-01,2025-05-06,0.327612
2025-04-01,2025-03-31,2025-04-01,2025-04-04,0.325582
2025-03-03,2025-02-28,2025-03-03,2025-03-06,0.289817
2025-02-03,2025-01-31,2025-02-03,2025-02-06,0.312282
2024-12-18,2024-06-24,2024-12-18,2024-12-23,0.351032
2024-12-02,2024-06-24,2024-12-02,2024-12-05,0.325021
2024-11-01,2024-06-24,2024-11-01,2024-11-06,0.310541
2024-10-01,2024-06-24,2024-10-01,2024-10-04,0.315755
2024-09-03,2024-06-24,2024-09-03,2024-09-06,0.312782
2024-08-01,2024-06-24,2024-08-01,2024-08-06,0.314856
2024-07-01,2024-06-24,2024-07-01,2024-07-05,0.291104
2024-06-03,2024-05-31,2024-06-03,2024-06-07,0.308295
2024-05-01,2024-04-30,2024-05-02,2024-05-07,0.307743
2024-04-01,2024-03-28,2024-04-02,2024-04-05,0.312425
2024-03-01,2024-02-29,2024-03-04,2024-03-07,0.295234
2024-02-01,2024-01-31,2024-02-02,2024-02-07,0.310122
2023-12-14,2023-12-13,2023-12-15,2023-12-20,0.310534
2023-12-01,2023-11-30,2023-12-04,2023-12-07,0.28892
2023-11-01,2023-10-31,2023-11-02,2023-11-07,0.286291
2023-10-02,2023-09-29,2023-10-03,2023-10-06,0.280014
2023-09-01,2023-08-31,2023-09-05,2023-09-08,0.288579
2023-08-01,2023-07-31,2023-08-02,2023-08-07,0.275282
2023-07-03,2023-06-30,2023-07-05,2023-07-10,0.277716
2023-06-01,2023-05-31,2023-06-02,2023-06-07,0.273047
2023-05-01,2023-04-28,2023-05-02,2023-05-05,0.267995
2023-04-03,2023-03-31,2023-04-04,2023-04-07,0.268755
2023-03-01,2023-02-28,2023-03-02,2023-03-07,0.249766
2023-02-01,2023-01-31,2023-02-02,2023-02-07,0.275496
2022-12-15,2022-12-14,2022-12-16,2022-12-21,0.261059
2022-12-01,2022-11-30,2022-12-02,2022-12-07,0.244243
2022-11-01,2022-10-31,2022-11-02,2022-11-07,0.235637
2022-10-03,2022-09-30,2022-10-04,2022-10-07,0.244114
2022-09-01,2022-08-31,2022-09-02,2022-09-08,0.236135
2022-08-01,2022-07-29,2022-08-02,2022-08-05,0.213043
2022-07-01,2022-06-30,2022-07-05,2022-07-08,0.226939
2022-06-01,2022-05-31,2022-06-02,2022-06-07,0.207438
2022-05-02,2022-04-29,2022-05-03,2022-05-06,0.20313
2022-04-01,2022-03-31,2022-04-04,2022-04-07,0.201727
2022-03-01,2022-02-28,2022-03-02,2022-03-07,0.184723
2022-02-01,2022-01-31,2022-02-02,2022-02-07,0.198134
2021-12-16,2021-12-15,2021-12-17,2021-12-22,0.167606
2021-12-01,2021-11-30,2021-12-02,2021-12-07,0.184159
2021-11-01,2021-10-29,2021-11-02,2021-11-05,0.188215
2021-10-01,2021-09-30,2021-10-04,2021-10-07,0.183085
2021-09-01,2021-08-31,2021-09-02,2021-09-08,0.189348
2021-08-02,2021-07-30,2021-08-03,2021-08-06,0.181723
2021-07-01,2020-12-03,2021-07-02,2021-07-08,0.187502
2021-06-01,2020-12-03,2021-06-02,2021-06-07,0.199272
2021-05-03,2020-12-03,2021-05-04,2021-05-07,0.203071
2021-04-01,2020-12-03,2021-04-05,2021-04-08,0.185064
2021-03-01,2020-12-03,2021-03-02,2021-03-05,0.171726
2021-02-01,2020-12-03,2021-02-02,2021-02-05,0.175774
2020-12-17,2019-12-10,2020-12-18,2020-12-23,0.163928
2020-12-01,2019-12-10,2020-12-02,2020-12-07,0.163003
2020-11-02,2019-12-10,2020-11-03,2020-11-06,0.169451
2020-10-01,2019-12-10,2020-10-02,2020-10-07,0.16906
2020-09-01,2019-12-10,2020-09-02,2020-09-08,0.18292
2020-08-03,2019-12-10,2020-08-04,2020-08-07,0.19014
2020-07-01,2019-12-10,2020-07-02,2020-07-08,0.191656
2020-06-01,2019-12-10,2020-06-02,2020-06-05,0.210189
2020-05-01,2019-12-10,2020-05-04,2020-05-07,0.216207
