date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2002-08-30,82.5400,87.9000,82.5400,87.0800,38.6274,1470700,0.0000
2002-09-30,87.0800,90.9400,86.7500,90.4000,40.2698,3888500,0.3726
2002-10-31,89.1600,90.5200,84.0800,86.7300,38.7838,5249800,0.3427
2002-11-29,86.3000,89.1500,84.9100,85.5500,38.4291,3922900,0.3888
2002-12-31,84.3600,89.3300,84.1500,88.5700,40.1689,3884300,0.8358
2003-01-31,87.7000,88.4400,85.0200,88.0600,39.9376,3317000,0.0000
2003-02-28,87.6700,90.5400,87.3100,90.4700,41.1742,5212300,0.3076
2003-03-31,90.0000,91.3600,86.0500,88.9000,40.6123,7915500,0.3403
2003-04-30,88.4000,89.5200,85.9200,89.4500,41.0385,4628500,0.3779
2003-05-30,89.2000,96.2100,88.2000,94.6000,43.6318,12486700,0.4730
2003-06-30,93.8800,97.6600,91.5500,92.5000,42.8450,12939300,0.3984
2003-07-31,92.1500,92.4900,82.2300,82.9500,38.5695,26275000,0.3529
2003-08-29,82.1000,84.7900,80.9100,83.6500,39.0731,27897800,0.3780
2003-09-30,83.6300,88.2500,81.8800,88.2200,41.3946,19228900,0.3720
2003-10-31,87.5000,87.9300,82.7500,85.1900,40.1404,18245600,0.3669
2003-11-28,84.5600,86.9300,83.0500,85.1300,40.2775,10015900,0.3480
2003-12-31,84.4000,87.3400,83.8000,85.4500,40.8194,12636200,0.8175
2004-01-30,85.0900,88.9000,83.9000,87.0400,41.5790,16415600,0.0000
2004-02-27,86.4500,88.7800,86.2400,88.6600,42.5282,12248800,0.3581
2004-03-31,88.4600,91.4800,87.1100,89.5500,43.1281,25301200,0.3556
2004-04-30,88.9800,89.0600,83.0100,83.6400,40.4395,26199600,0.3480
2004-05-28,83.1000,83.9000,80.5100,83.1000,40.3350,29857600,0.3251
2004-06-30,82.3700,83.7500,80.7600,83.6500,40.7611,15253000,0.3215
2004-07-30,83.3500,85.5700,82.9300,84.5900,41.3851,17658300,0.3360
2004-08-31,84.5000,88.0000,84.3200,87.7700,43.1088,14912400,0.3299
