ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-25,2026-01-16,2026-03-25,2026-03-31,0.071616
2025-12-24,,,,0.085544
2025-09-24,2025-09-23,2025-09-24,2025-09-30,0.097812
2025-06-25,2025-06-24,2025-06-25,2025-07-01,0.218321
2025-03-26,2025-03-25,2025-03-26,2025-04-01,0.197726
2024-12-23,2023-12-20,2024-12-23,2024-12-31,0.275411
2024-09-25,2023-12-22,2024-09-25,2024-10-02,0.230214
2024-06-26,2023-12-22,2024-06-26,2024-07-03,0.282777
2024-03-20,2023-12-22,2024-03-21,2024-03-27,0.215144
2023-12-20,2023-12-19,2023-12-21,2023-12-28,0.223447
2023-09-20,2023-09-19,2023-09-21,2023-09-27,0.138645
2023-06-21,2023-06-20,2023-06-22,2023-06-28,0.12758
2023-03-22,2023-03-21,2023-03-23,2023-03-29,0.149799
2022-12-22,2022-12-21,2022-12-23,2022-12-30,0.097919
2021-12-23,2021-12-22,2021-12-27,2021-12-31,0.000119
2020-12-23,2020-12-22,2020-12-24,2020-12-31,0.000283
2019-12-24,,,,0.031273
2019-03-20,,,,0.020268
2018-12-26,,,,0.040781
2015-03-25,,,,0.010980011
2014-12-22,,,,0.0167148167
2014-06-25,,,,0.0118188118
