ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-06-11,2026-02-10,2026-06-11,2026-07-09,0.950329
2026-03-17,2025-11-12,2026-03-17,2026-04-09,0.955724
2025-12-11,2025-08-12,2025-12-11,2026-01-08,0.797246
2025-09-16,2025-05-13,2025-09-16,2025-10-09,0.81577
2025-06-12,2025-02-12,2025-06-12,2025-07-10,0.751983
2025-03-18,2024-11-12,2025-03-18,2025-04-10,0.683789
2024-12-12,2024-08-13,2024-12-12,2025-01-09,0.615593
2024-09-12,2024-05-10,2024-09-12,2024-10-09,0.625999
2024-06-13,2024-02-06,2024-06-13,2024-07-11,0.54429
2024-03-18,,,,0.553553
2023-12-14,2023-08-08,2023-12-15,2024-01-11,0.478667
2023-09-14,2023-05-09,2023-09-15,2023-10-12,0.471105
2023-06-15,2023-02-14,2023-06-16,2023-07-13,0.447547
2023-03-16,2022-11-08,2023-03-17,2023-04-13,0.448789
2022-12-15,2022-08-09,2022-12-16,2023-01-12,0.451278
2022-09-15,2022-05-10,2022-09-16,2022-10-13,0.447722
2022-06-16,2022-02-15,2022-06-17,2022-07-14,0.467289
2022-03-16,2021-11-09,2022-03-17,2022-04-14,0.489672
2021-12-16,2021-08-11,2021-12-17,2022-01-13,0.495978
2021-09-16,2021-06-10,2021-09-17,2021-10-14,0.496676
2021-06-17,2021-02-09,2021-06-18,2021-07-15,0.451263
2021-03-17,2020-11-10,2021-03-18,2021-04-15,0.448317
2020-12-17,2020-08-12,2020-12-18,2021-01-14,0.442227
2020-09-17,2020-05-14,2020-09-18,2020-10-15,0.426577
2020-06-18,,,,0.420451
2020-03-19,,,,0.416736
2019-12-19,,,,0.409983
2019-09-19,2019-07-09,2019-09-20,2019-10-17,0.3242542
2019-06-24,,,,1.275632
2018-06-25,,,,1.345351
2017-06-26,,,,0.920992
2016-06-27,,,,0.75155
2015-06-29,,,,0.5782786
2014-07-14,,,,0.39995621
2013-07-03,,,,0.4008657
2012-07-05,,,,0.4017816
2011-06-29,,,,0.4146186
2010-07-06,,,,0.3727466
2009-07-15,,,,0.3639513
2008-07-16,,,,0.3905375
2007-06-08,,,,0.3643311
2006-06-20,,,,0.3020884
2005-06-13,,,,0.2330668
2004-06-14,,,,0.0718944
