date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
1999-12-31,35.9400,45.7500,35.8100,45.0000,16.2212,34311900,0.0000
2000-01-31,47.2500,72.0000,45.0000,51.8700,18.6977,59124500,0.0000
2000-02-29,52.5000,70.5000,52.3100,59.8100,21.5598,59985500,0.0000
2000-03-31,60.8700,65.0000,50.2500,57.0000,20.5469,84640500,0.0000
2000-04-28,58.0000,58.1200,39.1900,52.3100,18.8563,88326500,0.0000
2000-05-31,52.6900,53.2500,31.2500,35.3100,12.7282,54613600,0.0000
2000-06-30,35.3100,41.0600,35.2500,38.5600,13.8998,81412100,0.0000
2000-07-31,39.0000,39.1300,27.5600,30.3800,10.9511,63328900,0.0000
2000-08-31,30.0000,37.5000,28.0000,35.0000,12.6165,64585400,0.0000
2000-09-29,34.0000,34.8800,20.3800,20.4400,7.3680,93199600,0.0000
2000-10-31,20.7500,24.4400,16.1300,22.6900,8.1791,139381300,0.0000
2000-11-30,21.5000,25.7500,16.7500,16.8100,6.0595,79807100,0.0000
2000-12-29,18.2500,20.1300,16.5600,17.2500,6.2181,62413700,0.0000
2001-01-31,18.1300,26.6300,16.8800,24.1400,8.7018,91826100,0.0000
2001-02-28,23.5000,24.2000,18.8200,18.8300,6.7877,62871900,0.0000
2001-03-30,18.0000,21.5900,17.1500,19.5000,7.0292,75974600,0.0000
2001-04-30,18.9500,24.5000,16.5600,24.2400,8.7378,109750200,0.0000
2001-05-31,24.0500,24.9800,19.5000,19.8600,7.1590,152262500,0.0000
2001-06-29,19.9000,22.5500,13.4600,15.1900,7.6658,136419800,0.0000
2001-07-31,15.2000,16.4700,13.1500,16.3000,8.2260,115827100,0.0000
2001-08-31,16.7500,17.5000,11.8400,12.9800,6.5505,233667600,0.0000
2001-09-28,13.0500,13.5100,8.3900,9.4900,4.7892,94506600,0.0000
2001-10-31,9.2000,14.0700,8.4500,12.9100,6.5152,155047400,0.0000
2001-11-30,13.0000,16.7400,12.6500,15.9300,8.0392,175831100,0.0000
2001-12-31,16.4000,19.4900,15.8600,17.1700,8.6650,147108400,0.0000
2002-01-31,17.5000,20.1400,16.8600,16.9700,8.5641,171341500,0.0000
2002-02-28,16.8000,18.5000,15.8500,16.2500,8.2007,169881100,0.0000
2002-03-28,16.2500,20.9900,16.2500,20.7500,10.4717,129803900,0.0000
2002-04-30,20.5000,20.8000,17.5100,17.7000,8.9325,147283900,0.0000
2002-05-31,17.7000,19.0800,16.0200,16.5800,8.3673,155930300,0.0000
2002-06-28,16.4500,16.5100,12.1400,13.0000,6.5606,170960500,0.0000
2002-07-31,12.7500,14.1100,8.3500,9.1200,4.6025,223039600,0.0000
