date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
1999-12-31,12.9400,17.5000,12.3100,12.9400,8.6266,16001737,0.0000
2000-01-31,13.3800,15.0000,10.8800,12.4400,8.2933,8988069,0.0000
2000-02-29,12.2500,14.7500,11.4700,12.4400,8.2933,7478605,0.0000
2000-03-31,12.6300,18.9400,12.2500,13.2500,8.8333,21426938,0.0000
2000-04-28,13.1300,13.4400,8.0000,9.6250,6.4166,8525935,0.0000
2000-05-31,9.6250,13.2500,8.8750,9.0630,6.0420,5978537,0.0000
2000-06-30,9.9690,13.5000,9.5000,12.1300,8.0866,10003470,0.0000
2000-07-31,12.1900,13.1900,9.1250,9.9380,6.6253,8607736,0.0000
2000-08-31,9.7500,14.5600,9.0000,13.8600,9.2399,10215938,0.0000
2000-09-29,13.9400,16.5000,10.4400,12.5600,8.3733,11450337,0.0000
2000-10-31,12.4100,13.5600,10.4400,12.4400,8.2933,5412802,0.0000
2000-11-30,12.0600,13.0000,8.4060,9.6880,6.4586,6566271,0.0000
2000-12-29,9.7500,11.6900,8.7500,11.5000,7.6666,5622604,0.0000
2001-01-31,11.5500,13.4400,10.1300,12.1900,8.1266,13005936,0.0000
2001-02-28,12.3100,13.3800,10.5600,11.5000,7.6666,8373738,0.0000
2001-03-30,11.3800,14.6300,10.4400,14.2700,9.5133,16180404,0.0000
2001-04-30,14.1900,14.4500,10.8800,13.9400,9.2933,15561471,0.0000
2001-05-31,14.2800,21.9100,14.0600,20.7600,13.8399,41028404,0.0000
2001-06-29,21.0000,24.5000,16.7200,18.5500,12.3666,34026404,0.0000
2001-07-31,18.9100,21.4700,16.2800,19.8600,13.2399,37530737,0.0000
2001-08-31,19.8500,21.6200,15.5100,16.6000,11.0666,54727138,0.0000
2001-09-28,16.2600,16.4000,6.7700,7.0700,4.7133,50880336,0.0000
2001-10-31,7.0900,14.4400,6.4400,13.9300,9.2866,27787605,0.0000
2001-11-30,14.1000,16.0700,12.6700,13.9400,9.2933,27397204,0.0000
2001-12-31,14.3500,17.5500,9.3000,16.1700,10.7799,73005737,0.0000
2002-01-31,16.2500,19.5000,15.8500,18.5600,12.3733,19880602,0.0000
2002-02-28,18.5600,18.9300,14.0000,18.6300,12.4199,32418668,0.0000
2002-03-28,18.3500,23.7000,17.8700,20.1000,13.3999,27256470,0.0000
2002-04-30,20.4400,26.9000,19.3700,25.1000,16.7332,18981736,0.0000
2002-05-31,25.2000,26.5000,23.2600,25.6700,17.1132,19480736,0.0000
2002-06-28,25.6200,27.0500,16.8000,20.5900,13.7266,31232137,0.0000
2002-07-31,20.6000,21.5400,16.0900,20.7400,13.8266,17151070,0.0000
2002-08-30,20.7000,26.5000,19.3600,25.1000,16.7332,20626338,0.0000
2002-09-30,25.3300,29.5800,24.4400,29.0000,19.3332,35482603,0.0000
2002-10-31,28.6500,30.7800,23.7600,25.7800,17.1866,57407404,0.0000
2002-11-29,25.6900,31.4800,25.3000,29.9300,19.9532,27032470,0.0000
2002-12-31,30.6000,30.7000,21.1800,23.4900,15.6599,50272402,0.0000
2003-01-31,23.8000,24.1000,19.8300,21.1900,14.1266,28994003,0.0000
2003-02-28,21.2900,21.5000,18.3000,20.9100,13.9399,25936470,0.0000
2003-03-31,21.1600,22.8300,18.3000,22.2900,14.8599,27409337,0.0000
2003-04-30,22.4300,24.1900,20.9500,22.5000,14.9999,21046471,0.0000
2003-05-30,22.5000,26.4300,21.6600,25.2700,16.8466,32704469,0.0000
2003-06-30,25.4900,31.4000,24.3800,28.3200,18.8799,33337071,0.0000
2003-07-31,28.2000,30.7000,25.4100,26.6200,17.7466,19174537,0.0000
2003-08-29,26.6500,30.2000,24.3500,29.8100,19.8732,14032870,0.0000
2003-09-30,29.9800,38.3600,28.8000,34.1600,22.7732,35074136,0.0000
2003-10-31,34.4500,41.6700,34.2600,39.4900,26.3265,22216203,0.0000
2003-11-28,38.2900,40.9100,30.0700,33.1000,22.0665,33802337,0.0000
2003-12-31,33.3500,34.2700,27.4200,28.8200,19.2132,48513335,0.0000
2004-01-30,28.9200,34.7500,28.3000,29.0000,19.3332,30997336,0.0000
2004-02-27,27.8700,33.4600,26.9000,31.3000,20.8665,25610336,0.0000
2004-03-31,31.4600,37.5000,31.3000,36.7900,24.5265,26837803,0.0000
2004-04-30,36.7400,37.4500,28.4900,28.8900,19.2599,33337536,0.0000
2004-05-28,28.8600,31.3600,27.5500,29.7700,19.8465,19183536,0.0000
2004-06-30,29.8600,31.1100,27.4000,30.6400,20.4265,32073671,0.0000
2004-07-30,30.7000,31.9300,28.7300,31.2400,20.8265,17087603,0.0000
2004-08-31,31.2000,33.6100,30.4000,32.7500,21.8332,16960738,0.0000
2004-09-30,32.6000,35.4600,31.6600,32.8500,21.8999,24050470,0.0000
2004-10-29,33.0100,35.5500,31.0200,32.9600,21.9732,21719802,0.0000
2004-11-30,32.9900,35.6200,32.2500,34.9500,23.2999,23108471,0.0000
2004-12-31,35.0000,36.6400,31.8000,34.7900,23.1932,40796537,0.0000
2005-01-31,35.0900,35.8200,31.8800,35.2500,23.4999,24859270,0.0000
2005-02-28,35.2500,38.6700,35.2500,36.6700,24.4465,16581869,0.0000
2005-03-31,36.7300,41.9900,36.4600,39.1000,26.0665,33414804,0.0000
2005-04-29,39.4700,40.3300,23.2900,23.5300,23.5299,16829268,0.0000
2005-05-31,23.7500,27.6500,23.4000,25.7600,25.7598,21258300,0.0000
2005-06-30,25.8100,29.6000,25.3000,25.4500,25.4498,32040400,0.0000
2005-07-29,25.6100,28.1600,23.0300,24.6100,24.6098,39094600,0.0000
2005-08-31,24.7500,25.9100,23.4500,23.8000,23.7999,22409300,0.0000
2005-09-30,23.7000,24.5000,21.3700,22.0900,22.0899,36597600,0.0000
2005-10-31,22.1600,22.1600,17.6400,20.6500,20.6499,43099500,0.0000
2005-11-30,18.7800,19.4700,16.9200,18.2500,18.2499,38542800,0.0000
2005-12-30,18.3500,19.8000,17.1000,17.7000,17.6999,23962300,0.0000
2006-01-31,17.7000,19.3800,13.6400,15.8599,15.8598,85693600,0.0000
2006-02-28,16.0000,17.3400,14.0500,15.5800,15.5799,37272000,0.0000
2006-03-31,15.5200,19.0000,14.6600,18.6600,18.6599,40474700,0.0000
2006-04-28,18.7000,19.4000,16.6800,17.0500,17.0499,25026900,0.0000
2006-05-31,17.0300,17.3600,14.7600,16.2900,16.2899,29297300,0.0000
2006-06-30,16.3800,16.9800,9.8500,10.8200,10.8199,79318400,0.0000
2006-07-31,10.8700,11.5000,9.0600,10.6800,10.6799,34303700,0.0000
2006-08-31,10.7100,13.0000,10.3400,12.2000,12.1999,27522700,0.0000
2006-09-29,11.0000,15.1500,10.8800,14.2600,14.2599,33466500,0.0000
2006-10-31,14.2000,16.2500,13.3400,13.9900,13.9899,33347800,0.0000
2006-11-30,14.0500,18.2300,13.9600,17.3499,17.3498,35967300,0.0000
2006-12-29,17.4300,20.5700,16.7100,17.7600,17.7599,44175100,0.0000
2007-01-31,17.9200,18.4800,15.9400,17.3800,17.3799,45256800,0.0000
2007-02-28,17.4200,21.0600,16.4900,17.8000,17.7999,46880100,0.0000
2007-03-30,15.7800,24.8000,15.6000,20.1400,20.1399,74871300,0.0000
2007-04-30,20.1700,21.8100,18.8500,19.1700,19.1699,30885800,0.0000
2007-05-31,19.2000,20.7300,18.3000,20.5900,20.5899,28666400,0.0000
2007-06-29,20.7200,21.7000,18.0000,19.9700,19.9699,37362700,0.0000
2007-07-31,20.1000,20.9500,17.4500,17.6300,17.6299,27509200,0.0000
2007-08-31,17.5500,17.7200,11.8200,15.9800,15.9799,74838300,0.0000
2007-09-28,15.9000,17.9300,15.0400,17.0800,17.0799,27984200,0.0000
2007-10-31,17.2600,19.5200,17.0300,18.7800,18.7799,24725400,0.0000
2007-11-30,17.9500,18.5000,14.1800,14.9800,14.9799,23347600,0.0000
2007-12-31,15.9500,19.4500,15.5200,18.4500,18.4499,35020000,0.0000
2008-01-31,18.4900,18.7100,13.5300,16.4400,16.4399,38799400,0.0000
2008-02-29,16.3900,27.6100,15.5000,26.5000,26.4998,106783400,0.0000
2008-03-31,26.1700,26.6600,24.1300,25.5200,25.5198,72166300,0.0000
2008-04-30,25.5000,27.1000,25.1900,26.2400,26.2398,37608400,0.0000
2008-05-30,26.0800,27.5700,25.7400,27.0700,27.0698,33240700,0.0000
2008-06-30,27.0900,27.9500,25.3900,25.5700,25.5698,33968700,0.0000
2008-07-31,25.5300,25.5400,22.7000,22.8000,22.7999,24971400,0.0000
2008-08-29,22.9300,25.7500,22.7400,25.0700,25.0698,25338500,0.0000
2008-09-30,25.3300,25.3400,14.7600,16.4000,16.4000,59152400,0.0001
2008-10-31,16.2100,16.3700,10.8100,11.8600,11.8600,25642200,0.0000
2008-11-28,11.8200,13.0300,9.3500,12.1500,12.1500,15543700,0.0000
2008-12-31,11.9100,12.8100,7.0600,7.5600,7.5600,30317300,0.0000
2009-01-30,7.5900,8.2500,6.8400,7.0200,7.0200,21070200,0.0000
2009-02-27,6.9700,8.3000,6.1800,6.1900,6.1900,17003800,0.0000
2009-03-31,6.1100,9.0900,5.5600,8.3500,8.3500,30366700,0.0000
2009-04-30,8.2000,9.9400,7.6100,9.0800,9.0800,27725300,0.0000
2009-05-29,9.1300,9.9700,8.0000,8.6300,8.6300,37109200,0.0000
2009-06-30,8.7000,9.6400,7.5200,9.4700,9.4700,61112900,0.0000
2009-07-31,9.5600,10.0100,7.9700,9.5200,9.5200,66182700,0.0000
2009-08-31,9.6000,10.9800,9.1900,10.5000,10.5000,37097900,0.0000
2009-09-30,10.4800,12.2100,10.0200,11.2100,11.2100,48082700,0.0000
2009-10-30,11.2000,12.5700,10.5500,10.9700,10.9700,46504100,0.0000
2009-11-30,11.0000,12.1500,10.7700,11.2500,11.2500,27597300,0.0000
2009-12-31,11.3500,11.6300,7.0000,10.0500,10.0500,151280400,0.0000
2010-01-29,10.1800,10.8200,8.9700,9.2800,9.2800,53703300,0.0000
2010-02-26,9.2900,9.9600,9.0300,9.6200,9.6200,37863900,0.0000
2010-03-31,9.6200,10.5500,8.9400,9.8675,9.8675,50330000,0.0000
2010-04-30,9.8800,11.2500,9.8700,10.8500,10.8500,32921800,0.0000
2010-05-28,10.8300,11.6600,9.2700,11.5700,11.5700,52881700,0.0000
2010-06-30,11.5400,11.8400,8.9800,9.0000,9.0000,57046100,0.0000
2010-07-30,8.9900,10.8300,8.6799,10.2500,10.2500,38941200,0.0000
2010-08-31,10.4000,10.6600,7.9800,8.3000,8.3000,37365400,0.0000
2010-09-30,8.4400,10.2900,8.3100,10.1400,10.1400,51502400,0.0000
2010-10-29,10.2500,11.0000,9.7700,10.6700,10.6700,31068500,0.0000
2010-11-30,10.7300,11.7350,10.5800,11.0650,11.0650,28585200,0.0000
2010-12-31,11.2200,13.6200,11.1600,12.2650,12.2650,43680800,0.0000
2011-01-31,12.3200,13.2099,12.0400,12.4750,12.4750,29538600,0.0000
2011-02-28,12.6500,16.7500,12.6000,16.0700,16.0700,51128800,0.0000
2011-03-31,16.1700,16.3000,14.7000,15.3650,15.3650,30575500,0.0000
2011-04-29,15.3900,16.5900,14.8610,16.1800,16.1800,27480000,0.0000
2011-05-31,16.2000,17.5800,15.3700,16.3900,16.3900,50081800,0.0000
2011-06-30,16.3900,16.5800,14.2600,15.2800,15.2800,51007700,0.0000
2011-07-29,15.3600,15.7700,13.2100,13.4900,13.4900,24991600,0.0000
2011-08-31,13.5600,13.6500,10.6300,13.2200,13.2200,47166100,0.0000
2011-09-30,13.2700,14.1500,12.2200,12.7200,12.7200,32533500,0.0000
2011-10-31,12.5800,16.2700,11.7800,15.7800,15.7800,33695500,0.0000
2011-11-30,15.2800,16.2400,13.0800,13.9500,13.9500,66703700,0.0000
2011-12-30,13.9400,14.5300,13.2400,13.5500,13.5500,35251200,0.0000
2012-01-31,13.8300,15.6900,13.7800,15.6000,15.6000,41515500,0.0000
2012-02-29,15.6000,16.9900,15.0500,15.4500,15.4500,37165200,0.0000
2012-03-30,15.4600,16.2300,15.2500,15.3850,15.3850,25236600,0.0000
2012-04-30,15.3400,15.6700,13.6900,14.1050,14.1050,27536500,0.0000
2012-05-31,14.0700,14.3800,11.0000,11.5200,11.5200,50944100,0.0000
2012-06-29,11.3500,11.8100,9.1250,9.4600,9.4600,44151700,0.0000
2012-07-31,9.4800,9.9300,8.6500,8.7800,8.7800,41478100,0.0000
2012-08-31,8.6200,10.4800,7.3700,10.2500,10.2500,59074600,0.0000
2012-09-28,10.2200,11.3600,9.8600,10.4400,10.4400,36442200,0.0000
2012-10-31,10.4300,11.7900,10.0100,11.1500,11.1500,37664400,0.0000
2012-11-30,11.1600,12.7550,10.7700,12.3700,12.3700,44572200,0.0000
2012-12-31,12.4800,13.3800,10.6100,11.0100,11.0100,41592800,0.0000
2013-01-31,11.2200,13.3000,11.1100,12.1700,12.1700,30666941,0.0000
2013-02-28,12.1800,15.6400,12.1800,14.6400,14.6400,50251400,0.0000
2013-03-28,14.5300,16.1600,14.4700,16.1500,16.1500,25697200,0.0000
2013-04-30,16.0000,16.1250,14.0800,15.2600,15.2600,25798200,0.0000
2013-05-31,15.1600,17.5400,14.8700,16.6400,16.6400,50704700,0.0000
