date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,153.42,161.16,153.41,159.4,158.356777434668,11711256,0.0,1.0
2025-11-24,159.715,162.7,158.97,161.26,160.204604323178,9466495,0.0,1.0
2025-11-25,159.72,161.95,158.69,161.77,160.711266534544,7406909,0.0,1.0
2025-11-26,162.32,167.04,162.05,165.35,164.267836567267,7346304,0.0,1.0
2025-11-28,166.04,169.25,165.42,168.27,167.168726091165,4018060,0.0,1.0
2025-12-01,166.84,169.665,166.5301,168.16,167.05944600636,6170793,0.0,1.0
2025-12-02,168.705,177.88,168.01,175.26,174.112978752823,9438916,0.0,1.0
2025-12-03,176.82,183.0,175.58,182.6,181.404940775222,9259328,0.0,1.0
2025-12-04,183.24,183.91,178.94,180.12,178.941171590542,6724123,0.0,1.0
2025-12-05,180.87,184.76,180.625,182.54,181.345333456238,6584808,0.0,1.0
2025-12-08,183.51,183.7,179.53,180.94,179.755804949993,6416837,0.0,1.0
2025-12-09,179.91,181.8832,179.4,179.52,178.345098400701,3759467,0.0,1.0
2025-12-10,177.83,182.72,177.5,181.67,179.57357368459,5268874,0.0000,1.0
2025-12-11,180.28,182.02,179.18,181.67,179.57357368459,4838019,0.0000,1.0
2025-12-12,181.79,183.2299,178.65,179.42,177.349538121259,5980928,0.0000,1.0
2025-12-15,175.35,179.36,174.0,177.97,175.916270758223,9037502,0.0000,1.0
2025-12-16,178.34,179.03,176.0,177.56,175.511002055572,5747229,0.0000,1.0
2025-12-17,177.87,179.64,173.69,174.49,172.476429086938,8865582,0.0000,1.0
2025-12-18,176.8,178.9,175.9,176.19,174.156811512566,8546191,0.0000,1.0
2025-12-19,175.72,178.24,175.59,176.29,174.255657537603,19091992,0.0000,1.0
2025-12-22,179.49,179.9,177.97,178.82,176.756461971037,5373131,0.0000,1.0
2025-12-23,178.27,178.6075,176.68,177.08,175.036541135395,3500282,0.0000,1.0
2025-12-24,177.34,178.02,176.795,177.13,175.085964147913,1266543,0.0000,1.0
2025-12-26,177.72,178.52,176.43,176.88,174.838849085321,3191074,0.0000,1.0
2025-12-29,176.51,177.65,175.1,175.69,173.662581387381,4163229,0.0000,1.0
2025-12-30,175.95,176.473,175.25,175.42,173.395697119782,3904625,0.0000,1.0
2025-12-31,175.8,176.1835,173.44,173.49,171.487968836569,3426949,0.0000,1.0
2026-01-02,174.965,178.89,174.91,177.52,175.471463645557,6133904,0.0000,1.0
2026-01-05,178.02,182.89,176.89,177.17,175.125502557928,6754967,0.0000,1.0
2026-01-06,180.09,192.92,180.09,192.1,189.883214095942,13219416,0.0000,1.0
2026-01-07,188.47,190.72,184.49,185.71,183.566953096082,8341310,0.0000,1.0
2026-01-08,182.83,189.075,182.55,188.45,186.275334182094,6857271,0.0000,1.0
2026-01-09,188.8,191.4,187.51,190.31,188.113870247781,6018399,0.0000,1.0
2026-01-12,188.845,190.82,188.0,189.07,186.888179537323,6502635,0.0000,1.0
2026-01-13,189.28,189.75,187.65,188.53,186.354411002123,4134955,0.0000,1.0
2026-01-14,187.5,193.61,187.44,193.45,191.21763543394,7988801,0.0000,1.0
2026-01-15,194.93,196.64,188.77,189.12,186.937602549841,6942637,0.0000,1.0
2026-01-16,190.23,192.47,190.07,191.58,189.36921476575,6944802,0.0000,1.0
2026-01-20,190.235,192.43,187.95,189.59,187.402178867515,8283439,0.0000,1.0
2026-01-21,191.45,196.13,191.255,194.41,192.166557274295,7272013,0.0000,1.0
2026-01-22,197.3,199.43,193.68,194.99,192.739864219509,7264015,0.0000,1.0
2026-01-23,195.76,196.41,191.13,193.31,191.079250998888,6691594,0.0000,1.0
2026-01-26,193.31,196.84,192.44,196.59,194.3214006201,9169319,0.0000,1.0
2026-01-27,194.69,198.41,194.34,196.63,194.360939030114,9849238,0.0000,1.0
2026-01-28,203.86,216.585,203.72,216.17,213.67545232233,19603428,0.0000,1.0
2026-01-29,216.4,222.0,214.82,218.97,216.443141023364,14120032,0.0000,1.0
2026-01-30,216.06,216.46,213.055,215.55,214.466220522626,9086826,1.4200,1.0
2026-02-02,215.435,225.26,214.84,225.01,223.878655902556,11194865,0.0000,1.0
2026-02-03,224.24,228.83,222.7,225.21,224.077650308052,15143252,0.0000,1.0
2026-02-04,222.125,228.29,218.66,222.92,221.79916436513,14542521,0.0000,1.0
2026-02-05,221.65,225.82,218.895,223.98,222.853834714255,11044162,0.0000,1.0
2026-02-06,225.63,226.76,218.585,221.44,220.326605764464,9397495,0.0000,1.0
2026-02-09,221.26,222.155,218.24,218.77,217.670030451101,9246720,0.0000,1.0
2026-02-10,216.83,222.08,216.13,220.92,219.809220310176,5100983,0.0000,1.0
2026-02-11,223.125,231.32,223.125,226.56,225.420862545145,9132636,0.0000,1.0
2026-02-12,226.68,229.5,221.87,223.0,221.878762127328,8474705,0.0000,1.0
2026-02-13,221.665,226.885,221.54,226.16,225.022873734155,5011904,0.0000,1.0
2026-02-17,226.53,228.4513,222.81,225.69,224.555236881241,5454801,0.0000,1.0
2026-02-18,229.88,230.0,221.36,223.32,222.197153176121,6668107,0.0000,1.0
2026-02-19,221.15,222.04,217.42,218.05,216.953650591318,5002233,0.0000,1.0
2026-02-20,216.74,220.2,216.53,219.73,218.625203597479,5457860,0.0000,1.0
2026-02-23,218.9,222.79,218.9,219.86,218.754549961051,7877434,0.0000,1.0
2026-02-24,220.72,224.17,209.59,213.35,212.277282062177,9494346,0.0000,1.0
2026-02-25,214.4,215.9,210.23,213.9,212.824516677289,6997258,0.0000,1.0
2026-02-26,214.45,216.09,210.15,212.63,211.560902202394,6041537,0.0000,1.0
2026-02-27,211.23,212.63,208.25,212.11,211.043516748106,8275221,0.0000,1.0
2026-03-02,211.04,211.47,207.31,209.82,208.765030805184,6811320,0.0000,1.0
2026-03-03,205.89,206.5699,201.755,202.67,201.650980808725,7496468,0.0000,1.0
2026-03-04,204.36,205.31,201.5,202.39,201.372388641031,5451504,0.0000,1.0
2026-03-05,200.91,201.94,194.765,197.98,196.984561999858,8053739,0.0000,1.0
2026-03-06,192.5,195.05,191.1501,193.23,192.258444869343,7220588,0.0000,1.0
2026-03-09,192.75,197.16,189.68,196.2,195.21351179095,7597885,0.0000,1.0
2026-03-10,195.64,200.18,195.45,197.46,196.46717654557,5929153,0.0000,1.0
2026-03-11,198.58,201.43,197.49,198.67,197.671092698817,4996834,0.0000,1.0
2026-03-12,193.65,194.76,189.75,190.05,189.094433821967,8156760,0.0000,1.0
2026-03-13,191.47,193.75,190.14,190.78,189.820763402025,3688423,0.0000,1.0
2026-03-16,194.32,196.26,192.43,194.13,193.153919694073,4754851,0.0000,1.0
2026-03-17,195.865,196.43,193.77,194.45,193.472310742865,3385327,0.0000,1.0
2026-03-18,194.44,195.54,189.99,190.78,189.820763402025,5069242,0.0000,1.0
2026-03-19,187.765,190.0,184.9,188.29,187.343283053608,5868135,0.0000,1.0
2026-03-20,188.52,190.33,185.84,187.19,186.248813823384,15025199,0.0000,1.0
2026-03-23,194.6,194.97,188.43,188.63,187.68157354295,7453155,0.0000,1.0
2026-03-24,186.95,196.4,186.95,194.63,193.651405707811,7015230,0.0000,1.0
2026-03-25,197.52,198.97,195.52,196.77,195.780645846611,4506210,0.0000,1.0
2026-03-26,196.1,197.07,192.88,193.41,192.437539834289,6314550,0.0000,1.0
2026-03-27,191.71,192.965,189.33,190.33,189.373025989661,5792752,0.0000,1.0
2026-03-30,191.61,192.71,184.945,186.42,185.482685362226,6024676,0.0000,1.0
2026-03-31,190.28,194.555,188.47,194.14,193.163869414347,7278167,0.0000,1.0
2026-04-01,194.28,197.26,194.28,196.3,195.313008993697,5432039,0.0000,1.0
2026-04-02,192.38,196.065,191.0,194.87,193.890198994405,3408114,0.0000,1.0
2026-04-06,196.99,199.56,195.9001,199.42,198.417321719425,4235605,0.0000,1.0
2026-04-07,198.51,200.38,195.463,199.735,198.73073790808,4658952,0.0000,1.0
2026-04-08,206.645,209.86,206.16,208.9,207.849656539905,7454593,0.0000,1.0
2026-04-09,212.565,215.93,210.88,214.98,213.899086466964,5499062,0.0000,1.0
2026-04-10,216.38,217.315,213.92,214.73,213.650343460095,4267957,0.0000,1.0
2026-04-13,213.945,217.2,212.11,216.71,215.620388074499,4630516,0.0000,1.0
2026-04-14,217.19,219.49,214.35,218.87,217.769527653849,5495242,0.0000,1.0
2026-04-15,217.56,218.305,211.7,216.29,215.202499822959,4459624,0.0000,1.0
2026-04-16,216.72,224.02,216.72,223.1,221.978259330076,6709030,0.0000,1.0
2026-04-17,228.26,230.53,224.67,229.82,228.66447135472,7091684,0.0000,1.0
2026-04-20,232.57,233.97,230.02,233.7,232.52496282133,6123287,0.0000,1.0
2026-04-21,234.5,236.0,230.64,233.15,231.977728206218,6833327,0.0000,1.0
2026-04-22,236.405,238.8,234.49,236.31,235.121839813044,11463136,0.0000,1.0
2026-04-23,260.31,284.12,259.31,282.23,280.810955314779,25659066,0.0000,1.0
2026-04-24,287.83,287.83,272.01,277.14,275.746547694922,13943554,0.0000,1.0
2026-04-27,276.17,277.02,267.63,269.5,268.144961405,9962692,0.0000,1.0
2026-04-28,267.49,270.69,264.235,265.0,263.667587281354,8369429,0.0000,1.0
2026-04-29,269.625,272.44,267.56,269.22,267.866369237306,7821433,0.0000,1.0
2026-04-30,270.23,281.92,266.3379,281.08,279.666737483181,11066699,0.0000,1.0
2026-05-01,280.1,281.87,276.54,281.02,279.607039161532,4494294,0.0000,1.0
2026-05-04,283.69,283.79,276.64,280.89,279.47769279796,5525748,0.0000,1.0
2026-05-05,280.5,282.495,275.58,281.0,281.0,7295169,1.4200,1.0
