ex_dividend_date,declaration_date,record_date,payment_date,amount
2025-12-30,2025-01-06,2025-12-30,2026-01-07,2.084331
2024-12-30,2023-12-28,2024-12-30,2025-01-07,0.741396
2024-06-27,2023-12-28,2024-06-27,2024-07-05,0.02495
2023-12-28,2023-01-11,2023-12-29,2024-01-08,1.681599
2022-12-29,2022-02-01,2022-12-30,2023-01-09,0.0492
2022-06-29,2022-02-01,2022-06-30,2022-07-08,0.1031
2021-12-30,2021-12-29,2021-12-31,2022-01-07,1.309
2021-06-29,2021-01-07,2021-06-30,2021-07-08,0.0248
2020-12-30,2020-01-20,2020-12-31,2021-01-08,0.10319
2020-06-29,2020-01-20,2020-06-30,2020-07-08,0.155779
2019-12-30,,,,0.08
2019-06-27,,,,0.103724
2018-12-28,,,,0.051625
2017-12-28,,,,0.30618
2016-12-28,,,,0.936501
2015-12-29,,,,0.274206
2014-12-29,,,,0.48565
2013-12-27,,,,0.08281
2012-12-27,,,,0.124025
2010-12-29,,,,0.388708
