date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2020-01-31,26.2700,26.9100,23.2500,23.4810,9.7638,143669,0.0000
2020-02-28,23.6500,25.3010,21.3100,22.0260,9.1588,79033,0.0000
2020-03-31,22.1300,23.1050,15.5510,19.6950,8.1895,68035,0.0000
2020-04-30,20.0000,28.4100,19.5400,27.3500,11.3726,142248,0.0000
2020-05-29,27.1500,29.0200,25.7700,28.4450,11.8280,83902,0.0000
2020-06-30,28.4350,28.5790,26.0000,26.8500,11.1647,41713,0.0000
2020-07-31,26.8900,32.4500,26.6750,30.2866,12.5937,204401,0.0000
2020-08-31,30.4200,34.1200,30.0557,33.6800,14.0048,232935,0.0000
2020-09-30,34.1200,34.4400,28.4400,29.1800,12.1336,201292,0.0000
2020-10-30,29.1550,29.2180,26.4300,27.1976,11.3093,206298,0.0000
2020-11-30,27.3500,31.0100,26.9301,29.7800,12.3831,255967,0.0000
2020-12-31,30.3300,44.8400,30.2101,42.9000,18.2974,1056217,1.1043
2021-01-29,43.8700,48.5899,40.6800,40.9391,17.4610,1168678,0.0000
2021-02-26,41.2600,61.6699,41.0400,53.4300,22.7886,2263063,0.0000
2021-03-31,56.1100,64.0000,50.6500,55.4300,23.6416,3530633,0.0000
2021-04-30,57.1600,64.0000,53.3567,59.0000,25.1642,2612301,0.0000
2021-05-28,60.1900,69.7500,59.8500,66.3100,28.2820,3668566,0.0000
2021-06-30,67.6300,71.2685,60.6501,62.5300,26.6698,3881025,0.0000
2021-07-30,62.7200,64.1000,52.0000,59.2100,25.2538,2896612,0.0000
2021-08-31,60.0000,62.9100,50.3300,62.7700,26.7722,1861411,0.0000
2021-09-30,63.6500,98.4900,63.1300,76.8500,32.7775,13466280,0.0000
2021-10-29,77.6000,99.3000,74.5000,87.6700,37.3923,9217241,0.0000
2021-11-30,88.0000,104.0000,79.6000,82.4200,35.1531,8967783,0.0000
2021-12-31,84.0000,84.8508,70.7200,72.0200,32.7050,6480349,4.8219
2022-01-31,75.8800,83.9562,59.3301,64.9100,29.4763,6789242,0.0000
2022-02-28,65.0200,76.5899,61.3000,76.3000,34.6486,5754676,0.0000
2022-03-31,78.7400,87.9900,68.0000,83.1900,37.7774,10761281,0.0000
2022-04-29,82.6600,94.8500,71.7600,73.1400,33.2136,11319526,0.0000
