ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-27,2026-01-08,2026-03-27,2026-03-31,0.344
2025-12-22,2025-04-03,2025-12-22,2025-12-24,0.3854
2025-09-29,2025-01-17,2025-09-29,2025-10-01,0.4336
2025-06-30,2025-01-17,2025-06-30,2025-07-02,0.4215
2025-03-27,2025-01-17,2025-03-27,2025-03-31,0.4013
2024-12-23,2024-03-04,2024-12-23,2024-12-26,0.3984
2024-09-26,2024-03-04,2024-09-26,2024-09-30,0.286
2024-06-27,2024-03-04,2024-06-27,2024-07-01,0.4141
2024-03-21,2024-03-04,2024-03-22,2024-03-26,0.4046
2023-12-21,2023-03-15,2023-12-22,2023-12-27,0.6187
2023-09-21,2023-03-15,2023-09-22,2023-09-26,0.3138
2023-06-23,2023-03-15,2023-06-26,2023-06-28,0.3769
2023-03-23,2023-03-15,2023-03-24,2023-03-28,0.3259
2022-12-22,2022-12-20,2022-12-23,2022-12-28,0.469
2022-09-23,2022-09-21,2022-09-26,2022-09-28,0.3906
2022-06-23,2022-06-21,2022-06-24,2022-06-28,0.2403
2021-12-27,2021-12-22,2021-12-28,2021-12-30,0.3727
2021-09-24,2021-09-23,2021-09-27,2021-09-29,0.1486
2021-06-24,2021-06-22,2021-06-25,2021-06-29,0.3035
2021-03-25,2021-03-23,2021-03-26,2021-03-30,0.1911
2020-12-24,2020-12-23,2020-12-28,2020-12-30,0.5023
2020-09-25,2020-09-24,2020-09-28,2020-09-30,0.2978
2020-06-25,2020-06-24,2020-06-26,2020-06-30,0.1306
2020-03-10,2020-03-06,2020-03-11,2020-03-13,0.2471
2019-12-24,,,,0.449
2019-09-16,,,,0.2111
2019-06-27,,,,0.2402
2019-03-28,,,,0.2418
2018-12-24,,,,0.428
2018-09-28,,,,0.2855
2018-06-22,,,,0.2409
2018-03-22,,,,0.2363
2017-12-21,,,,0.5542
2017-09-20,,,,0.208
2017-06-21,,,,0.211
2017-03-24,,,,0.338
2016-12-22,,,,0.624
2016-09-20,,,,0.306
2016-06-14,,,,0.359
2016-03-15,,,,0.15
2015-12-23,,,,0.462
2015-09-25,,,,0.698
2015-03-25,,,,0.03
2014-12-22,,,,1.253
2014-03-25,,,,0.017
2013-12-24,,,,0.778
2013-03-20,,,,0.012
2012-12-24,,,,0.917
2012-03-22,,,,0.006
2011-12-23,,,,0.413
2011-03-23,,,,0.006
2010-12-27,,,,0.361
2009-12-24,,,,0.229
2009-03-23,,,,0.011
2008-12-24,,,,0.414
2008-03-12,,,,0.022
2007-12-20,,,,0.405
2007-03-22,,,,0.01
2006-12-22,,,,0.255
2006-03-20,,,,0.01
2005-12-27,,,,0.214
2004-12-22,,,,0.088
