date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-20,9.79,9.79,9.79,9.79,9.63590446456952,0,0.0,1.0
2025-11-21,9.8,9.8,9.8,9.8,9.64574706361403,0,0.0,1.0
2025-11-24,9.82,9.82,9.82,9.82,9.66543226170304,0,0.0,1.0
2025-11-25,9.84,9.84,9.84,9.84,9.68511745979204,0,0.0,1.0
2025-11-26,9.85,9.85,9.85,9.85,9.69496005883655,0,0.0,1.0
2025-11-28,9.83,9.83,9.83,9.83,9.70546075865967,0,0.0307,1.0
2025-12-01,9.79,9.79,9.79,9.79,9.66596753075057,0,0.0,1.0
2025-12-02,9.8,9.8,9.8,9.8,9.67584083772785,0,0.0,1.0
2025-12-03,9.81,9.81,9.81,9.81,9.68571414470512,0,0.0,1.0
2025-12-04,9.79,9.79,9.79,9.79,9.66596753075057,0,0.0,1.0
2025-12-05,9.78,9.78,9.78,9.78,9.6560942237733,0,0.0,1.0
2025-12-08,9.76,9.76,9.76,9.76,9.63634760981875,0,0.0,1.0
2025-12-09,9.75,9.75,9.75,9.75,9.59554383711138,0,0.0000,1.0
2025-12-10,9.78,9.78,9.78,9.78,9.62506858737942,0,0.0000,1.0
2025-12-11,9.78,9.78,9.78,9.78,9.62506858737942,0,0.0000,1.0
2025-12-12,9.75,9.75,9.75,9.75,9.59554383711138,0,0.0000,1.0
2025-12-15,9.76,9.76,9.76,9.76,9.60538542053406,0,0.0000,1.0
2025-12-16,9.77,9.77,9.77,9.77,9.61522700395674,0,0.0000,1.0
2025-12-17,9.77,9.77,9.77,9.77,9.61522700395674,0,0.0000,1.0
2025-12-18,9.79,9.79,9.79,9.79,9.63491017080209,0,0.0000,1.0
2025-12-19,9.77,9.77,9.77,9.77,9.61522700395674,0,0.0000,1.0
2025-12-22,9.77,9.77,9.77,9.77,9.61522700395674,0,0.0000,1.0
2025-12-23,9.77,9.77,9.77,9.77,9.61522700395674,0,0.0000,1.0
2025-12-24,9.79,9.79,9.79,9.79,9.63491017080209,0,0.0000,1.0
2025-12-26,9.79,9.79,9.79,9.79,9.63491017080209,0,0.0000,1.0
2025-12-29,9.8,9.8,9.8,9.8,9.64475175422477,0,0.0000,1.0
2025-12-30,9.79,9.79,9.79,9.79,9.63491017080209,0,0.0000,1.0
2025-12-31,9.77,9.77,9.77,9.77,9.6463973033869,0,0.0317,1.0
2026-01-02,9.76,9.76,9.76,9.76,9.63652381587064,0,0.0000,1.0
2026-01-05,9.78,9.78,9.78,9.78,9.65627079090316,0,0.0000,1.0
2026-01-06,9.77,9.77,9.77,9.77,9.6463973033869,0,0.0000,1.0
2026-01-07,9.78,9.78,9.78,9.78,9.65627079090316,0,0.0000,1.0
2026-01-08,9.76,9.76,9.76,9.76,9.63652381587064,0,0.0000,1.0
2026-01-09,9.78,9.78,9.78,9.78,9.65627079090316,0,0.0000,1.0
2026-01-12,9.77,9.77,9.77,9.77,9.6463973033869,0,0.0000,1.0
2026-01-13,9.78,9.78,9.78,9.78,9.65627079090316,0,0.0000,1.0
2026-01-14,9.8,9.8,9.8,9.8,9.67601776593568,0,0.0000,1.0
2026-01-15,9.79,9.79,9.79,9.79,9.66614427841942,0,0.0000,1.0
2026-01-16,9.76,9.76,9.76,9.76,9.63652381587064,0,0.0000,1.0
2026-01-20,9.73,9.73,9.73,9.73,9.60690335332186,0,0.0000,1.0
2026-01-21,9.75,9.75,9.75,9.75,9.62665032835438,0,0.0000,1.0
2026-01-22,9.76,9.76,9.76,9.76,9.63652381587064,0,0.0000,1.0
2026-01-23,9.76,9.76,9.76,9.76,9.63652381587064,0,0.0000,1.0
2026-01-26,9.77,9.77,9.77,9.77,9.6463973033869,0,0.0000,1.0
2026-01-27,9.76,9.76,9.76,9.76,9.63652381587064,0,0.0000,1.0
2026-01-28,9.76,9.76,9.76,9.76,9.63652381587064,0,0.0000,1.0
2026-01-29,9.76,9.76,9.76,9.76,9.63652381587064,0,0.0000,1.0
2026-01-30,9.76,9.76,9.76,9.76,9.6678503232641,0,0.0317,1.0
2026-02-02,9.74,9.74,9.74,9.74,9.64803915456889,0,0.0000,1.0
2026-02-03,9.75,9.75,9.75,9.75,9.65794473891649,0,0.0000,1.0
2026-02-04,9.74,9.74,9.74,9.74,9.64803915456889,0,0.0000,1.0
2026-02-05,9.78,9.78,9.78,9.78,9.68766149195931,0,0.0000,1.0
2026-02-06,9.78,9.78,9.78,9.78,9.68766149195931,0,0.0000,1.0
2026-02-09,9.78,9.78,9.78,9.78,9.68766149195931,0,0.0000,1.0
2026-02-10,9.81,9.81,9.81,9.81,9.71737824500214,0,0.0000,1.0
2026-02-11,9.79,9.79,9.79,9.79,9.69756707630692,0,0.0000,1.0
2026-02-12,9.83,9.83,9.83,9.83,9.73718941369735,0,0.0000,1.0
2026-02-13,9.85,9.85,9.85,9.85,9.75700058239256,0,0.0000,1.0
2026-02-17,9.85,9.85,9.85,9.85,9.75700058239256,0,0.0000,1.0
2026-02-18,9.84,9.84,9.84,9.84,9.74709499804496,0,0.0000,1.0
2026-02-19,9.84,9.84,9.84,9.84,9.74709499804496,0,0.0000,1.0
2026-02-20,9.84,9.84,9.84,9.84,9.74709499804496,0,0.0000,1.0
2026-02-23,9.86,9.86,9.86,9.86,9.76690616674017,0,0.0000,1.0
2026-02-24,9.85,9.85,9.85,9.85,9.75700058239256,0,0.0000,1.0
2026-02-25,9.85,9.85,9.85,9.85,9.75700058239256,0,0.0000,1.0
2026-02-26,9.86,9.86,9.86,9.86,9.76690616674017,0,0.0000,1.0
2026-02-27,9.88,9.88,9.88,9.88,9.81582038304715,0,0.0294,1.0
2026-03-02,9.84,9.84,9.84,9.84,9.77608021955304,0,0.0000,1.0
2026-03-03,9.83,9.83,9.83,9.83,9.76614517867951,0,0.0000,1.0
2026-03-04,9.82,9.82,9.82,9.82,9.75621013780598,0,0.0000,1.0
2026-03-05,9.79,9.79,9.79,9.79,9.72640501518539,0,0.0000,1.0
2026-03-06,9.78,9.78,9.78,9.78,9.71646997431186,0,0.0000,1.0
2026-03-09,9.81,9.81,9.81,9.81,9.74627509693245,0,0.0000,1.0
2026-03-10,9.78,9.78,9.78,9.78,9.71646997431186,0,0.0000,1.0
2026-03-11,9.73,9.73,9.73,9.73,9.66679476994421,0,0.0000,1.0
2026-03-12,9.7,9.7,9.7,9.7,9.63698964732362,0,0.0000,1.0
2026-03-13,9.69,9.69,9.69,9.69,9.62705460645009,0,0.0000,1.0
2026-03-16,9.72,9.72,9.72,9.72,9.65685972907068,0,0.0000,1.0
2026-03-17,9.73,9.73,9.73,9.73,9.66679476994421,0,0.0000,1.0
2026-03-18,9.7,9.7,9.7,9.7,9.63698964732362,0,0.0000,1.0
2026-03-19,9.71,9.71,9.71,9.71,9.64692468819715,0,0.0000,1.0
2026-03-20,9.63,9.63,9.63,9.63,9.56744436120892,0,0.0000,1.0
2026-03-23,9.66,9.66,9.66,9.66,9.5972494838295,0,0.0000,1.0
2026-03-24,9.64,9.64,9.64,9.64,9.57737940208245,0,0.0000,1.0
2026-03-25,9.67,9.67,9.67,9.67,9.60718452470303,0,0.0000,1.0
2026-03-26,9.62,9.62,9.62,9.62,9.55750932033538,0,0.0000,1.0
2026-03-27,9.61,9.61,9.61,9.61,9.54757427946186,0,0.0000,1.0
2026-03-30,9.66,9.66,9.66,9.66,9.5972494838295,0,0.0000,1.0
2026-03-31,9.68,9.68,9.68,9.68,9.64889755284767,0,0.0320,1.0
2026-04-01,9.68,9.68,9.68,9.68,9.64889755284767,0,0.0000,1.0
2026-04-02,9.69,9.69,9.69,9.69,9.65886542222045,0,0.0000,1.0
2026-04-06,9.68,9.68,9.68,9.68,9.64889755284767,0,0.0000,1.0
2026-04-07,9.69,9.69,9.69,9.69,9.65886542222045,0,0.0000,1.0
2026-04-08,9.71,9.71,9.71,9.71,9.678801160966,0,0.0000,1.0
2026-04-09,9.71,9.71,9.71,9.71,9.678801160966,0,0.0000,1.0
2026-04-10,9.7,9.7,9.7,9.7,9.66883329159322,0,0.0000,1.0
2026-04-13,9.71,9.71,9.71,9.71,9.678801160966,0,0.0000,1.0
2026-04-14,9.74,9.74,9.74,9.74,9.70870476908433,0,0.0000,1.0
2026-04-15,9.72,9.72,9.72,9.72,9.68876903033878,0,0.0000,1.0
2026-04-16,9.71,9.71,9.71,9.71,9.678801160966,0,0.0000,1.0
2026-04-17,9.74,9.74,9.74,9.74,9.70870476908433,0,0.0000,1.0
2026-04-20,9.74,9.74,9.74,9.74,9.70870476908433,0,0.0000,1.0
2026-04-21,9.7,9.7,9.7,9.7,9.66883329159322,0,0.0000,1.0
2026-04-22,9.71,9.71,9.71,9.71,9.678801160966,0,0.0000,1.0
2026-04-23,9.7,9.7,9.7,9.7,9.66883329159322,0,0.0000,1.0
2026-04-24,9.71,9.71,9.71,9.71,9.678801160966,0,0.0000,1.0
2026-04-27,9.69,9.69,9.69,9.69,9.65886542222045,0,0.0000,1.0
2026-04-28,9.69,9.69,9.69,9.69,9.65886542222045,0,0.0000,1.0
2026-04-29,9.65,9.65,9.65,9.65,9.61899394472934,0,0.0000,1.0
2026-04-30,9.66,9.66,9.66,9.66,9.66,0,0.0311,1.0
2026-05-01,9.67,9.67,9.67,9.67,9.67,0,0.0000,1.0
2026-05-04,9.63,9.63,9.63,9.63,9.63,0,0.0000,1.0
