ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-31,,,,0.031985764
2026-02-27,,,,0.029380445
2026-01-30,,,,0.031727905
2025-12-31,,,,0.031672037
2025-11-28,,,,0.030668625
2025-10-31,,,,0.03143434
2025-09-30,,,,0.030592481
2025-08-29,,,,0.031235385
2025-07-31,,,,0.031139809
2025-06-30,,,,0.030294078
2025-05-30,,,,0.030915084
2025-04-30,,,,0.030059452
2025-03-31,,,,0.030784818
2025-02-28,,,,0.028168709
2024-12-31,,,,0.029957018
2024-11-29,,,,0.028821919
2024-10-31,,,,0.029
2024-09-30,,,,0.028389788
2024-08-30,,,,0.029
2024-07-31,,,,0.029
2024-06-28,,,,0.028
2024-05-31,,,,0.028143035
2024-04-30,,,,0.027
2024-03-28,,,,0.028
2024-02-29,,,,0.026
2024-01-31,,,,0.027
2023-12-29,,,,0.027
2023-11-30,,,,0.026
2023-09-29,,,,0.024782664
2023-08-31,,,,0.025
2023-07-31,,,,0.025
2023-06-30,,,,0.024
2023-05-31,,,,0.024
2023-04-28,,,,0.023
2023-03-31,,,,0.023
2023-02-28,,,,0.021
2023-01-31,,,,0.022
2022-12-30,,,,0.021968
2022-11-30,,,,0.02092
2022-10-31,,,,0.0207
2022-09-30,,,,0.0197
2022-08-31,,,,0.019829933
2022-07-29,,,,0.019318435
2022-06-30,,,,0.018665358
2022-05-31,,,,0.018495669
2022-04-29,,,,0.017687297
2022-03-31,,,,0.025591026
2022-02-28,,,,0.0161
2022-01-31,,,,0.0169
2021-12-31,,,,0.0171
2021-12-22,,,,0.0171
2021-11-30,,,,0.017
2021-10-29,,,,0.016547211
2021-09-30,,,,0.016
2021-08-31,,,,0.017
2021-07-30,,,,0.017
2021-06-30,,,,0.017
2021-05-28,,,,0.017
2021-04-30,,,,0.0164
2021-03-31,,,,0.02431
2020-12-31,,,,0.019
2020-12-22,,,,0.0189
2020-11-30,,,,0.018
2020-10-30,,,,0.019
2020-09-30,,,,0.019
2020-08-31,,,,0.02
2020-07-31,,,,0.02
2020-06-30,,,,0.021
2020-05-29,,,,0.022
2020-04-30,,,,0.022074982
2020-03-31,,,,0.023062452
2020-02-28,,,,0.022227776
2020-01-31,,,,0.023577419
2019-12-31,,,,0.024
2019-11-29,,,,0.02297
2019-10-31,,,,0.023646837
2019-09-30,,,,0.023151004
2019-08-30,,,,0.024
2019-07-31,,,,0.024727511
2019-06-28,,,,0.025
2019-05-31,,,,0.025057181
2019-04-30,,,,0.024692954
2019-03-29,,,,0.025
2019-02-28,,,,0.023458292
2019-01-31,,,,0.025220083
2018-12-31,,,,0.025
2018-11-30,,,,0.024
2018-10-31,,,,0.024349003
2018-09-28,,,,0.023
2018-08-31,,,,0.024
2018-07-31,,,,0.023613771
2018-06-29,,,,0.023
2018-05-31,,,,0.023
2018-04-30,,,,0.022630437
2018-03-29,,,,0.00252
2018-02-28,,,,0.021066124
2018-01-31,,,,0.022352922
2017-12-29,,,,0.022028478
2017-12-22,,,,0.0049
2017-11-30,,,,0.021473315
2017-10-31,,,,0.022105128
2017-09-29,,,,0.021474644
2017-08-31,,,,0.022
2017-07-31,,,,0.021818656
2017-06-30,,,,0.021540341
2017-05-31,,,,0.022
2017-04-28,,,,0.021
2017-03-31,,,,0.022
2017-02-28,,,,0.02
2017-01-31,,,,0.021408971
2016-12-30,,,,0.021320955
2016-12-21,,,,0.0047
2016-11-30,,,,0.02023699
2016-10-31,,,,0.020700011
2016-09-30,,,,0.020467047
2016-08-31,,,,0.021284183
2016-07-29,,,,0.021107984
2016-06-30,,,,0.021152433
2016-05-31,,,,0.021588664
2016-04-29,,,,0.021193378
2016-03-31,,,,0.022098828
2016-02-29,,,,0.021096874
2016-01-29,,,,0.02208714
2015-12-31,,,,0.022398274
2015-12-22,,,,0.007
2015-11-30,,,,0.021214951
2015-10-30,,,,0.021446673
2015-09-30,,,,0.021128036
2015-08-31,,,,0.021688832
2015-07-31,,,,0.021591122
2015-06-30,,,,0.020528474
2015-05-29,,,,0.020872864
2015-04-30,,,,0.020268075
2015-03-31,,,,0.049379596
2015-02-27,,,,0.019893757
2015-01-30,,,,0.021212439
2014-12-31,,,,0.021695567
2014-12-22,,,,0.028
2014-11-28,,,,0.020877324
2014-10-31,,,,0.021419515
2014-09-30,,,,0.021262961
2014-08-29,,,,0.021903939
2014-07-31,,,,0.02216985
2014-06-30,,,,0.021884525
2014-05-30,,,,0.022637458
2014-04-30,,,,0.022514031
2014-03-31,,,,0.047961548
2014-02-28,,,,0.021269
2014-01-31,,,,0.022978
2013-12-31,,,,0.023049
2013-12-23,,,,0.008
2013-11-29,,,,0.022534
2013-10-31,,,,0.022831
2013-09-30,,,,0.021683
2013-08-30,,,,0.021633
2013-07-31,,,,0.021004
2013-06-28,,,,0.020227
2013-05-31,,,,0.020705
2013-04-30,,,,0.020409
2013-03-28,,,,0.078264
2013-02-28,,,,0.019642
2013-01-31,,,,0.020941
2012-12-31,,,,0.021346
2012-12-21,,,,0.056
2012-11-30,,,,0.021484
2012-10-31,,,,0.022492
2012-09-28,,,,0.022082
2012-08-31,,,,0.023385
2012-07-31,,,,0.023836
2012-06-29,,,,0.024094
2012-05-31,,,,0.024734
2012-04-30,,,,0.024602
2012-03-30,,,,0.01
2012-02-29,,,,0.024927
2012-01-31,,,,0.026047
2011-12-30,,,,0.026655
2011-12-22,,,,0.051
2011-11-30,,,,0.026462
2011-10-31,,,,0.02764
2011-09-30,,,,0.027819
2011-08-31,,,,0.028522
2011-07-29,,,,0.028388
2011-06-30,,,,0.028244
2011-05-31,,,,0.028963
2011-04-29,,,,0.028729
2011-03-31,,,,0.02945
2011-02-28,,,,0.027283
2011-01-31,,,,0.028754
2010-12-31,,,,0.028834
2010-12-23,,,,0.047
2010-11-30,,,,0.028181
2010-10-29,,,,0.02926
2010-09-30,,,,0.028714
2010-08-31,,,,0.029645
2010-07-30,,,,0.030266
