date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
1999-12-31,9.6500,9.7200,9.5600,9.5600,3.6117,0,0.0536
2000-01-31,9.5200,9.5500,9.4600,9.4900,3.6055,0,0.0534
2000-02-29,9.5100,9.5800,9.4800,9.5500,3.6479,0,0.0516
2000-03-31,9.5600,9.6300,9.5400,9.6300,3.6991,0,0.0540
2000-04-28,9.6400,9.6900,9.5300,9.5300,3.6607,0,0.0000
2000-05-31,9.5300,9.5300,9.3500,9.4600,3.6750,0,0.1073
2000-06-30,9.5100,9.6400,9.5100,9.6100,3.7332,0,0.0000
2000-07-31,9.6300,9.6600,9.5800,9.6400,3.7656,0,0.0533
2000-08-31,9.6600,9.7400,9.6600,9.7200,3.8399,0,0.1094
2000-09-29,9.7500,9.7500,9.6900,9.7400,3.8691,0,0.0539
2000-10-31,9.7300,9.8000,9.7100,9.7400,3.8910,0,0.0552
2000-11-30,9.7500,9.8400,9.7000,9.8400,3.9525,0,0.0541
2000-12-29,9.8100,10.0000,9.8100,9.9600,4.0231,0,0.0557
2001-01-31,10.0400,10.0900,9.9700,10.0800,4.0939,0,0.0553
2001-02-28,10.1200,10.1200,10.0000,10.1200,4.1311,0,0.0516
2001-03-30,10.1400,10.2000,10.0900,10.1200,4.1534,0,0.0545
2001-04-30,10.1100,10.1400,10.0000,10.0200,4.1341,0,0.0530
2001-05-31,10.0500,10.1100,9.9800,10.0400,4.1644,0,0.0535
2001-06-29,10.0600,10.1500,10.0400,10.0400,4.1863,0,0.0527
2001-07-31,10.0700,10.2100,10.0400,10.2100,4.2795,0,0.0537
2001-08-31,10.2000,10.2800,10.1600,10.2700,4.3270,0,0.0533
2001-09-28,10.2000,10.3100,10.2000,10.3100,4.3658,0,0.0519
2001-10-31,10.3200,10.4500,10.2900,10.4500,4.4470,0,0.0519
2001-11-30,10.4600,10.4800,10.1700,10.2600,4.3662,0,0.0000
2001-12-31,10.2600,10.2900,10.0700,10.1500,4.3626,0,0.1019
2002-01-31,10.1000,10.2600,10.1000,10.1700,4.3712,0,0.0000
2002-02-28,10.1900,10.2200,10.1600,10.2100,4.4301,0,0.0966
2002-03-28,10.1700,10.1700,10.0000,10.0000,4.3420,0,0.0070
2002-04-30,9.9900,10.1400,9.9900,10.1200,4.4375,0,0.0991
2002-05-31,10.1300,10.1500,10.0300,10.1500,4.4730,0,0.0509
2002-06-28,10.1500,10.2300,10.1300,10.1300,4.4859,0,0.0494
2002-07-31,10.1300,10.2000,10.0800,10.1300,4.5076,0,0.0490
2002-08-30,10.1500,10.2500,10.1500,10.2500,4.5825,0,0.0483
2002-09-30,10.3000,10.3600,10.2600,10.3600,4.6525,0,0.0467
2002-10-31,10.3300,10.3300,10.1000,10.2500,4.6241,0,0.0466
2002-11-29,10.2300,10.3100,10.1900,10.2100,4.6252,0,0.0425
2002-12-31,10.2100,10.3900,10.2100,10.3800,4.7210,0,0.0414
2003-01-31,10.3000,10.3600,10.2800,10.3400,4.7234,0,0.0454
2003-02-28,10.3400,10.4400,10.3400,10.4400,4.7884,0,0.0423
2003-03-31,10.4500,10.4800,10.2700,10.3800,4.7823,0,0.0468
2003-04-30,10.3800,10.4300,10.3200,10.4300,4.8238,0,0.0401
2003-05-30,10.4400,10.5900,10.4200,10.5800,4.9118,0,0.0401
2003-06-30,10.5600,10.6800,10.5000,10.5200,4.9052,0,0.0457
2003-07-31,10.5100,10.5200,10.1300,10.1300,4.7414,0,0.0389
2003-08-29,10.1200,10.2300,10.0900,10.1700,4.7704,0,0.0219
2003-09-30,10.1100,10.4100,10.1100,10.4100,4.8995,0,0.0353
2003-10-31,10.4100,10.4100,10.2000,10.2700,4.8525,0,0.0401
2003-11-28,10.2400,10.3300,10.1900,10.2600,4.8656,0,0.0378
2003-12-31,10.2200,10.3600,10.2200,10.3100,4.9086,0,0.0406
2004-01-30,10.2700,10.4400,10.2600,10.3600,4.9509,0,0.0390
2004-02-27,10.3600,10.4300,10.3400,10.4300,5.0020,0,0.0368
2004-03-31,10.4300,10.5400,10.4000,10.4600,5.0673,0,0.1061
2004-04-30,10.4300,10.4300,10.1300,10.1500,4.9348,0,0.0365
2004-05-28,10.1400,10.1400,9.9700,10.0700,4.9137,0,0.0367
2004-06-30,10.0400,10.0900,9.9500,10.0900,4.9412,0,0.0363
2004-07-30,10.1100,10.2000,10.0900,10.1500,4.9888,0,0.0371
2004-08-31,10.1600,10.3100,10.1600,10.3100,5.0857,0,0.0372
2004-09-30,10.3100,10.3600,10.2400,10.2900,5.0939,0,0.0366
2004-10-29,10.2700,10.3600,10.2500,10.3400,5.1370,0,0.0372
2004-11-30,10.3200,10.3300,10.2200,10.2200,5.0957,0,0.0367
2004-12-31,10.2200,10.3300,10.2100,10.2700,5.1642,0,0.0874
2005-01-31,10.2700,10.3100,10.2400,10.3000,5.1980,0,0.0372
2005-02-28,10.3000,10.3600,10.2000,10.2000,5.1654,0,0.0355
2005-03-31,10.1900,10.2300,10.0500,10.1100,5.1601,0,0.0795
2005-04-29,10.1300,10.2200,10.1000,10.2100,5.2300,0,0.0370
2005-05-31,10.2100,10.2800,10.1700,10.2800,5.2851,0,0.0375
2005-06-30,10.3200,10.3300,10.2300,10.3000,5.3143,0,0.0368
2005-07-29,10.2600,10.2600,10.1600,10.1600,5.2615,0,0.0377
2005-08-31,10.1500,10.2600,10.1000,10.2600,5.3328,0,0.0378
2005-09-30,10.2700,10.2700,10.1100,10.1100,5.2742,0,0.0371
2005-10-31,10.0900,10.1000,9.9900,9.9900,5.2315,0,0.0382
2005-11-30,9.9800,10.0400,9.9300,10.0000,5.2565,0,0.0378
2005-12-30,9.9800,10.0800,9.9700,10.0600,5.2880,0,0.0000
2006-01-31,10.0700,10.1000,10.0100,10.0100,5.2618,0,0.0000
2006-02-28,10.0000,10.0100,9.9700,10.0100,5.2815,0,0.0375
2006-03-31,9.9900,9.9900,9.8700,9.8700,5.2287,0,0.0401
2006-04-28,9.8600,9.8800,9.7800,9.8100,5.2179,0,0.0395
2006-05-31,9.7800,9.8000,9.7500,9.7600,5.2130,0,0.0407
2006-06-30,9.7600,9.8200,9.6800,9.7300,5.2184,0,0.0401
2006-07-31,9.7300,9.8200,9.6900,9.8200,5.2887,0,0.0411
2006-08-31,9.8300,9.9400,9.8200,9.9400,5.3755,0,0.0413
2006-09-29,9.9400,10.0200,9.9000,9.9800,5.4191,0,0.0407
2006-10-31,9.9900,10.0100,9.9000,10.0100,5.4580,0,0.0416
2006-11-30,10.0300,10.0800,9.9600,10.0800,5.5185,0,0.0410
2006-12-29,10.1000,10.1000,9.9900,9.9900,5.4923,0,0.0420
2007-01-31,10.0100,10.0400,9.9100,9.9400,5.4878,0,0.0418
2007-02-28,9.9400,10.0700,9.9400,10.0500,5.5703,0,0.0395
2007-03-30,10.0500,10.0700,10.0100,10.0100,5.5716,0,0.0422
2007-04-30,10.0100,10.0300,9.9600,10.0200,5.6001,0,0.0412
2007-05-31,10.0100,10.0200,9.9000,9.9000,5.5566,0,0.0422
2007-06-29,9.8700,9.8800,9.7300,9.8200,5.5350,0,0.0416
2007-07-31,9.8400,9.8700,9.7500,9.8600,5.5815,0,0.0424
2007-08-31,9.8700,9.9600,9.8400,9.9500,5.6564,0,0.0423
2007-09-28,9.9400,10.0600,9.9400,9.9800,5.6971,0,0.0417
2007-10-31,9.9900,10.1000,9.9500,10.0300,5.7499,0,0.0425
2007-11-30,10.0700,10.2100,10.0500,10.1800,5.8597,0,0.0416
2007-12-31,10.2100,10.2100,10.0400,10.1600,5.8724,0,0.0420
2008-01-31,10.2200,10.3700,10.2200,10.2900,5.9716,0,0.0416
2008-02-29,10.3100,10.3200,10.1000,10.2700,5.9829,0,0.0395
2008-03-31,10.2500,10.2900,10.1200,10.2600,6.0006,0,0.0405
2008-04-30,10.2100,10.2700,10.1200,10.1900,5.9826,0,0.0391
2008-05-30,10.2000,10.2100,10.0500,10.0700,5.9355,0,0.0398
2008-06-30,10.1000,10.1300,9.9200,10.0300,5.9352,0,0.0394
2008-07-31,10.0100,10.0800,9.9000,9.9900,5.9352,0,0.0401
2008-08-29,9.9800,10.0400,9.9100,10.0200,5.9767,0,0.0399
2008-09-30,10.0500,10.1700,9.8700,9.8700,5.9108,0,0.0394
2008-10-31,9.9000,9.9800,9.5800,9.5800,5.7610,0,0.0399
2008-11-28,9.6200,9.8900,9.6200,9.8900,5.9707,0,0.0388
2008-12-31,9.9500,10.2100,9.9200,10.1800,6.1691,0,0.0386
2009-01-30,10.1300,10.2600,10.0700,10.0700,6.1261,0,0.0391
2009-02-27,10.1100,10.1300,9.9900,9.9900,6.1002,0,0.0374
2009-03-31,10.0300,10.1000,9.9600,10.1000,6.1905,0,0.0379
2009-04-30,10.1100,10.1400,10.0500,10.1000,6.2126,0,0.0360
2009-05-29,10.0900,10.1900,10.0600,10.1500,6.2654,0,0.0358
2009-06-30,10.0800,10.1800,9.9900,10.1700,6.2991,0,0.0347
2009-07-31,10.1700,10.2800,10.1600,10.2800,6.3891,0,0.0352
