date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,199.61,205.1199,199.35,203.89,201.719024061115,366382,0.0,1.0
2025-11-24,204.05,206.1,203.37,205.49,203.301987612529,432636,0.0,1.0
2025-11-25,206.3,210.21,206.3,209.73,207.496841023776,558424,0.0,1.0
2025-11-26,209.76,212.3699,209.61,210.98,208.733531298318,290864,0.0,1.0
2025-11-28,211.54,212.1092,210.99,211.67,209.416184329865,138323,0.0,1.0
2025-12-01,209.98,212.34,209.9505,210.88,208.634596076354,284794,0.0,1.0
2025-12-02,211.56,211.6799,209.825,209.98,207.744179078684,374891,0.0,1.0
2025-12-03,210.31,212.395,210.26,212.29,210.029582706038,318178,0.0,1.0
2025-12-04,211.93,213.39,211.68,212.48,210.217559627768,234277,0.0,1.0
2025-12-05,212.49,213.9199,212.235,212.76,210.494578249266,338399,0.0,1.0
2025-12-08,212.97,213.29,211.42,211.53,209.277675019116,243022,0.0,1.0
2025-12-09,211.09,213.058361,210.6601,211.48,209.228207408135,250748,0.0,1.0
2025-12-10,211.72,216.5696,211.6,215.79,213.492315474756,310776,0.0000,1.0
2025-12-11,215.72,218.29,215.68,218.05,215.728251491128,305839,0.0000,1.0
2025-12-12,218.65,218.8999,215.54,216.0,213.700079440879,283155,0.0000,1.0
2025-12-15,217.37,217.4,214.87,215.69,213.393380252792,247954,0.0000,1.0
2025-12-16,215.64,216.1893,213.36,214.26,211.978606578716,304417,0.0000,1.0
2025-12-17,214.5,216.54,213.76,214.18,211.899458401146,542792,0.0000,1.0
2025-12-18,215.59,216.75,214.39,214.79,212.502963255122,416891,0.0000,1.0
2025-12-19,214.63,215.8215,214.525,215.25,212.958065276154,463709,0.0000,1.0
2025-12-22,214.96,216.15,214.92,215.61,214.359185889599,263434,1.0562,1.0
2025-12-23,215.39,215.805,214.3493,214.77,213.524058965304,324854,0.0000,1.0
2025-12-24,214.7,215.74,214.5526,215.3,214.050984286585,334709,0.0000,1.0
2025-12-26,215.31,215.41,214.51,215.4,214.150404158525,267703,0.0000,1.0
2025-12-29,214.98,215.53,214.05,214.43,213.186031400708,506605,0.0000,1.0
2025-12-30,214.4,214.685,213.83,213.93,212.688932041009,365186,0.0000,1.0
2025-12-31,213.76,214.025,211.7808,211.79,210.561346781495,223389,0.0000,1.0
2026-01-02,212.54,214.92,211.3401,214.42,213.176089413514,496022,0.0000,1.0
2026-01-05,214.62,218.005,214.45,217.05,215.790832045533,434865,0.0000,1.0
2026-01-06,216.64,220.11,216.35,220.01,218.733660254954,578922,0.0000,1.0
2026-01-07,220.19,220.52,217.29,217.54,216.277989418039,388580,0.0000,1.0
2026-01-08,216.98,221.12,216.98,220.64,219.360005448175,376094,0.0000,1.0
2026-01-09,221.29,222.5699,220.05,222.06,220.771767629722,344012,0.0000,1.0
2026-01-12,221.22,221.98,220.34,221.84,220.553043911454,327658,0.0000,1.0
2026-01-13,222.39,222.9,221.14,221.91,220.622637821812,3435844,0.0000,1.0
2026-01-14,221.9,223.44,221.58,223.15,221.855444233867,266027,0.0000,1.0
2026-01-15,224.07,226.0899,223.795,225.69,224.38070898114,316658,0.0000,1.0
2026-01-16,225.54,225.98,224.47,225.04,223.734479813531,292259,0.0000,1.0
2026-01-20,222.07,223.785,221.25,221.65,220.364146154768,343236,0.0000,1.0
2026-01-21,223.72,227.6204,223.5918,226.97,225.653283341971,546155,0.0000,1.0
2026-01-22,227.77,229.19,226.6,227.03,225.712935265134,304413,0.0000,1.0
2026-01-23,226.42,226.8736,223.6,224.43,223.128018594697,272219,0.0000,1.0
2026-01-26,224.93,225.61,223.54,224.39,223.088250645921,386351,0.0000,1.0
2026-01-27,224.39,224.535,223.4001,224.08,222.780049042908,257478,0.0000,1.0
2026-01-28,224.42,224.68,222.76,223.07,221.775908336315,283974,0.0000,1.0
2026-01-29,224.2,225.45,221.79,224.07,222.770107055714,551191,0.0000,1.0
2026-01-30,223.09,224.105,221.27,223.09,221.795792310703,339878,0.0000,1.0
2026-02-02,222.42,225.46,222.3,224.96,223.654943915979,370109,0.0000,1.0
2026-02-03,224.81,227.62,223.4,225.64,224.33099904517,371783,0.0000,1.0
2026-02-04,226.61,229.33,226.47,228.36,227.035219561935,367901,0.0000,1.0
2026-02-05,227.05,228.62,225.9307,226.7,225.384849687733,403005,0.0000,1.0
2026-02-06,228.66,232.5,228.66,232.1,230.753522772487,424397,0.0000,1.0
2026-02-09,231.25,232.49,230.42,231.94,230.594450977383,297799,0.0000,1.0
2026-02-10,232.3,233.5893,232.12,232.57,231.220796170604,275674,0.0000,1.0
2026-02-11,233.81,234.8939,231.7,232.52,231.171086234634,277301,0.0000,1.0
2026-02-12,233.96,235.48,227.38,228.98,227.651622767962,531046,0.0000,1.0
2026-02-13,229.05,232.405,227.85,231.31,229.968105784162,292017,0.0000,1.0
2026-02-17,231.09,232.27,228.72,230.8,229.461064437268,414998,0.0000,1.0
2026-02-18,230.64,233.07,229.845,231.94,230.594450977383,206506,0.0000,1.0
2026-02-19,231.22,231.9723,230.11,231.7,230.355843284727,265627,0.0000,1.0
2026-02-20,231.05,233.575,230.38,232.78,231.429577901678,311860,0.0000,1.0
2026-02-23,231.82,232.2,227.27,228.48,227.154523408263,357321,0.0000,1.0
2026-02-24,228.84,230.83,228.12,230.11,228.775067320883,302606,0.0000,1.0
2026-02-25,231.31,231.31,228.42,230.54,229.202572770225,269775,0.0000,1.0
2026-02-26,231.28,232.54,229.685,231.99,230.644160913353,529628,0.0000,1.0
2026-02-27,229.77,230.075,228.005,229.9,228.566285589809,321616,0.0000,1.0
2026-03-02,227.28,231.07,226.95,230.43,229.093210911091,377487,0.0000,1.0
2026-03-03,225.57,228.34,222.26,227.25,225.931658983402,458303,0.0000,1.0
2026-03-04,228.35,228.595,226.106,228.05,226.727017958921,330340,0.0000,1.0
2026-03-05,226.4,227.76,223.17,224.8,223.495872120875,381488,0.0000,1.0
2026-03-06,221.5,221.7599,218.555,220.22,218.942441986028,374025,0.0000,1.0
2026-03-09,217.67,221.67,214.35,221.03,219.747742948741,586657,0.0000,1.0
2026-03-10,220.86,223.095,219.1795,219.67,218.395632690358,396315,0.0000,1.0
2026-03-11,218.96,220.13,217.805,219.35,218.077489100151,243172,0.0000,1.0
2026-03-12,217.41,218.15,215.7,215.91,214.657445505419,442137,0.0000,1.0
2026-03-13,217.48,218.22,215.2,215.67,214.418837812763,299313,0.0000,1.0
2026-03-16,217.67,218.98,216.64,216.64,215.38321057058,293212,0.0000,1.0
2026-03-17,218.26,219.792,218.0501,218.39,217.123058329528,237451,0.0000,1.0
2026-03-18,217.31,218.3399,215.86,215.93,214.677329479807,311224,0.0000,1.0
2026-03-19,214.16,217.42,213.975,216.19,214.93582114685,256123,0.0000,1.0
2026-03-20,215.84,216.6208,210.9,212.17,210.939142294867,337339,0.0000,1.0
2026-03-23,215.75,219.02,214.73,216.0,214.746923390164,343946,0.0000,1.0
2026-03-24,214.39,219.13,214.385,217.77,216.506655123501,233475,0.0000,1.0
2026-03-25,219.62,220.64,217.14,219.6,218.326038780001,251236,0.0000,1.0
2026-03-26,217.96,220.515,217.31,217.51,216.248163456457,230951,0.0000,1.0
2026-03-27,215.46,215.76,212.7,213.14,213.14,264300,1.2437,1.0
2026-03-30,215.14,215.29,211.69,212.29,212.29,445591,0.0000,1.0
2026-03-31,214.99,218.83,213.605,217.25,217.25,427628,0.0000,1.0
2026-04-01,218.03,219.4701,217.845,218.14,218.14,359894,0.0000,1.0
2026-04-02,215.53,220.25,215.0001,218.58,218.58,369982,0.0000,1.0
2026-04-06,218.19,219.63,217.32,219.4,219.4,361132,0.0000,1.0
2026-04-07,218.65,220.61,218.485,219.67,219.67,283821,0.0000,1.0
2026-04-08,224.64,226.22,223.99,225.36,225.36,348781,0.0000,1.0
2026-04-09,224.35,226.88,224.18,226.07,226.07,213730,0.0000,1.0
2026-04-10,226.25,227.0,224.48,224.78,224.78,257976,0.0000,1.0
2026-04-13,224.08,227.17,223.73,227.07,227.07,277393,0.0000,1.0
2026-04-14,227.37,228.5297,226.3,227.92,227.92,251004,0.0000,1.0
2026-04-15,227.63,228.2399,226.54,227.3,227.3,290013,0.0000,1.0
2026-04-16,227.42,228.94,227.12,228.26,228.26,236495,0.0000,1.0
2026-04-17,229.94,233.81,229.94,232.24,232.24,289449,0.0000,1.0
2026-04-20,231.41,233.52,231.01,233.28,233.28,198772,0.0000,1.0
2026-04-21,233.78,235.215,231.605,231.98,231.98,241857,0.0000,1.0
2026-04-22,234.15,234.3,230.7601,231.36,231.36,226720,0.0000,1.0
2026-04-23,231.53,232.33,229.05,231.46,231.46,219116,0.0000,1.0
2026-04-24,231.7,232.01,230.16,230.89,230.89,240125,0.0000,1.0
2026-04-27,231.11,233.2599,230.915,231.62,231.62,419062,0.0000,1.0
2026-04-28,231.92,232.99,229.851,230.65,230.65,279419,0.0000,1.0
2026-04-29,230.7,231.33,228.2,228.98,228.98,196562,0.0000,1.0
2026-04-30,229.45,232.8022,229.36,232.42,232.42,212252,0.0000,1.0
2026-05-01,232.94,233.045,231.3032,231.77,231.77,308556,0.0000,1.0
2026-05-04,230.97,232.2193,228.9099,229.65,229.65,341194,0.0000,1.0
2026-05-05,230.52,232.65,229.97,232.13,232.13,226985,0.0000,1.0
