ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-27,2026-01-08,2026-03-27,2026-03-31,1.2437
2025-12-22,2025-04-03,2025-12-22,2025-12-24,1.0562
2025-09-29,2025-01-17,2025-09-29,2025-10-01,0.9279
2025-06-30,2025-01-17,2025-06-30,2025-07-02,0.9108
2025-03-27,2025-01-17,2025-03-27,2025-03-31,1.2422
2024-12-23,2024-03-04,2024-12-23,2024-12-26,1.0911
2024-09-26,2024-03-04,2024-09-26,2024-09-30,0.87
2024-06-27,2024-03-04,2024-06-27,2024-07-01,1.0165
2024-03-21,2024-03-04,2024-03-22,2024-03-26,0.9425
2023-12-21,2023-03-15,2023-12-22,2023-12-27,1.1538
2023-09-21,2023-03-15,2023-09-22,2023-09-26,0.875
2023-06-23,2023-03-15,2023-06-26,2023-06-28,0.8874
2023-03-23,2023-03-15,2023-03-24,2023-03-28,0.8916
2022-12-22,2022-12-20,2022-12-23,2022-12-28,1.119
2022-09-23,2022-09-21,2022-09-26,2022-09-28,0.7714
2022-06-23,2022-06-21,2022-06-24,2022-06-28,0.7123
2022-03-23,2022-03-21,2022-03-24,2022-03-28,0.6256
2021-12-27,2021-12-22,2021-12-28,2021-12-30,1.1822
2021-09-24,2021-09-23,2021-09-27,2021-09-29,0.6616
2021-06-24,2021-06-22,2021-06-25,2021-06-29,0.6505
2021-03-25,2021-03-24,2021-03-26,2021-03-30,0.6362
2020-12-24,2020-12-23,2020-12-28,2020-12-30,0.8762
2020-09-25,2020-09-24,2020-09-28,2020-09-30,0.6197
2020-06-25,2020-06-24,2020-06-26,2020-06-30,0.4925
2020-03-10,2020-03-06,2020-03-11,2020-03-13,0.3999
2019-12-24,,,,1.016
2019-09-16,,,,0.4779
2019-06-27,,,,0.7407
2019-03-28,,,,0.5895
2018-12-24,,,,0.8165
2018-09-28,,,,0.7826
2018-06-22,,,,0.5126
2018-03-22,,,,0.566
2017-12-21,,,,0.8621
2017-09-27,,,,0.617
2017-06-28,,,,0.42
2017-03-24,,,,0.477
2016-12-22,,,,0.796
2016-09-20,,,,0.655
2016-06-14,,,,0.32
2016-03-15,,,,0.367
2015-12-23,,,,0.744
2015-09-25,,,,1.143
2015-03-25,,,,0.076
2014-12-22,,,,1.845
2014-03-25,,,,0.024
2013-12-24,,,,1.797
2013-03-20,,,,0.021
2012-12-24,,,,1.874
2012-03-22,,,,0.029
2011-12-23,,,,1.372
2011-03-23,,,,0.008
2010-12-27,,,,1.27
2010-03-23,,,,0.029
2009-12-24,,,,1.051
2009-03-23,,,,0.033
2008-12-24,,,,1.267
2008-03-12,,,,0.092
2007-12-20,,,,1.509
2007-03-22,,,,0.058
2006-12-22,,,,1.331
2006-03-20,,,,0.04
2005-12-27,,,,1.159
2005-03-21,,,,0.008
2004-12-27,,,,0.968
