date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2004-02-27,49.4500,50.8500,48.4000,50.6000,31.8278,106300,0.0000
2004-03-31,50.7000,51.9400,49.1100,51.4100,32.3373,87900,0.0000
2004-04-30,51.8700,52.4300,48.5000,48.5000,30.5069,112300,0.0000
2004-05-28,48.5400,49.6400,46.2300,49.5000,31.1359,72100,0.0000
2004-06-30,49.5000,51.8700,49.1400,51.8700,32.6267,76600,0.0000
2004-07-30,52.0600,52.0600,48.7100,50.0500,31.4819,194100,0.0000
2004-08-31,49.9600,50.8100,48.1500,50.6700,31.8718,98500,0.0000
2004-09-30,51.1000,52.7200,50.8900,52.4400,32.9852,155800,0.0000
2004-10-29,52.7100,54.0000,51.4800,53.2300,33.4821,135200,0.0000
2004-11-30,53.3200,57.7500,53.2000,57.6300,36.2497,283500,0.0000
2004-12-31,57.9000,59.2000,56.5900,58.3000,37.2884,257000,0.9680
2005-01-31,58.4500,58.5585,54.5300,56.1700,35.9261,299500,0.0000
2005-02-28,56.2000,58.0500,56.1900,57.5200,36.7895,243500,0.0000
2005-03-31,57.8000,59.0500,55.3300,56.2700,35.9951,220000,0.0080
2005-04-29,56.7300,56.9000,53.2700,53.4400,34.1848,233500,0.0000
2005-05-31,54.3900,57.4300,53.9600,57.3300,36.6732,217400,0.0000
2005-06-30,57.2900,59.9600,57.2900,59.3700,37.9781,236100,0.0000
2005-07-29,59.5200,63.2300,59.3000,62.6100,40.0507,361200,0.0000
2005-08-31,63.0900,63.4800,59.5600,61.3500,39.2447,459600,0.0000
2005-09-30,61.5000,62.8200,59.5400,61.8200,39.5453,335500,0.0000
2005-10-31,62.0400,62.2200,56.8900,59.8300,38.2724,379000,0.0000
2005-11-30,59.6000,62.9800,59.3000,62.0900,39.7181,306300,0.0000
2005-12-30,62.4500,63.5800,60.4501,60.6900,39.5595,505700,1.1590
2006-01-31,61.0000,65.2500,60.2400,64.8500,42.2711,572500,0.0000
2006-02-28,64.9900,66.0700,63.1910,65.1800,42.4862,463400,0.0000
2006-03-31,65.5000,67.6600,63.7000,67.5100,44.0315,530300,0.0400
2006-04-28,67.5400,68.2600,65.5500,67.4800,44.0119,385900,0.0000
2006-05-31,67.8900,69.0400,63.0000,64.9500,42.3618,508300,0.0000
2006-06-30,65.4200,66.4100,61.7100,65.6000,42.7857,895900,0.0000
2006-07-31,65.5200,66.0900,62.2500,64.8000,42.2640,649500,0.0000
2006-08-31,64.2600,66.4100,63.0800,66.1800,43.1640,573200,0.0000
2006-09-29,66.5200,67.7700,64.8200,66.7700,43.5488,628400,0.0000
2006-10-31,66.7700,70.7400,66.0000,69.8700,45.5707,923400,0.0000
2006-11-30,70.2700,72.6700,68.3700,72.1700,47.0708,1388600,0.0000
2006-12-29,72.3000,73.3500,70.3300,71.1300,47.2694,951200,1.3310
2007-01-31,71.8000,72.8800,69.5100,72.5300,48.1997,1921400,0.0000
2007-02-28,72.8000,75.1300,71.5000,72.1000,47.9140,1543400,0.0000
2007-03-30,71.4600,74.0000,69.2344,72.5000,48.2180,1450800,0.0580
2007-04-30,72.7500,75.5800,72.3950,73.7500,49.0493,856300,0.0000
2007-05-31,74.0000,76.8900,73.4800,76.5800,50.9315,1279900,0.0000
2007-06-29,77.0100,77.4610,73.5600,74.8300,49.7676,1440500,0.0000
2007-07-31,75.1300,76.5400,68.7000,69.0700,45.9368,1186100,0.0000
2007-08-31,69.5900,71.0300,64.9100,70.2200,46.7016,2438700,0.0000
2007-09-28,70.0700,72.9000,67.4000,70.8300,47.1073,1260900,0.0000
2007-10-31,71.1000,74.0300,68.4601,71.9600,47.8588,2055000,0.0000
2007-11-30,70.8000,70.8000,64.0000,67.0200,44.5733,2522100,0.0000
2007-12-31,67.0200,69.8800,63.6300,64.6400,43.9911,4156400,1.5090
2008-01-31,64.6400,64.7799,54.0000,62.1300,42.2829,6502800,0.0000
2008-02-29,62.5500,63.8799,60.1500,60.5000,41.1736,3776800,0.0000
2008-03-31,60.3900,62.2700,57.2000,60.2200,41.0470,7465200,0.0920
2008-04-30,61.4200,64.0500,60.1300,63.0430,42.9712,2858600,0.0000
2008-05-30,63.3000,66.2400,62.9000,65.6500,44.7482,3341700,0.0000
2008-06-30,65.4000,66.4600,58.1470,58.1900,39.6633,2652400,0.0000
2008-07-31,57.6000,61.7500,53.7700,60.5500,41.2720,5212100,0.0000
2008-08-29,60.7300,64.5600,59.3901,62.7300,42.7579,2305900,0.0000
2008-09-30,63.8300,73.4400,57.0200,59.3900,40.4813,3455900,0.0000
2008-10-31,58.9300,58.9300,38.6500,46.3499,31.5929,6859200,0.0000
2008-11-28,46.5200,47.7300,32.4300,41.9200,28.5734,9824700,0.0000
2008-12-31,41.0300,43.3800,36.2500,42.4400,29.8479,7783300,1.2670
2009-01-30,42.7000,44.5000,36.2200,37.1800,26.1486,8717800,0.0000
2009-02-27,36.4700,39.2600,31.6301,31.9700,22.4844,9008900,0.0000
2009-03-31,31.2200,36.7800,27.4900,34.7600,24.4690,6105300,0.0330
2009-04-30,34.2400,42.9200,33.9020,41.5600,29.2558,6429200,0.0000
2009-05-29,41.7100,45.0200,40.3900,43.1500,30.3751,7262000,0.0000
2009-06-30,44.1000,46.0800,41.1000,43.1100,30.3469,4075100,0.0000
2009-07-31,43.3900,48.2286,40.2300,47.7000,33.5780,4225500,0.0000
2009-08-31,48.3100,52.2000,47.9000,50.6500,35.6547,3771700,0.0000
2009-09-30,50.3600,55.5300,48.5000,53.3900,37.5835,5156800,0.0000
2009-10-30,53.2300,55.4300,49.7700,50.1400,35.2957,7673700,0.0000
2009-11-30,50.3700,54.1400,49.1010,51.9200,36.5487,8394900,0.0000
2009-12-31,52.4300,56.2500,52.2800,54.4800,39.0782,4268200,1.0510
2010-01-29,55.2500,56.6500,52.6800,52.8500,37.9090,2836300,0.0000
2010-02-26,53.0000,55.9800,51.0000,55.5000,39.8098,2235600,0.0000
2010-03-31,55.9400,61.1846,55.8600,60.0200,43.0725,3053800,0.0290
2010-04-30,60.5300,66.4000,60.0620,63.7600,45.7565,4075400,0.0000
2010-05-28,64.0700,65.0600,32.4700,58.6900,42.1180,6788500,0.0000
2010-06-30,58.2800,60.0000,53.6700,53.9000,38.6806,6190800,0.0000
2010-07-30,53.8900,59.6400,52.0700,57.9200,41.5655,3376000,0.0000
2010-08-31,58.7900,59.1680,52.7900,54.0600,38.7954,2543100,0.0000
2010-09-30,54.9000,60.5300,54.7500,59.7000,42.8429,4470100,0.0000
2010-10-29,60.1900,63.0000,58.9000,61.8500,44.3858,2870600,0.0000
2010-11-30,62.1900,65.1300,61.1609,63.2600,45.3976,2186100,0.0000
2010-12-31,64.3200,68.6000,64.2801,66.8600,48.8876,3101100,1.2700
2011-01-31,67.4500,68.7800,66.1600,67.2600,49.1801,3333300,0.0000
2011-02-28,67.8500,71.5201,67.6700,70.4200,51.4907,2323800,0.0000
2011-03-31,70.7600,71.4700,66.3200,71.4500,52.2499,2295900,0.0080
2011-04-29,71.8700,73.2900,69.3490,73.1200,53.4711,1663300,0.0000
2011-05-31,73.4300,73.5000,68.8100,71.5700,52.3376,1774400,0.0000
2011-06-30,71.5100,71.5900,66.1800,70.0800,51.2480,3132300,0.0000
2011-07-29,70.1100,72.7188,66.5705,67.7500,49.5441,2123300,0.0000
2011-08-31,68.7200,69.2000,54.8000,62.2000,45.4855,4386300,0.0000
2011-09-30,62.2000,62.7800,54.5100,55.5800,40.6445,2850800,0.0000
2011-10-31,55.1000,66.1252,51.9300,63.6000,46.5093,2746800,0.0000
2011-11-30,61.4100,64.9500,57.9200,63.5100,46.4435,1566700,0.0000
2011-12-30,63.3100,64.7670,60.8475,62.6700,46.8221,3251500,1.3720
2012-01-31,64.0600,68.0000,62.5000,67.0400,50.0870,2811200,0.0000
2012-02-29,67.6200,70.5300,67.5400,68.7500,51.3646,2625500,0.0000
2012-03-30,69.0000,71.5700,66.7520,70.3800,52.6043,2355100,0.0290
2012-04-30,70.1600,71.1600,66.7200,69.6800,52.0811,2438000,0.0000
2012-05-31,69.7200,70.8200,63.7210,65.2780,48.7909,2275800,0.0000
2012-06-29,63.8600,68.2000,62.5901,68.2000,50.9749,2256900,0.0000
2012-07-31,68.3800,69.8400,66.0300,67.9100,50.7582,1546600,0.0000
2012-08-31,68.2700,71.1490,66.3400,69.9400,52.2755,1444300,0.0000
2012-09-28,69.9300,74.7840,69.4500,71.9000,53.7404,1513600,0.0000
2012-10-31,72.2600,73.5500,70.5335,71.4000,53.3667,1383500,0.0000
2012-11-30,71.6000,72.8300,67.1810,72.1200,53.9049,2282200,0.0000
2012-12-31,72.4800,75.0800,71.0700,72.6500,55.7067,4227600,1.8740
2013-01-31,74.6500,77.6000,74.0700,77.3400,59.3030,4163400,0.0000
2013-02-28,77.8700,80.4000,77.0302,78.5900,60.2614,2743900,0.0000
2013-03-28,78.2700,82.3700,77.5900,82.1500,63.0073,3526400,0.0210
2013-04-30,82.1100,82.5700,78.2200,82.2200,63.0610,3032100,0.0000
2013-05-31,82.0000,87.2699,80.6600,84.7800,65.0244,3027700,0.0000
2013-06-28,85.0100,85.5800,80.3500,83.7000,64.1961,2897200,0.0000
2013-07-31,84.2600,90.1100,84.0900,89.4300,68.5909,2965500,0.0000
2013-08-30,90.1300,90.8990,85.4600,85.7000,65.7301,2338300,0.0000
2013-09-30,86.6500,91.1600,85.1100,90.2400,69.2122,1839500,0.0000
2013-10-31,90.2500,94.9600,87.9401,93.7800,71.9273,2849600,0.0000
2013-11-29,93.8800,96.9900,92.4000,96.5300,74.0364,1905300,0.0000
2013-12-31,96.6800,98.2800,94.2200,97.3700,76.0668,2846100,1.7970
2014-01-31,97.1800,98.3600,93.6160,94.6600,73.9497,4462300,0.0000
2014-02-28,94.3900,99.9550,91.1500,99.3600,77.6214,3251200,0.0000
2014-03-31,98.6100,101.8400,97.9600,100.6400,78.6402,3619800,0.0240
2014-04-30,100.8200,102.6090,96.4205,99.5000,77.7494,3941800,0.0000
2014-05-30,99.6000,101.4015,97.1200,101.1300,79.0231,3378100,0.0000
2014-06-30,101.2400,105.5000,100.4190,105.5000,82.4378,3103000,0.0000
2014-07-31,105.7500,106.9499,100.4500,100.4500,78.4917,2767200,0.0000
2014-08-29,106.5500,106.6100,99.6600,105.5900,82.5081,2945300,0.0000
2014-09-30,105.9200,106.6100,99.7400,99.7400,77.9369,2755272,0.0000
2014-10-31,99.5000,104.9200,93.4500,104.5800,81.7189,5598581,0.0000
2014-11-28,104.8600,107.1000,103.7672,105.7300,82.6175,3010242,0.0000
2014-12-31,105.5700,107.4600,101.5000,105.7700,84.0954,4884479,1.8450
2015-01-30,106.1800,106.5799,101.1507,102.2800,81.3206,4993527,0.0000
2015-02-27,102.4500,108.7800,101.2600,108.0700,85.9241,4109554,0.0000
2015-03-31,108.1600,110.5700,105.2500,109.4000,87.0428,4055564,0.0760
2015-04-30,109.2700,111.2600,107.6600,107.9800,85.9129,6334051,0.0000
2015-05-29,108.3000,110.9752,107.1600,109.4600,87.0905,5094166,0.0000
2015-06-30,109.8600,111.6001,107.5900,107.8100,85.7777,5627100,0.0000
2015-07-31,108.3600,109.2999,103.7500,106.7900,84.9661,6274112,0.0000
2015-08-31,106.7000,107.5315,94.0000,101.6200,80.8527,7265834,0.0000
2015-09-30,99.7500,104.2210,95.0801,96.8500,77.9551,6364332,1.1430
2015-10-30,96.9900,104.0800,95.3101,103.2700,83.1225,4963437,0.0000
2015-11-30,103.4600,105.7800,100.4710,104.6300,84.2172,4200541,0.0000
2015-12-31,105.1300,105.4600,97.2500,98.7700,80.0912,6979282,0.7440
2016-01-29,97.3300,97.6900,84.8410,92.4800,74.9908,8691967,0.0000
2016-02-29,91.9700,94.8599,86.2500,93.8700,76.1179,6341275,0.0000
2016-03-31,94.6100,102.4099,94.1101,101.8800,82.9224,5402545,0.3670
2016-04-29,100.9900,105.7899,98.8850,104.0200,84.6642,5992203,0.0000
2016-05-31,104.2200,105.8690,100.3001,105.4800,85.8525,7131854,0.0000
2016-06-30,105.0600,108.3800,99.1700,105.3100,85.9774,14360426,0.3200
2016-07-29,105.2200,110.5500,103.3000,110.2000,89.9697,7374996,0.0000
2016-08-31,110.2300,111.9399,108.1400,111.0000,90.6228,5976763,0.0000
2016-09-30,111.0600,112.6600,107.5000,110.6600,90.8931,6533733,0.6550
2016-10-31,110.2900,110.7900,106.5200,107.4300,88.2401,8152443,0.0000
