date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-20,9.78,9.78,9.78,9.78,9.6215925971763,0,0.0,1.0
2025-11-21,9.8,9.8,9.8,9.8,9.64126865565724,0,0.0,1.0
2025-11-24,9.82,9.82,9.82,9.82,9.66094471413817,0,0.0,1.0
2025-11-25,9.84,9.84,9.84,9.84,9.6806207726191,0,0.0,1.0
2025-11-26,9.85,9.85,9.85,9.85,9.69045880185957,0,0.0,1.0
2025-11-28,9.83,9.83,9.83,9.83,9.70184828142464,0,0.0316,1.0
2025-12-01,9.79,9.79,9.79,9.79,9.66236975332118,0,0.0,1.0
2025-12-02,9.8,9.8,9.8,9.8,9.67223938534704,0,0.0,1.0
2025-12-03,9.81,9.81,9.81,9.81,9.68210901737291,0,0.0,1.0
2025-12-04,9.79,9.79,9.79,9.79,9.66236975332118,0,0.0,1.0
2025-12-05,9.78,9.78,9.78,9.78,9.65250012129531,0,0.0,1.0
2025-12-08,9.76,9.76,9.76,9.76,9.63276085724359,0,0.0,1.0
2025-12-09,9.75,9.75,9.75,9.75,9.59110543800098,0,0.0000,1.0
2025-12-10,9.78,9.78,9.78,9.78,9.62061653165636,0,0.0000,1.0
2025-12-11,9.78,9.78,9.78,9.78,9.62061653165636,0,0.0000,1.0
2025-12-12,9.75,9.75,9.75,9.75,9.59110543800098,0,0.0000,1.0
2025-12-15,9.76,9.76,9.76,9.76,9.60094246921944,0,0.0000,1.0
2025-12-16,9.77,9.77,9.77,9.77,9.6107795004379,0,0.0000,1.0
2025-12-17,9.77,9.77,9.77,9.77,9.6107795004379,0,0.0000,1.0
2025-12-18,9.79,9.79,9.79,9.79,9.63045356287483,0,0.0000,1.0
2025-12-19,9.77,9.77,9.77,9.77,9.6107795004379,0,0.0000,1.0
2025-12-22,9.77,9.77,9.77,9.77,9.6107795004379,0,0.0000,1.0
2025-12-23,9.77,9.77,9.77,9.77,9.6107795004379,0,0.0000,1.0
2025-12-24,9.79,9.79,9.79,9.79,9.63045356287483,0,0.0000,1.0
2025-12-26,9.79,9.79,9.79,9.79,9.63045356287483,0,0.0000,1.0
2025-12-29,9.8,9.8,9.8,9.8,9.64029059409329,0,0.0000,1.0
2025-12-30,9.79,9.79,9.79,9.79,9.63045356287483,0,0.0000,1.0
2025-12-31,9.77,9.77,9.77,9.77,9.6428339821237,0,0.0326,1.0
2026-01-02,9.76,9.76,9.76,9.76,9.63296414181446,0,0.0000,1.0
2026-01-05,9.78,9.78,9.78,9.78,9.65270382243293,0,0.0000,1.0
2026-01-06,9.77,9.77,9.77,9.77,9.6428339821237,0,0.0000,1.0
2026-01-07,9.78,9.78,9.78,9.78,9.65270382243293,0,0.0000,1.0
2026-01-08,9.76,9.76,9.76,9.76,9.63296414181446,0,0.0000,1.0
2026-01-09,9.78,9.78,9.78,9.78,9.65270382243293,0,0.0000,1.0
2026-01-12,9.77,9.77,9.77,9.77,9.6428339821237,0,0.0000,1.0
2026-01-13,9.78,9.78,9.78,9.78,9.65270382243293,0,0.0000,1.0
2026-01-14,9.8,9.8,9.8,9.8,9.67244350305141,0,0.0000,1.0
2026-01-15,9.79,9.79,9.79,9.79,9.66257366274217,0,0.0000,1.0
2026-01-16,9.76,9.76,9.76,9.76,9.63296414181446,0,0.0000,1.0
2026-01-20,9.73,9.73,9.73,9.73,9.60335462088675,0,0.0000,1.0
2026-01-21,9.75,9.75,9.75,9.75,9.62309430150523,0,0.0000,1.0
2026-01-22,9.76,9.76,9.76,9.76,9.63296414181446,0,0.0000,1.0
2026-01-23,9.76,9.76,9.76,9.76,9.63296414181446,0,0.0000,1.0
2026-01-26,9.77,9.77,9.77,9.77,9.6428339821237,0,0.0000,1.0
2026-01-27,9.76,9.76,9.76,9.76,9.63296414181446,0,0.0000,1.0
2026-01-28,9.76,9.76,9.76,9.76,9.63296414181446,0,0.0000,1.0
2026-01-29,9.76,9.76,9.76,9.76,9.63296414181446,0,0.0000,1.0
2026-01-30,9.76,9.76,9.76,9.76,9.66520160740989,0,0.0327,1.0
2026-02-02,9.74,9.74,9.74,9.74,9.6453958664111,0,0.0000,1.0
2026-02-03,9.75,9.75,9.75,9.75,9.6552987369105,0,0.0000,1.0
2026-02-04,9.74,9.74,9.74,9.74,9.6453958664111,0,0.0000,1.0
2026-02-05,9.78,9.78,9.78,9.78,9.68500734840868,0,0.0000,1.0
2026-02-06,9.78,9.78,9.78,9.78,9.68500734840868,0,0.0000,1.0
2026-02-09,9.78,9.78,9.78,9.78,9.68500734840868,0,0.0000,1.0
2026-02-10,9.81,9.81,9.81,9.81,9.71471595990687,0,0.0000,1.0
2026-02-11,9.79,9.79,9.79,9.79,9.69491021890808,0,0.0000,1.0
2026-02-12,9.83,9.83,9.83,9.83,9.73452170090566,0,0.0000,1.0
2026-02-13,9.85,9.85,9.85,9.85,9.75432744190445,0,0.0000,1.0
2026-02-17,9.85,9.85,9.85,9.85,9.75432744190445,0,0.0000,1.0
2026-02-18,9.84,9.84,9.84,9.84,9.74442457140506,0,0.0000,1.0
2026-02-19,9.84,9.84,9.84,9.84,9.74442457140506,0,0.0000,1.0
2026-02-20,9.84,9.84,9.84,9.84,9.74442457140506,0,0.0000,1.0
2026-02-23,9.86,9.86,9.86,9.86,9.76423031240384,0,0.0000,1.0
2026-02-24,9.85,9.85,9.85,9.85,9.75432744190445,0,0.0000,1.0
2026-02-25,9.85,9.85,9.85,9.85,9.75432744190445,0,0.0000,1.0
2026-02-26,9.86,9.86,9.86,9.86,9.76423031240384,0,0.0000,1.0
2026-02-27,9.88,9.88,9.88,9.88,9.81399440935309,0,0.0303,1.0
2026-03-02,9.84,9.84,9.84,9.84,9.77426163846502,0,0.0000,1.0
2026-03-03,9.83,9.83,9.83,9.83,9.76432844574301,0,0.0000,1.0
2026-03-04,9.82,9.82,9.82,9.82,9.75439525302099,0,0.0000,1.0
2026-03-05,9.79,9.79,9.79,9.79,9.72459567485494,0,0.0000,1.0
2026-03-06,9.78,9.78,9.78,9.78,9.71466248213292,0,0.0000,1.0
2026-03-09,9.81,9.81,9.81,9.81,9.74446206029897,0,0.0000,1.0
2026-03-10,9.78,9.78,9.78,9.78,9.71466248213292,0,0.0000,1.0
2026-03-11,9.73,9.73,9.73,9.73,9.66499651852284,0,0.0000,1.0
2026-03-12,9.7,9.7,9.7,9.7,9.63519694035678,0,0.0000,1.0
2026-03-13,9.69,9.69,9.69,9.69,9.62526374763477,0,0.0000,1.0
2026-03-16,9.72,9.72,9.72,9.72,9.65506332580082,0,0.0000,1.0
2026-03-17,9.73,9.73,9.73,9.73,9.66499651852284,0,0.0000,1.0
2026-03-18,9.7,9.7,9.7,9.7,9.63519694035678,0,0.0000,1.0
2026-03-19,9.71,9.71,9.71,9.71,9.6451301330788,0,0.0000,1.0
2026-03-20,9.63,9.63,9.63,9.63,9.56566459130266,0,0.0000,1.0
2026-03-23,9.66,9.66,9.66,9.66,9.59546416946871,0,0.0000,1.0
2026-03-24,9.64,9.64,9.64,9.64,9.57559778402468,0,0.0000,1.0
2026-03-25,9.67,9.67,9.67,9.67,9.60539736219073,0,0.0000,1.0
2026-03-26,9.62,9.62,9.62,9.62,9.55573139858064,0,0.0000,1.0
2026-03-27,9.61,9.61,9.61,9.61,9.54579820585863,0,0.0000,1.0
2026-03-30,9.66,9.66,9.66,9.66,9.59546416946871,0,0.0000,1.0
2026-03-31,9.68,9.68,9.68,9.68,9.64802557432513,0,0.0329,1.0
2026-04-01,9.68,9.68,9.68,9.68,9.64802557432513,0,0.0000,1.0
2026-04-02,9.69,9.69,9.69,9.69,9.65799254289365,0,0.0000,1.0
2026-04-06,9.68,9.68,9.68,9.68,9.64802557432513,0,0.0000,1.0
2026-04-07,9.69,9.69,9.69,9.69,9.65799254289365,0,0.0000,1.0
2026-04-08,9.71,9.71,9.71,9.71,9.67792648003068,0,0.0000,1.0
2026-04-09,9.71,9.71,9.71,9.71,9.67792648003068,0,0.0000,1.0
2026-04-10,9.7,9.7,9.7,9.7,9.66795951146216,0,0.0000,1.0
2026-04-13,9.71,9.71,9.71,9.71,9.67792648003068,0,0.0000,1.0
2026-04-14,9.74,9.74,9.74,9.74,9.70782738573623,0,0.0000,1.0
2026-04-15,9.72,9.72,9.72,9.72,9.6878934485992,0,0.0000,1.0
2026-04-16,9.71,9.71,9.71,9.71,9.67792648003068,0,0.0000,1.0
2026-04-17,9.74,9.74,9.74,9.74,9.70782738573623,0,0.0000,1.0
2026-04-20,9.74,9.74,9.74,9.74,9.70782738573623,0,0.0000,1.0
2026-04-21,9.7,9.7,9.7,9.7,9.66795951146216,0,0.0000,1.0
2026-04-22,9.71,9.71,9.71,9.71,9.67792648003068,0,0.0000,1.0
2026-04-23,9.7,9.7,9.7,9.7,9.66795951146216,0,0.0000,1.0
2026-04-24,9.71,9.71,9.71,9.71,9.67792648003068,0,0.0000,1.0
2026-04-27,9.69,9.69,9.69,9.69,9.65799254289365,0,0.0000,1.0
2026-04-28,9.69,9.69,9.69,9.69,9.65799254289365,0,0.0000,1.0
2026-04-29,9.65,9.65,9.65,9.65,9.61812466861958,0,0.0000,1.0
2026-04-30,9.66,9.66,9.66,9.66,9.66,0,0.0320,1.0
2026-05-01,9.67,9.67,9.67,9.67,9.67,0,0.0000,1.0
2026-05-04,9.63,9.63,9.63,9.63,9.63,0,0.0000,1.0
