ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-31,,,,0.032914915
2026-02-27,,,,0.030252194
2026-01-30,,,,0.032662601
2025-12-31,,,,0.032585524
2025-11-28,,,,0.031576993
2025-10-31,,,,0.03237462
2025-09-30,,,,0.031499425
2025-08-29,,,,0.032139723
2025-07-31,,,,0.032060353
2025-06-30,,,,0.031160793
2025-05-30,,,,0.031830252
2025-04-30,,,,0.030926561
2025-03-31,,,,0.03171131
2025-02-28,,,,0.028972384
2025-01-31,,,,0.031001671
2024-12-31,,,,0.030768601
2024-11-29,,,,0.029607448
2024-10-31,,,,0.03
2024-09-30,,,,0.02919825
2024-08-30,,,,0.03
2024-07-31,,,,0.03
2024-06-28,,,,0.029
2024-05-31,,,,0.028941535
2024-04-30,,,,0.028
2024-03-28,,,,0.029
2024-02-29,,,,0.027
2024-01-31,,,,0.028
2023-12-29,,,,0.028
2023-11-30,,,,0.027
2023-09-29,,,,0.025548056
2023-08-31,,,,0.026
2023-07-31,,,,0.025
2023-06-30,,,,0.025
2023-05-31,,,,0.025
2023-04-28,,,,0.024
2023-03-31,,,,0.024
2023-02-28,,,,0.022
2023-01-31,,,,0.023
2022-12-30,,,,0.022785
2022-11-30,,,,0.021691
2022-10-31,,,,0.021487
2022-09-30,,,,0.02049
2022-08-31,,,,0.020679432
2022-07-29,,,,0.020163635
2022-06-30,,,,0.019478561
2022-05-31,,,,0.019346248
2022-04-29,,,,0.018529175
2022-03-31,,,,0.026488141
2022-02-28,,,,0.0169
2022-01-31,,,,0.0178
2021-12-31,,,,0.0181
2021-12-22,,,,0.0171
2021-11-30,,,,0.018
2021-10-29,,,,0.017501359
2021-09-30,,,,0.017
2021-08-31,,,,0.018
2021-07-30,,,,0.018
2021-06-30,,,,0.01745
2021-05-28,,,,0.018
2021-04-30,,,,0.01729
2021-03-31,,,,0.02527
2021-02-26,,,,0.01708
2020-12-31,,,,0.019
2020-12-22,,,,0.0189
2020-11-30,,,,0.019
2020-10-30,,,,0.02
2020-09-30,,,,0.02
2020-08-31,,,,0.02
2020-07-31,,,,0.021
2020-06-30,,,,0.022
2020-05-29,,,,0.023
2020-04-30,,,,0.023013548
2020-03-31,,,,0.024018063
2020-02-28,,,,0.023119668
2020-01-31,,,,0.024519373
2019-12-31,,,,0.025
2019-11-29,,,,0.02388
2019-10-31,,,,0.024590144
2019-09-30,,,,0.024063767
2019-08-30,,,,0.025
2019-07-31,,,,0.025654532
2019-06-28,,,,0.02579847
2019-05-31,,,,0.02596545
2019-04-30,,,,0.026
2019-03-29,,,,0.026
2019-02-28,,,,0.024265466
2019-01-31,,,,0.026104418
2018-12-31,,,,0.026
2018-11-30,,,,0.025
2018-10-31,,,,0.025123152
2018-09-28,,,,0.024
2018-08-31,,,,0.025
2018-07-31,,,,0.024585462
2018-06-29,,,,0.024
2018-05-31,,,,0.024
2018-04-30,,,,0.023490593
2018-03-29,,,,0.00252
2018-02-28,,,,0.02187232
2018-01-31,,,,0.023262886
2017-12-29,,,,0.023032469
2017-12-22,,,,0.0049
2017-11-30,,,,0.022446986
2017-10-31,,,,0.023020234
2017-09-29,,,,0.022365301
2017-08-31,,,,0.023
2017-07-31,,,,0.02273336
2017-06-30,,,,0.022428948
2017-05-31,,,,0.023
2017-04-28,,,,0.022
2017-03-31,,,,0.023
2017-02-28,,,,0.021
2017-01-31,,,,0.022235881
2016-12-30,,,,0.022309711
2016-12-21,,,,0.0047
2016-11-30,,,,0.02120966
2016-10-31,,,,0.021553696
2016-09-30,,,,0.021192467
2016-08-31,,,,0.022036505
2016-07-29,,,,0.021955202
2016-06-30,,,,0.021963239
2016-05-31,,,,0.022513751
2016-04-29,,,,0.022087989
2016-03-31,,,,0.023014441
2016-02-29,,,,0.021953739
2016-01-29,,,,0.023002933
2015-12-31,,,,0.02339605
2015-12-22,,,,0.007
2015-11-30,,,,0.022182492
2015-10-30,,,,0.022455606
2015-09-30,,,,0.021702107
2015-08-31,,,,0.022283408
2015-07-31,,,,0.022182985
2015-06-30,,,,0.021454368
2015-05-29,,,,0.021839472
2015-04-30,,,,0.021216697
2015-03-31,,,,0.051343716
2015-02-27,,,,0.020987021
2015-01-30,,,,0.022425339
2014-12-31,,,,0.022896058
2014-12-22,,,,0.028
2014-11-28,,,,0.022036902
2014-10-31,,,,0.022620795
2014-09-30,,,,0.022416
2014-08-29,,,,0.023100448
2014-07-31,,,,0.023363043
2014-06-30,,,,0.02303796
2014-05-30,,,,0.023830417
2014-04-30,,,,0.023659828
2014-03-31,,,,0.050324048
2014-02-28,,,,0.022336
2014-01-31,,,,0.024148
2013-12-31,,,,0.02413
2013-12-23,,,,0.008
2013-11-29,,,,0.023586
2013-10-31,,,,0.02392
2013-09-30,,,,0.022725
2013-08-30,,,,0.022713
2013-07-31,,,,0.02209
2013-06-28,,,,0.02129
2013-05-31,,,,0.021826
2013-04-30,,,,0.0215
2013-03-28,,,,0.080506
2013-02-28,,,,0.020654
2013-01-31,,,,0.022059
2012-12-31,,,,0.022243
2012-12-21,,,,0.07
2012-10-31,,,,0.023391
2012-09-28,,,,0.022951
