date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,242.48,248.84,242.0,247.26,245.45537418778,777627,0.0,1.0
2025-11-24,247.98,250.99,247.5228,249.66,247.837857800377,1031126,0.0,1.0
2025-11-25,251.04,255.87,250.8238,255.4,253.535964440504,1454891,0.0,1.0
2025-11-26,255.62,258.95,255.1823,257.43,255.551148496159,799791,0.0,1.0
2025-11-28,257.85,259.043,257.02,258.75,256.861514483087,467846,0.0,1.0
2025-12-01,256.04,258.98,256.0,256.89,255.015089683325,846250,0.0,1.0
2025-12-02,258.26,258.365,256.205,256.35,254.47903087049,773474,0.0,1.0
2025-12-03,256.4,259.02,256.1801,258.94,257.050127769084,524678,0.0,1.0
2025-12-04,258.72,261.08,258.1972,260.26,258.360493756013,569700,0.0,1.0
2025-12-05,260.3,261.76,259.71,260.19,258.291004650645,900766,0.0,1.0
2025-12-08,261.03,261.35,258.8864,259.34,257.447208371184,548209,0.0,1.0
2025-12-09,258.54,260.975,258.5,259.21,257.318157175502,633309,0.0,1.0
2025-12-10,259.21,264.51,259.21,263.38,261.457722452388,1095810,0.0000,1.0
2025-12-11,262.94,266.43,262.68,266.21,264.267067712242,611014,0.0000,1.0
2025-12-12,266.57,266.92,262.04,262.61,260.693342293347,598355,0.0000,1.0
2025-12-15,263.98,264.41,260.8401,261.24,259.333341231156,498475,0.0000,1.0
2025-12-16,261.175,262.0099,258.58,259.79,257.893924048546,1487220,0.0000,1.0
2025-12-17,260.4,262.54,258.07,258.44,256.55377701646,1525548,0.0000,1.0
2025-12-18,260.71,262.32,259.15,259.72,257.824434943178,640810,0.0000,1.0
2025-12-19,260.28,262.8383,260.0001,262.24,260.326042736405,581803,0.0000,1.0
2025-12-22,262.62,264.843,262.6,264.05,263.042868215969,562344,0.9268,1.0
2025-12-23,263.27,264.08,262.04,262.78,261.77771221281,785361,0.0000,1.0
2025-12-24,263.2,263.8,262.275,263.28,262.27580512744,452685,0.0000,1.0
2025-12-26,263.48,263.48,262.02,262.84,261.837483362565,360862,0.0000,1.0
2025-12-29,261.76,262.86,260.94,261.46,260.462746918187,436470,0.0000,1.0
2025-12-30,261.71,262.0,260.43,260.47,259.47652294722,521609,0.0000,1.0
2025-12-31,260.45,260.5,257.86,257.95,256.966134657487,475921,0.0000,1.0
2026-01-02,259.3,261.952,258.095,261.54,260.542441784528,783662,0.0000,1.0
2026-01-05,262.47,265.8575,262.1201,264.97,263.959359178888,680725,0.0000,1.0
2026-01-06,264.595,269.47,264.347,269.41,268.3824242608,549022,0.0000,1.0
2026-01-07,269.19,269.7,266.6525,267.47,266.449823752037,531197,0.0000,1.0
2026-01-08,266.99,269.8099,266.19,269.23,268.203110811534,508526,0.0000,1.0
2026-01-09,270.34,272.41,269.3201,271.79,270.753346534438,633085,0.0000,1.0
2026-01-12,270.765,272.49,270.0731,272.21,271.171744582727,499642,0.0000,1.0
2026-01-13,273.0,273.6792,271.441,272.52,271.480562189797,594756,0.0000,1.0
2026-01-14,272.08,273.44,271.06,273.08,272.038426254183,715006,0.0000,1.0
2026-01-15,274.52,277.01,274.312,275.78,274.728127993183,2548459,0.0000,1.0
2026-01-16,276.18,276.7199,274.7867,275.53,274.479081535868,506548,0.0000,1.0
2026-01-20,271.97,274.3468,271.11,271.79,270.753346534438,803619,0.0000,1.0
2026-01-21,273.93,277.93,273.04,276.85,275.794046830491,616027,0.0000,1.0
2026-01-22,278.67,279.85,277.36,277.66,276.600957352191,900826,0.0000,1.0
2026-01-23,277.32,277.7799,273.85,274.66,273.612399864413,932989,0.0000,1.0
2026-01-26,274.95,275.877,273.57,273.99,272.944955358809,521068,0.0000,1.0
2026-01-27,274.43,274.515,273.04,274.07,273.02465022515,466257,0.0000,1.0
2026-01-28,275.11,275.6499,272.69,273.17,272.128082978816,571132,0.0000,1.0
2026-01-29,274.19,274.6799,269.265,272.65,271.610066347601,1068769,0.0000,1.0
2026-01-30,271.35,273.31,268.07,269.89,268.860593458845,1093484,0.0000,1.0
2026-02-02,268.71,272.7,268.71,271.74,270.703537242975,737010,0.0000,1.0
