date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2004-02-27,49.2500,50.6500,48.0500,50.0000,36.3406,125800,0.0000
2004-03-31,49.9500,51.4000,47.7500,50.4000,36.6314,112300,0.0000
2004-04-30,50.6500,51.8000,47.9200,48.0300,34.9088,229300,0.0000
2004-05-28,48.0000,49.1900,45.6800,49.0400,35.6429,435600,0.0000
2004-06-30,49.0000,50.8900,48.3500,50.8900,36.9875,666100,0.0000
2004-07-30,51.0000,51.0000,46.3800,47.7800,34.7271,460500,0.0000
2004-08-31,47.6700,48.0000,45.2500,47.3500,34.4146,508800,0.0000
2004-09-30,47.8900,50.1200,47.8300,49.6900,36.1153,615700,0.0000
2004-10-29,50.4500,51.3000,49.2700,50.7500,36.8857,513700,0.0000
2004-11-30,50.7600,54.9500,50.7600,54.7800,39.8148,367000,0.0000
2004-12-31,54.8900,56.5500,53.9400,56.1600,41.2757,528400,0.6210
2005-01-31,56.3500,56.3600,52.3300,54.1600,39.8057,999500,0.0000
2005-02-28,54.1000,55.6900,53.8400,55.2500,40.6069,3301200,0.0000
2005-03-31,55.4000,56.5300,53.1000,53.8500,39.5815,619500,0.0050
2005-04-29,54.3900,54.5800,50.5600,51.5100,37.8616,1127000,0.0000
2005-05-31,51.6300,54.8700,51.4800,54.6900,40.1990,191400,0.0000
2005-06-30,54.6900,57.3100,54.6900,56.4800,41.5147,277600,0.0000
2005-07-29,56.8000,60.5700,56.5800,60.1000,44.1755,461900,0.0000
2005-08-31,60.4500,60.8000,57.3600,58.9500,43.3302,482800,0.0000
2005-09-30,59.3500,60.4500,57.3200,59.4900,43.7271,319300,0.0000
2005-10-31,59.9500,60.0900,54.8900,57.2000,42.0439,575300,0.0000
2005-11-30,57.4300,61.1500,57.0900,60.3400,44.3519,376800,0.0000
2005-12-30,60.7500,61.7300,59.3400,59.5500,44.2667,561800,0.6780
2006-01-31,59.9200,64.4100,59.0000,64.0900,47.6416,838400,0.0000
