date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2009-12-31,75.7100,76.1100,74.2400,75.3300,49.6152,970700,0.1690
2010-01-29,75.4400,76.2600,75.3500,75.9700,50.1204,1518300,0.1270
2010-02-26,76.1600,76.2600,75.7401,76.1200,50.3031,1022800,0.1270
2010-03-31,76.2400,76.4200,76.0200,76.2200,50.4822,1180700,0.1710
2010-04-30,76.2000,76.6300,75.9425,76.5200,50.7683,2126200,0.1320
2010-05-28,76.7000,76.7600,75.9900,76.2600,50.7013,1661400,0.1590
2010-06-30,76.3500,76.8300,75.8500,76.6560,51.0590,1539800,0.1420
2010-07-30,76.6400,77.7000,76.4600,77.6400,51.8217,1910900,0.1610
2010-08-31,77.5900,78.3200,77.3600,77.8300,52.0499,1890400,0.1520
2010-09-30,77.9700,78.4500,77.7000,78.3500,52.5007,3056900,0.1540
2010-10-29,78.3500,78.8500,78.2500,78.5500,52.7392,2530300,0.1560
2010-11-30,78.8000,78.9700,77.8400,77.9800,52.4559,1818700,0.1480
2010-12-31,77.9300,77.9500,76.9000,77.4100,52.2250,2162400,0.2260
2011-01-31,77.3600,77.9100,77.1500,77.7100,52.5245,3264800,0.1440
2011-02-28,77.6800,77.7800,77.1300,77.7099,52.6157,4564600,0.1350
2011-03-31,77.6800,78.2000,77.3800,77.4300,52.5392,4412600,0.1670
2011-04-29,77.4300,78.3500,77.2800,78.2000,53.1574,3944800,0.1410
2011-05-31,78.3300,78.6700,78.0700,78.5700,53.5136,2982800,0.1540
2011-06-30,78.6000,78.9000,78.2700,78.3500,53.4652,4001500,0.1490
2011-07-29,78.5100,78.8400,78.2700,78.7500,53.8453,3506100,0.1570
2011-08-31,78.8000,79.2000,78.0900,78.5300,53.7954,6265500,0.1470
2011-09-30,78.6600,78.6600,77.5300,77.6200,53.2741,3882600,0.1490
2011-10-31,77.3700,78.2600,77.1400,78.0800,53.6948,5505300,0.1530
2011-11-30,78.1900,78.3400,77.0900,77.2700,53.2403,4089800,0.1490
2011-12-30,77.2700,77.9000,77.2300,77.8600,53.8180,6008700,0.2480
2012-01-31,77.6800,78.8800,77.6500,78.7000,54.4995,7304000,0.1460
2012-02-29,78.8200,79.3700,78.5400,79.2600,54.9863,9358300,0.1430
2012-03-30,79.2000,79.3500,78.8989,79.0400,54.9399,7050900,0.1530
2012-04-30,79.2500,79.3600,78.8900,79.2200,55.1651,7317900,0.1440
2012-05-31,79.1700,79.3500,78.8500,78.9500,55.0829,5212500,0.1520
2012-06-29,78.9100,79.2200,78.7400,79.1500,55.3257,5824600,0.1480
2012-07-31,79.2700,79.8200,79.0950,79.7200,55.8297,5990400,0.1510
2012-08-31,79.8600,80.1100,79.5700,80.0900,56.1903,7765300,0.1450
2012-09-28,80.1700,80.4850,79.9000,80.3300,56.4562,9413100,0.1390
2012-10-31,80.4600,80.7500,80.3700,80.7000,56.7163,10931600,0.0000
2012-11-30,80.7800,80.7800,80.3000,80.4300,56.7149,8729400,0.2680
2012-12-31,80.4000,80.5400,80.0400,80.3200,56.8134,7958000,0.2490
2013-01-31,80.2000,80.4300,80.0000,80.1700,56.7978,14403600,0.1280
2013-02-28,80.2900,80.5300,80.0200,80.3100,56.9827,10385200,0.1210
2013-03-28,80.3600,80.4600,80.2000,80.3350,57.0970,9864500,0.1360
2013-04-30,80.3100,80.6800,80.2357,80.5800,57.3528,21146900,0.1150
2013-05-31,80.5700,80.6600,79.8000,79.9500,56.9913,11577800,0.1220
2013-06-28,79.9000,79.9800,78.2152,79.1000,56.4702,16895800,0.1190
2013-07-31,79.1100,79.7300,78.6900,79.5500,56.8785,13648600,0.1220
2013-08-30,79.5000,79.6700,78.9000,79.1800,56.6962,11891600,0.1150
2013-09-30,79.3000,79.7900,78.7400,79.6000,57.0829,11168500,0.1200
2013-10-31,79.5900,80.2700,79.4100,80.0900,57.5217,15507000,0.1220
2013-11-29,80.1000,80.3700,79.8800,80.1900,57.6790,11348000,0.1190
2013-12-31,80.1900,80.2500,79.5800,79.7800,57.5989,11359800,0.2980
2014-01-31,79.7800,80.1600,79.6800,80.1500,57.8660,14143300,0.0000
2014-02-28,80.1000,80.3790,79.9800,80.3400,58.0865,11221000,0.1150
2014-03-31,80.2100,80.2900,79.7550,79.9800,57.9120,18486600,0.1190
2014-04-30,79.8300,80.2800,79.7400,80.1900,58.1572,9419700,0.1280
2014-05-30,80.0700,80.6000,80.0200,80.4900,58.4607,11422500,0.1180
2014-06-30,80.3200,80.3700,80.0649,80.3700,58.4623,10388900,0.1220
2014-07-31,80.2200,80.2600,80.0000,80.1200,58.3669,10418500,0.1190
2014-08-29,80.1300,80.4100,80.0600,80.2400,58.5425,9922000,0.1210
2014-09-30,80.1500,80.1900,79.8000,79.8700,58.3556,12909765,0.1140
2014-10-31,79.9000,80.8600,79.7990,80.0050,58.5434,14969349,0.1220
