date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,59.38,59.92,59.12,59.77,58.6783438569633,16449328,0.0,1.0
2025-11-24,59.66,60.06,59.56,60.06,58.963047215145,24632458,0.0,1.0
2025-11-25,60.16,60.64,59.95,60.63,59.5226365743297,16452838,0.0,1.0
2025-11-26,60.84,61.39,60.84,61.28,60.1607647909438,10988016,0.0,1.0
2025-11-28,61.34,61.58,61.26,61.57,60.4454681491255,5615396,0.0,1.0
2025-12-01,61.34,61.5519,61.2345,61.26,60.1411300765864,10104708,0.0,1.0
2025-12-02,61.49,61.505,61.2443,61.46,60.33747722016,16957062,0.0,1.0
2025-12-03,61.495,61.82,61.495,61.79,60.6614500070564,10039911,0.0,1.0
2025-12-04,62.08,62.1285,61.84,61.95,60.8185277219153,11296266,0.0,1.0
2025-12-05,62.21,62.315,61.95,62.04,60.9068839365234,15165221,0.0,1.0
2025-12-08,62.17,62.17,61.82,61.91,60.7792582932005,13104482,0.0,1.0
2025-12-09,61.95,62.11,61.82,61.84,60.7105367929498,12510661,0.0,1.0
2025-12-10,61.92,62.64,61.875,62.54,61.3977517954573,16608702,0.0000,1.0
2025-12-11,62.64,62.92,62.56,62.8,61.653003082103,17013214,0.0000,1.0
2025-12-12,62.86,62.91,62.1845,62.48,61.3388476523852,20951406,0.0000,1.0
2025-12-15,63.015,63.08,62.7018,62.84,61.6922725108177,19714673,0.0000,1.0
2025-12-16,62.67,62.755,62.32,62.46,61.3192129380279,26297354,0.0000,1.0
2025-12-17,62.445,62.57,62.02,62.02,60.887249222166,16268758,0.0000,1.0
2025-12-18,62.6,62.8499,62.385,62.51,61.3682997239213,15461488,0.0000,1.0
2025-12-19,61.67,62.0759,61.67,61.84,61.7315419395324,18316010,1.0400,1.0
2025-12-22,61.96,62.17,61.94,62.13,62.0210333231428,20034276,0.0000,1.0
2025-12-23,62.49,62.575,62.41,62.54,62.4303142447988,27124771,0.0000,1.0
2025-12-24,62.61,62.72,62.55,62.68,62.5700687058521,9490480,0.0000,1.0
2025-12-26,62.77,62.81,62.64,62.81,62.6998407054015,12049167,0.0000,1.0
2025-12-29,62.71,62.82,62.575,62.72,62.6099985518673,15346926,0.0000,1.0
2025-12-30,62.91,63.02,62.78,62.79,62.6798757823939,13309622,0.0000,1.0
2025-12-31,62.75,62.75,62.4345,62.47,62.3604370142721,14361812,0.0000,1.0
2026-01-02,63.15,63.21,62.8501,63.2,63.0891567040499,19524646,0.0000,1.0
2026-01-05,63.44,63.9799,62.92,63.95,63.8378413168353,23987201,0.0000,1.0
2026-01-06,64.07,64.19,63.97,64.14,64.0275080854076,22562920,0.0000,1.0
2026-01-07,64.1,64.1,63.83,63.88,63.7679640863087,19224543,0.0000,1.0
2026-01-08,63.74,63.96,63.68,63.94,63.8278588553315,14891812,0.0000,1.0
2026-01-09,64.265,64.59,64.22,64.53,64.416824084056,15461844,0.0000,1.0
2026-01-12,64.72,64.95,64.69,64.92,64.8061400827045,16176187,0.0000,1.0
2026-01-13,64.82,64.84,64.415,64.56,64.4467714685675,21135771,0.0000,1.0
2026-01-14,64.76,64.89,64.64,64.87,64.7562277751854,41203096,0.0000,1.0
2026-01-15,65.11,65.18,64.92,64.96,64.8460699287197,22070649,0.0000,1.0
