ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-20,2026-01-08,2026-03-20,2026-03-24,0.109
2025-12-19,2025-04-03,2025-12-19,2025-12-23,1.04
2025-09-19,2025-01-16,2025-09-19,2025-09-23,0.2865
2025-06-20,2025-01-16,2025-06-20,2025-06-24,0.4407
2025-03-21,2025-01-16,2025-03-21,2025-03-25,0.2422
2024-12-20,2024-02-29,2024-12-20,2024-12-24,0.7126
2024-09-20,2024-02-29,2024-09-20,2024-09-24,0.1444
2024-06-21,2024-02-29,2024-06-21,2024-06-25,0.4607
2024-03-15,2024-02-29,2024-03-18,2024-03-20,0.2865
2023-12-18,2023-03-15,2023-12-19,2023-12-21,0.6097
2023-09-18,2023-03-15,2023-09-19,2023-09-21,0.3099
2023-06-20,2023-03-15,2023-06-21,2023-06-23,0.4319
2023-03-20,2023-03-15,2023-03-21,2023-03-23,0.1597
2022-12-19,2022-12-15,2022-12-20,2022-12-22,0.4895
2022-09-19,2022-09-16,2022-09-20,2022-09-22,0.1196
2022-06-21,2022-06-16,2022-06-22,2022-06-24,0.53
2022-03-21,2022-03-17,2022-03-22,2022-03-24,0.0828
2021-12-20,2021-12-16,2021-12-21,2021-12-23,0.7693
2021-09-20,2021-09-16,2021-09-21,2021-09-23,0.2
2021-06-21,2021-06-17,2021-06-22,2021-06-24,0.4135
2021-03-22,2021-03-18,2021-03-23,2021-03-25,0.2312
2020-12-21,2020-12-17,2020-12-22,2020-12-24,0.4147
2020-09-21,2020-09-17,2020-09-22,2020-09-24,0.2208
2020-06-22,,,,0.1981
2020-03-23,2020-03-19,2020-03-24,2020-03-26,0.1312
2019-12-23,,,,0.44
2019-09-24,,,,0.2754
2019-06-17,,,,0.45
2019-03-28,,,,0.175
2018-12-24,,,,0.3837
2018-09-26,,,,0.1584
2018-06-22,,,,0.5402
2018-03-26,,,,0.1615
2017-12-21,,,,0.4315
2017-09-20,,,,0.179
2017-06-21,,,,0.482
2017-03-24,,,,0.15
2016-12-22,,,,0.3
2016-09-13,,,,0.175
2016-06-14,,,,0.482
2016-03-15,,,,0.157
2015-12-21,,,,0.221
2015-09-25,,,,0.156
2015-06-26,,,,0.513
2015-03-25,,,,0.181
2014-12-22,,,,0.24
2014-09-24,,,,0.212
2014-06-24,,,,0.513
2014-03-25,,,,0.429
2013-12-20,,,,0.213
2013-09-23,,,,0.164
2013-06-24,,,,0.545
2013-03-22,,,,0.161
2012-12-20,,,,0.346
2012-09-24,,,,0.689
2012-03-22,,,,0.011
2011-12-21,,,,1.046
2011-03-23,,,,0.012
2010-12-22,,,,0.886
2010-03-23,,,,0.011
2009-12-24,,,,0.797
2009-03-23,,,,0.019
2008-12-24,,,,0.914
2008-03-12,,,,0.032
2007-12-24,,,,1.055
