date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,70.57,71.235,70.275,71.02,69.7064443334944,2316239,0.0,1.0
2025-11-24,70.96,71.438,70.905,71.11,69.7947797318331,6702912,0.0,1.0
2025-11-25,71.49,72.005,71.21,71.98,70.6486885824405,2868286,0.0,1.0
2025-11-26,72.24,72.8,72.24,72.71,71.36518681341,2005307,0.0,1.0
2025-11-28,72.71,72.97,72.625,72.97,71.6203779641662,919679,0.0,1.0
2025-12-01,72.715,72.96,72.6301,72.65,71.3062965478508,1610958,0.0,1.0
2025-12-02,72.85,72.8875,72.5624,72.82,71.4731523002684,1641761,0.0,1.0
2025-12-03,72.75,73.12,72.75,73.09,71.7381584952845,2445114,0.0,1.0
2025-12-04,73.42,73.47,73.14,73.27,71.9148292919619,1575108,0.0,1.0
2025-12-05,73.63,73.8161,73.39,73.49,72.1307602656787,3536890,0.0,1.0
2025-12-08,73.53,73.57,73.15,73.27,71.9148292919619,2959213,0.0,1.0
2025-12-09,73.16,73.395,73.1401,73.17,71.8166788493633,1728139,0.0,1.0
2025-12-10,73.27,74.1,73.2538,73.98,72.6116974344116,2134529,0.0000,1.0
2025-12-11,73.9,74.2558,73.81,74.16,72.788368231089,2411236,0.0000,1.0
2025-12-12,74.19,74.28,73.37,73.66,72.2976160180962,2433190,0.0000,1.0
2025-12-15,74.25,74.25,73.795,73.94,72.5724372573722,2926657,0.0000,1.0
2025-12-16,73.66,73.77,73.28,73.52,72.1602053984583,2327639,0.0000,1.0
2025-12-17,73.53,73.66,72.99,72.99,71.6400080526859,3320983,0.0000,1.0
2025-12-18,73.67,73.9872,73.47,73.56,72.1994655754977,2835500,0.0000,1.0
2025-12-19,72.64,73.0999,72.64,72.87,72.7569600894575,1980374,1.2580,1.0
2025-12-22,73.06,73.2676,73.01,73.22,73.1064171504059,3117919,0.0000,1.0
2025-12-23,73.5,73.69,73.4178,73.69,73.5756880608223,3846248,0.0000,1.0
2025-12-24,73.69,73.795,73.63,73.74,73.6256104981007,1980619,0.0000,1.0
2025-12-26,73.85,73.98,73.765,73.98,73.8652381970367,1979369,0.0000,1.0
2025-12-29,73.64,73.825,73.56,73.75,73.6355949855563,3800338,0.0000,1.0
2025-12-30,73.96,74.1197,73.865,73.88,73.76539332248,3792996,0.0000,1.0
2025-12-31,73.83,73.84,73.5401,73.56,73.4458897238986,3130310,0.0000,1.0
2026-01-02,74.54,74.7,74.2799,74.69,74.5741368063892,6364491,0.0000,1.0
2026-01-05,74.92,75.49,74.865,75.49,75.3728958028427,4672858,0.0000,1.0
2026-01-06,75.68,75.895,75.6198,75.76,75.6424769641457,2915984,0.0000,1.0
2026-01-07,75.57,75.61,75.3,75.36,75.243097465919,3571324,0.0000,1.0
2026-01-08,75.11,75.44,75.099,75.43,75.3129888781087,2803500,0.0000,1.0
2026-01-09,75.62,76.0199,75.57,75.96,75.8421667132591,2494382,0.0000,1.0
2026-01-12,76.21,76.69,76.21,76.67,76.5510653226116,3173236,0.0000,1.0
2026-01-13,76.47,76.505,76.0701,76.25,76.1317168494735,3296076,0.0000,1.0
2026-01-14,76.37,76.59,76.28,76.58,76.4612049355106,3138736,0.0000,1.0
2026-01-15,76.79,76.97,76.655,76.73,76.6109722473456,4302469,0.0000,1.0
2026-01-16,76.76,76.7833,76.3825,76.73,76.6109722473456,2386150,0.0000,1.0
2026-01-20,75.86,76.2874,75.66,75.78,75.6624459390571,3999937,0.0000,1.0
2026-01-21,76.18,76.8501,75.92,76.63,76.5111273727889,7427730,0.0000,1.0
2026-01-22,77.02,77.25,76.86,77.04,76.9204913584713,4983055,0.0000,1.0
2026-01-23,76.85,77.515,76.74,77.47,77.3498243190651,2715815,0.0000,1.0
2026-01-26,77.79,78.04,77.73,77.77,77.6493589427351,3905389,0.0000,1.0
2026-01-27,78.52,79.08,78.5,79.0,78.8774508997824,3507982,0.0000,1.0
2026-01-28,78.8,78.89,78.3,78.72,78.5978852510237,3329955,0.0000,1.0
2026-01-29,79.32,79.36,77.955,78.93,78.8075594875927,8947146,0.0000,1.0
2026-01-30,78.44,78.59,77.4252,77.73,77.6094209929125,4943180,0.0000,1.0
2026-02-02,77.53,78.235,77.53,78.16,78.0387539535062,4197932,0.0000,1.0
2026-02-03,78.32,78.56,77.715,78.37,78.2484281900753,3081108,0.0000,1.0
2026-02-04,79.01,79.09,77.965,78.3,78.1785367778856,4031774,0.0000,1.0
2026-02-05,77.6,78.08,77.28,77.37,77.2499794445084,6668876,0.0000,1.0
2026-02-06,78.37,79.195,78.36,79.19,79.0671561614401,2342173,0.0000,1.0
2026-02-09,79.47,80.24,79.4065,80.15,80.0256669571843,4392112,0.0000,1.0
2026-02-10,80.56,80.615,80.36,80.38,80.2553101686646,4473159,0.0000,1.0
2026-02-11,80.94,81.185,80.36,81.03,80.9043018532831,4269125,0.0000,1.0
2026-02-12,81.26,81.31,80.05,80.26,80.1354963191966,4733274,0.0000,1.0
2026-02-13,80.12,80.6,79.66,80.48,80.3551550432213,4882774,0.0000,1.0
2026-02-17,79.82,80.51,79.45,80.34,80.215372218842,4398107,0.0000,1.0
2026-02-18,80.54,81.005,80.3939,80.59,80.4649844052337,3593592,0.0000,1.0
2026-02-19,80.07,80.44,79.88,80.41,80.2852636310317,3183822,0.0000,1.0
2026-02-20,80.36,81.43,80.34,81.43,81.3036813515099,4165805,0.0000,1.0
2026-02-23,81.25,81.535,80.755,80.95,80.8244259536378,3776639,0.0000,1.0
2026-02-24,80.99,81.635,80.9199,81.46,81.3336348138769,7589733,0.0000,1.0
2026-02-25,82.05,82.33,81.865,82.26,82.1323938103304,7044417,0.0000,1.0
2026-02-26,82.24,82.255,81.37,82.01,81.8827816239387,5430082,0.0000,1.0
2026-02-27,81.72,82.13,81.59,81.82,81.6930763622809,3183052,0.0000,1.0
2026-03-02,79.82,80.74,79.8,80.4,80.275279143576,7453216,0.0000,1.0
2026-03-03,76.73,77.96,75.725,77.62,77.4995916309001,8079448,0.0000,1.0
2026-03-04,77.89,78.57,77.6,78.43,78.3083351148093,6410272,0.0000,1.0
2026-03-05,77.19,77.705,76.015,76.8,76.6808636595353,4241778,0.0000,1.0
2026-03-06,75.5,76.54,75.32,76.18,76.0618254372838,5225727,0.0000,1.0
2026-03-09,75.19,77.23,74.52,76.96,76.840615458826,7870919,0.0000,1.0
2026-03-10,77.35,78.48,76.99,77.22,77.1002121326734,4963592,0.0000,1.0
2026-03-11,76.87,77.43,76.62,77.11,76.990382770661,3052559,0.0000,1.0
2026-03-12,76.29,76.345,75.29,75.6,75.482725164855,8449560,0.0000,1.0
2026-03-13,75.94,76.305,74.725,74.86,74.7438730931356,4235137,0.0000,1.0
2026-03-16,76.06,76.62,75.92,76.41,76.2914686487642,4170516,0.0000,1.0
2026-03-17,76.93,77.115,76.55,76.65,76.5310963477003,3364606,0.0000,1.0
2026-03-18,76.22,76.46,75.295,75.36,75.243097465919,3177182,0.0000,1.0
2026-03-19,73.98,75.605,73.83,75.22,75.1033146415396,5961701,0.0000,1.0
2026-03-20,74.67,74.675,72.495,72.86,72.86,4874461,0.1132,1.0
2026-03-23,74.35,75.52,73.96,74.7,74.7,6271283,0.0000,1.0
2026-03-24,73.59,74.56,73.455,74.13,74.13,3198187,0.0000,1.0
2026-03-25,75.25,75.585,74.78,75.2,75.2,3003304,0.0000,1.0
2026-03-26,74.16,74.68,73.3539,73.38,73.38,2566251,0.0000,1.0
2026-03-27,73.11,73.56,72.5851,72.82,72.82,4413874,0.0000,1.0
2026-03-30,73.39,73.49,72.42,72.75,72.75,4872124,0.0000,1.0
2026-03-31,73.52,75.135,73.33,75.1,75.1,5678097,0.0000,1.0
2026-04-01,75.98,76.591,75.76,76.09,76.09,5320755,0.0000,1.0
2026-04-02,74.34,75.94,74.245,75.58,75.58,3599087,0.0000,1.0
2026-04-06,75.69,76.14,75.69,75.98,75.98,1604736,0.0000,1.0
2026-04-07,75.6,76.05,74.8299,76.01,76.01,2926447,0.0000,1.0
2026-04-08,79.51,79.61,78.66,79.21,79.21,2844286,0.0000,1.0
2026-04-09,78.45,79.34,78.19,79.01,79.01,1957833,0.0000,1.0
2026-04-10,79.5,79.64,79.0,79.21,79.21,1349308,0.0000,1.0
2026-04-13,78.58,79.75,78.535,79.72,79.72,4083053,0.0000,1.0
2026-04-14,80.23,80.77,80.16,80.68,80.68,2767973,0.0000,1.0
2026-04-15,80.44,80.585,80.23,80.49,80.49,2420371,0.0000,1.0
2026-04-16,80.78,80.81,80.295,80.51,80.51,1367886,0.0000,1.0
2026-04-17,81.66,82.2899,81.5,81.63,81.63,3443547,0.0000,1.0
2026-04-20,81.09,81.28,80.695,81.26,81.26,1731072,0.0000,1.0
2026-04-21,80.94,81.03,79.64,79.72,79.72,2604855,0.0000,1.0
2026-04-22,80.38,80.45,80.07,80.34,80.34,3274786,0.0000,1.0
2026-04-23,79.91,80.2401,78.715,79.58,79.58,3108450,0.0000,1.0
2026-04-24,80.0,80.44,79.805,80.38,80.38,3622641,0.0000,1.0
2026-04-27,80.51,80.65,80.135,80.23,80.23,1694800,0.0000,1.0
2026-04-28,79.662,79.95,79.403978,79.77,79.77,1291655,0.0000,1.0
