date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2007-04-30,52.9600,55.7000,52.7000,54.8000,32.1131,2677300,0.0000
2007-05-31,55.1500,56.8300,54.6100,56.6200,33.1797,2768900,0.0000
2007-06-29,56.9700,58.4400,55.0200,57.0000,33.4023,2715400,0.0000
2007-07-31,57.2000,59.7000,55.3300,56.3400,33.0156,3726200,0.0000
2007-08-31,55.9000,64.5100,50.4000,56.2300,32.9511,4181400,0.0000
2007-09-28,56.0500,59.9100,54.5300,59.6900,34.9787,3751200,0.0000
2007-10-31,59.9700,63.7200,59.0000,63.4900,37.2055,4343900,0.0000
2007-11-30,62.5300,62.7900,57.1000,60.3400,35.3596,6065700,0.0000
2007-12-31,60.0000,62.1400,56.8500,58.6090,34.6425,5741900,0.5100
2008-01-31,59.1400,59.2300,49.0100,54.0700,31.9596,10011500,0.0000
2008-02-29,54.7400,56.0999,51.0600,53.9500,31.8887,5907100,0.0000
2008-03-31,53.9601,54.9800,50.0600,53.9000,31.8591,6011300,0.0000
2008-04-30,55.2900,57.6900,54.2801,57.0900,33.7447,6008500,0.0000
2008-05-30,56.8200,59.5700,56.7000,57.9000,34.2234,5434400,0.0000
2008-06-30,57.5500,58.0000,52.2500,53.0500,31.3567,6120800,0.0000
2008-07-31,52.0500,52.7900,49.2000,51.1000,30.2041,8941400,0.0000
2008-08-29,51.4900,51.4900,47.0900,48.4500,28.6378,6633300,0.0000
2008-09-30,48.5500,87.1600,39.5000,42.4400,25.0854,12539500,0.0000
2008-10-31,42.6200,43.0000,27.2100,32.7800,19.3756,31299600,0.0000
2008-11-28,32.6800,35.2900,25.6400,30.5600,18.0634,23386500,0.0000
2008-12-31,29.6700,33.5700,27.6800,32.3200,19.5904,49644400,0.7850
2009-01-30,32.2900,33.2300,26.6300,28.1200,17.0446,20894800,0.0000
2009-02-27,27.5900,30.0100,25.1800,25.5300,15.4747,25198400,0.0000
2009-03-31,24.7800,29.6800,23.3200,28.1200,17.0446,18845200,0.0000
2009-04-30,27.9500,32.3900,27.8500,31.8400,19.2994,11263000,0.0000
2009-05-29,31.8700,36.6700,31.8208,36.6700,22.2271,11899700,0.0000
2009-06-30,37.6000,37.9700,34.2700,35.9100,21.7664,17120100,0.0000
2009-07-31,36.3700,39.9200,33.9400,39.7200,24.0758,15803700,0.0000
2009-08-31,40.8300,41.7700,38.5600,40.8800,24.7789,12796600,0.0000
2009-09-30,40.5700,44.2200,39.6700,43.2000,26.1852,21528800,0.0000
2009-10-30,42.8400,45.4800,41.2000,41.8300,25.3548,21181600,0.0000
2009-11-30,42.2200,45.5800,41.4400,43.8600,26.5852,19140100,0.0000
2009-12-31,44.7800,45.6890,43.0200,43.6100,26.9551,16246700,0.8630
2010-01-29,44.6600,45.8200,40.9100,41.1000,25.4037,19501800,0.0000
