date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,58.88,58.8999,58.85,58.88,57.9682792879184,3111660,0.0,1.0
2025-11-24,58.88,58.9,58.87,58.9,57.9879696001765,1984029,0.0,1.0
2025-11-25,58.9,58.94,58.89,58.93,58.0175050685637,2443303,0.0,1.0
2025-11-26,58.93,58.93,58.9,58.93,58.0175050685637,2609927,0.0,1.0
2025-11-28,58.93,58.94,58.91,58.93,58.0175050685637,1335085,0.0,1.0
2025-12-01,58.71,58.7199,58.69,58.7,57.9735956722281,3211404,0.1854,1.0
2025-12-02,58.72,58.73,58.71,58.72,57.9933481750125,3606327,0.0,1.0
2025-12-03,58.77,58.77,58.74,58.77,58.0427294319735,2930498,0.0,1.0
2025-12-04,58.73,58.74,58.72,58.72,57.9933481750125,2739255,0.0,1.0
2025-12-05,58.73,58.73,58.7,58.7,57.9735956722281,2011748,0.0,1.0
2025-12-08,58.69,58.69,58.65,58.69,57.9637194208359,2246837,0.0,1.0
2025-12-09,58.71,58.71,58.66,58.67,57.9439669180515,2413495,0.0,1.0
2025-12-10,58.66,58.75,58.65,58.74,57.8356560051965,3391063,0.0000,1.0
2025-12-11,58.78,58.79,58.75,58.77,57.865194133902,3911009,0.0000,1.0
2025-12-12,58.76,58.78,58.75,58.77,57.865194133902,2305985,0.0000,1.0
2025-12-15,58.8,58.82,58.79,58.8,57.8947322626074,2795772,0.0000,1.0
2025-12-16,58.81,58.84,58.8,58.84,57.9341164342146,2575557,0.0000,1.0
2025-12-17,58.83,58.85,58.82,58.84,57.9341164342146,3083319,0.0000,1.0
2025-12-18,58.7,58.7,58.66,58.69,57.9737959871088,2426288,0.1903,1.0
2025-12-19,58.675,58.69,58.66,58.68,57.963918018803,2702852,0.0000,1.0
2025-12-22,58.67,58.67,58.65,58.66,57.9441620821912,3050366,0.0000,1.0
2025-12-23,58.62,58.63,58.61,58.63,57.9145281772737,3229913,0.0000,1.0
2025-12-24,58.64,58.67,58.64,58.66,57.9441620821912,1089460,0.0000,1.0
2025-12-26,58.7,58.72,58.69,58.72,58.0034298920264,1904443,0.0000,1.0
2025-12-29,58.73,58.74,58.72,58.74,58.0231858286382,2437936,0.0000,1.0
2025-12-30,58.74,58.76,58.73,58.76,58.0429417652499,2219672,0.0000,1.0
2025-12-31,58.74,58.76,58.73,58.73,58.0133078603323,2252046,0.0000,1.0
2026-01-02,58.76,58.76,58.74,58.75,58.033063796944,2236070,0.0000,1.0
2026-01-05,58.76,58.78,58.76,58.78,58.0626977018616,2423145,0.0000,1.0
2026-01-06,58.77,58.78,58.75,58.775,58.0577587177087,6564078,0.0000,1.0
2026-01-07,58.79,58.8,58.76,58.77,58.0528197335557,4664915,0.0000,1.0
2026-01-08,58.76,58.77,58.75,58.77,58.0528197335557,3258914,0.0000,1.0
2026-01-09,58.75,58.77,58.72,58.74,58.0231858286382,3147855,0.0000,1.0
2026-01-12,58.73,58.75,58.72,58.74,58.0231858286382,5053961,0.0000,1.0
2026-01-13,58.75,58.76,58.74,58.76,58.0429417652499,3533390,0.0000,1.0
2026-01-14,58.77,58.79,58.76,58.77,58.0528197335557,2847750,0.0000,1.0
2026-01-15,58.75,58.76,58.72,58.73,58.0133078603323,2887645,0.0000,1.0
2026-01-16,58.75,58.75,58.7,58.715,57.9984909078735,2923667,0.0000,1.0
2026-01-20,58.72,58.73,58.71,58.72,58.0034298920264,2695012,0.0000,1.0
2026-01-21,58.73,58.74,58.72,58.73,58.0133078603323,3447770,0.0000,1.0
2026-01-22,58.71,58.72,58.7,58.72,58.0034298920264,2730036,0.0000,1.0
2026-01-23,58.72,58.75,58.72,58.75,58.033063796944,4393971,0.0000,1.0
2026-01-26,58.76,58.77,58.75,58.77,58.0528197335557,5289361,0.0000,1.0
2026-01-27,58.77,58.79,58.77,58.79,58.0725756701675,2488726,0.0000,1.0
2026-01-28,58.8,58.8,58.77,58.78,58.0626977018616,9700997,0.0000,1.0
2026-01-29,58.79,58.83,58.79,58.82,58.1022095750851,4627106,0.0000,1.0
2026-01-30,58.84,58.87,58.83,58.86,58.1417214483085,3024236,0.0000,1.0
2026-02-02,58.669,58.67,58.63,58.65,58.1174216462761,5021386,0.1854,1.0
2026-02-03,58.62,58.65,58.62,58.65,58.1174216462761,4076472,0.0000,1.0
2026-02-04,58.63,58.66,58.62,58.65,58.1174216462761,3434337,0.0000,1.0
2026-02-05,58.73,58.77,58.71,58.77,58.2363319718951,4607667,0.0000,1.0
2026-02-06,58.77,58.77,58.73,58.75,58.2165135842919,4445092,0.0000,1.0
2026-02-09,58.77,58.77,58.76,58.77,58.2363319718951,3303207,0.0000,1.0
2026-02-10,58.795,58.82,58.79,58.81,58.2759687471014,2815876,0.0000,1.0
2026-02-11,58.75,58.78,58.74,58.76,58.2264227780935,3048116,0.0000,1.0
2026-02-12,58.76,58.82,58.76,58.82,58.285877940903,2966994,0.0000,1.0
2026-02-13,58.89,58.9,58.8715,58.89,58.355242297514,2959885,0.0000,1.0
2026-02-17,58.88,58.89,58.86,58.86,58.3255147161093,4758713,0.0000,1.0
2026-02-18,58.85,58.86,58.84,58.84,58.3056963285061,2651315,0.0000,1.0
2026-02-19,58.84,58.86,58.83,58.85,58.3156055223077,3188590,0.0000,1.0
2026-02-20,58.865,58.87,58.84,58.86,58.3255147161093,3320597,0.0000,1.0
2026-02-23,58.86,58.91,58.85,58.89,58.355242297514,2440298,0.0000,1.0
2026-02-24,58.895,58.91,58.88,58.885,58.3502877006132,5623228,0.0000,1.0
2026-02-25,58.87,58.89,58.86,58.87,58.3354239099109,3984756,0.0000,1.0
2026-02-26,58.89,58.92,58.88,58.92,58.3849698789188,3095442,0.0000,1.0
2026-02-27,58.98,59.01,58.97,59.0,58.4642434293314,2710513,0.0000,1.0
2026-03-02,58.77,58.77,58.71,58.72,58.354845929762,7208291,0.1696,1.0
2026-03-03,58.645,58.72,58.64,58.71,58.3449081154006,5206233,0.0000,1.0
2026-03-04,58.71,58.71,58.65,58.65,58.2852812292326,3271668,0.0000,1.0
2026-03-05,58.63,58.64,58.6,58.64,58.2753434148713,2780437,0.0000,1.0
2026-03-06,58.61,58.71,58.6001,58.67,58.3051568579553,8256275,0.0000,1.0
2026-03-09,58.63,58.69,58.61,58.69,58.325032486678,2981344,0.0000,1.0
2026-03-10,58.7,58.7,58.65,58.66,58.295219043594,5251134,0.0000,1.0
2026-03-11,58.63,58.63,58.59,58.6,58.235592157426,2080974,0.0000,1.0
2026-03-12,58.57,58.58,58.48,58.51,58.1461518281739,3664087,0.0000,1.0
