ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-01,2026-01-06,2026-04-01,2026-04-06,0.1855
2026-03-02,2026-01-06,2026-03-02,2026-03-04,0.1696
2026-02-02,2026-01-06,2026-02-02,2026-02-04,0.1854
2025-12-18,2025-04-03,2025-12-18,2025-12-22,0.1903
2025-12-01,2025-11-26,2025-12-01,2025-12-03,0.1854
2025-11-03,2025-10-30,2025-11-03,2025-11-05,0.1888
2025-10-01,2025-09-29,2025-10-01,2025-10-03,0.1897
2025-09-02,2025-01-08,2025-09-02,2025-09-04,0.1986
2025-08-01,2025-01-08,2025-08-01,2025-08-05,0.2003
2025-07-01,2025-01-08,2025-07-01,2025-07-03,0.1944
2025-06-02,2025-01-08,2025-06-02,2025-06-04,0.2046
2025-05-01,2025-01-08,2025-05-01,2025-05-05,0.1983
2025-04-01,2025-01-08,2025-04-01,2025-04-03,0.206
2025-03-03,2025-01-08,2025-03-03,2025-03-05,0.1873
2025-02-03,2025-01-08,2025-02-03,2025-02-05,0.2075
2024-12-24,2024-12-20,2024-12-24,2024-12-27,0.2006
2024-12-02,2024-11-27,2024-12-02,2024-12-04,0.2
2024-11-01,2024-10-30,2024-11-01,2024-11-05,0.2145
2024-10-01,2024-09-27,2024-10-01,2024-10-03,0.2023
2024-09-03,2024-08-29,2024-09-03,2024-09-05,0.2101
2024-08-01,2024-07-30,2024-08-01,2024-08-05,0.2096
2024-07-01,2024-06-28,2024-07-01,2024-07-03,0.2016
2024-06-03,2024-05-30,2024-06-03,2024-06-05,0.2061
2024-05-01,2024-04-29,2024-05-02,2024-05-06,0.1969
2024-04-01,2024-03-28,2024-04-02,2024-04-04,0.2019
2024-03-01,2024-02-28,2024-03-04,2024-03-06,0.1927
2024-02-01,2024-01-30,2024-02-02,2024-02-06,0.1976
2023-12-22,2023-12-20,2023-12-26,2023-12-28,0.1949
2023-12-01,2022-12-26,2023-12-04,2023-12-06,0.1862
2023-11-01,2022-12-26,2023-11-02,2023-11-06,0.1853
2023-10-02,2022-12-26,2023-10-03,2023-10-05,0.1788
2023-09-01,2022-12-26,2023-09-05,2023-09-07,0.174
2023-08-01,2022-12-26,2023-08-02,2023-08-04,0.1709
2023-07-03,2022-12-26,2023-07-05,2023-07-07,0.1586
2023-06-01,2022-12-26,2023-06-02,2023-06-06,0.1523
2023-05-01,2022-12-26,2023-05-02,2023-05-04,0.1442
2023-04-03,2022-12-26,2023-04-04,2023-04-06,0.1427
2023-03-01,2022-12-26,2023-03-02,2023-03-06,0.1206
2023-02-01,2022-12-26,2023-02-02,2023-02-06,0.1247
2022-12-23,2022-12-21,2022-12-27,2022-12-29,0.1145
2022-12-01,2022-01-07,2022-12-02,2022-12-06,0.0983
2022-11-01,2022-01-07,2022-11-02,2022-11-04,0.0881
2022-10-03,2022-09-29,2022-10-04,2022-10-06,0.0709
2022-09-01,2022-08-30,2022-09-02,2022-09-07,0.0603
2022-08-01,2022-01-07,2022-08-02,2022-08-04,0.0556
2022-07-01,2022-06-29,2022-07-05,2022-07-07,0.0492
2022-06-01,2022-05-27,2022-06-02,2022-06-06,0.0402
2022-05-02,2022-04-28,2022-05-03,2022-05-05,0.0285
2022-04-01,2022-03-31,2022-04-04,2022-04-06,0.0243
2022-03-01,2022-02-25,2022-03-02,2022-03-04,0.0177
2022-02-01,2022-01-28,2022-02-02,2022-02-04,0.0168
2021-12-23,2021-12-22,2021-12-27,2021-12-29,0.2039
2021-12-01,2021-11-29,2021-12-02,2021-12-06,0.0148
2021-11-01,2021-10-28,2021-11-02,2021-11-04,0.0148
2021-10-01,2021-09-30,2021-10-04,2021-10-06,0.0147
2021-09-01,2021-08-30,2021-09-02,2021-09-07,0.0173
2021-08-02,2021-07-30,2021-08-03,2021-08-05,0.018
2021-07-01,2021-06-30,2021-07-02,2021-07-07,0.0167
2021-06-01,,,,0.0184
2021-05-03,2021-04-30,2021-05-04,2021-05-06,0.0179
2021-04-01,2021-03-31,2021-04-05,2021-04-07,0.0213
2021-03-01,2021-02-26,2021-03-02,2021-03-04,0.0211
2021-02-01,2021-01-28,2021-02-02,2021-02-04,0.0252
2020-12-23,2020-12-22,2020-12-24,2020-12-29,0.4015
2020-12-01,2020-11-30,2020-12-02,2020-12-04,0.0332
2020-11-02,2020-10-30,2020-11-03,2020-11-05,0.0379
2020-10-01,2020-09-30,2020-10-02,2020-10-06,0.0403
2020-09-01,2020-08-31,2020-09-02,2020-09-04,0.0458
2020-08-03,2020-07-31,2020-08-04,2020-08-06,0.0511
2020-07-01,2020-06-30,2020-07-02,2020-07-07,0.0538
2020-06-01,2020-05-29,2020-06-02,2020-06-04,0.0616
2020-05-01,2020-04-30,2020-05-04,2020-05-06,0.0705
2020-04-01,2020-03-31,2020-04-02,2020-04-06,0.0797
2020-03-02,2020-02-28,2020-03-03,2020-03-05,0.0972
2020-02-03,2020-01-31,2020-02-04,2020-02-06,0.1016
2019-12-23,,,,0.1062
2019-12-02,,,,0.1022
2019-11-01,,,,0.1108
2019-10-01,,,,0.1122
2019-09-03,,,,0.114
2019-08-01,,,,0.1218
2019-07-01,,,,0.1156
2019-06-03,,,,0.1244
2019-05-01,,,,0.1188
2019-04-01,,,,0.1256
2019-03-01,,,,0.1105
2019-02-01,,,,0.1246
2018-12-24,,,,0.1114
2018-12-03,,,,0.1037
2018-11-01,,,,0.1061
2018-10-01,,,,0.1022
2018-09-04,,,,0.1
2018-08-01,,,,0.0941
2018-07-02,,,,0.0885
2018-06-01,,,,0.086
2018-05-01,,,,0.0802
2018-04-02,,,,0.0782
2018-03-01,,,,0.0659
2018-02-01,,,,0.0627
2017-12-26,,,,0.076
2017-12-01,,,,0.064
2017-11-01,,,,0.06
2017-10-02,,,,0.063
2017-09-01,,,,0.055
2017-08-01,,,,0.054
2017-07-03,,,,0.055
2017-06-01,,,,0.054
2017-05-01,,,,0.052
2017-04-03,,,,0.048
2017-03-01,,,,0.049
2017-02-01,,,,0.032
2016-12-22,,,,0.0656
2016-12-01,,,,0.045
2016-11-01,,,,0.04
2016-10-03,,,,0.043
2016-09-01,,,,0.045
2016-08-01,,,,0.042
2016-07-01,,,,0.046
2016-06-01,,,,0.041
2016-05-02,,,,0.04
2016-04-01,,,,0.038
2016-03-01,,,,0.038
2016-02-01,,,,0.026
2015-12-23,,,,0.068
2015-12-01,,,,0.033
2015-11-02,,,,0.035
2015-10-01,,,,0.04
2015-09-01,,,,0.027
2015-08-03,,,,0.033
2015-07-01,,,,0.033
2015-06-01,,,,0.033
2015-05-01,,,,0.031
2015-04-01,,,,0.03
2015-03-02,,,,0.03
2015-02-02,,,,0.025
2014-12-23,,,,0.065
2014-12-01,,,,0.025
2014-11-03,,,,0.024
2014-10-01,,,,0.024
2014-09-02,,,,0.02
2014-08-01,,,,0.019
2014-07-01,,,,0.021
2014-06-02,,,,0.02
2014-05-01,,,,0.016
2014-04-01,,,,0.014
2014-03-03,,,,0.017
2014-02-03,,,,0.014
2013-12-24,,,,0.064
2013-11-29,,,,0.014
2013-10-31,,,,0.012
2013-09-30,,,,0.014
2013-08-30,,,,0.013
2013-07-31,,,,0.011
2013-06-28,,,,0.013
2013-05-31,,,,0.011
2013-04-30,,,,0.013
2013-03-28,,,,0.012
2013-02-28,,,,0.013
2013-01-31,,,,0.015
2012-12-24,,,,0.108
2012-11-30,,,,0.015
2012-11-02,,,,0.015
2012-09-28,,,,0.015
2012-08-31,,,,0.019
2012-07-31,,,,0.02
2012-06-29,,,,0.019
2012-05-31,,,,0.022
2012-04-30,,,,0.022
2012-03-30,,,,0.021
2012-02-29,,,,0.02
2012-01-31,,,,0.023
2011-12-23,,,,0.128
2011-11-30,,,,0.026
2011-10-31,,,,0.025
2011-09-30,,,,0.027
2011-08-31,,,,0.031
2011-07-29,,,,0.033
2011-06-30,,,,0.029
2011-05-31,,,,0.034
2011-04-29,,,,0.034
2011-03-31,,,,0.035
2011-02-28,,,,0.03
2011-01-31,,,,0.033
2010-12-27,,,,0.057
2010-11-30,,,,0.037
2010-10-29,,,,0.038
2010-09-30,,,,0.038
2010-08-31,,,,0.037
2010-07-30,,,,0.044
2010-06-30,,,,0.043
2010-05-28,,,,0.038
2010-04-30,,,,0.041
2010-03-31,,,,0.04
2010-02-26,,,,0.033
2010-01-29,,,,0.027
2009-12-24,,,,0.046
