ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-24,2026-01-08,2026-03-24,2026-03-26,0.7438
2025-12-17,2025-04-03,2025-12-17,2025-12-19,0.757
2025-09-24,2025-01-16,2025-09-24,2025-09-26,0.8586
2025-06-26,2025-01-16,2025-06-26,2025-06-30,0.7028
2025-03-25,2025-01-16,2025-03-25,2025-03-27,0.7294
2024-12-18,2024-02-29,2024-12-18,2024-12-20,0.7766
2024-09-27,2024-02-29,2024-09-27,2024-10-01,0.9171
2024-06-28,2024-02-29,2024-06-28,2024-07-02,0.7624
2024-03-22,2024-02-29,2024-03-25,2024-03-27,1.259
2023-12-19,2023-03-15,2023-12-20,2023-12-22,0.7946
2023-09-28,2023-03-15,2023-09-29,2023-10-03,0.8814
2023-06-29,2023-03-15,2023-06-30,2023-07-05,0.6757
2023-03-24,2023-03-15,2023-03-27,2023-03-29,0.7716
2022-12-15,2022-12-13,2022-12-16,2022-12-20,0.872
2022-09-28,2022-09-26,2022-09-29,2022-10-03,0.7639
2022-06-23,2022-06-21,2022-06-24,2022-06-28,0.5955
2022-03-24,2022-03-22,2022-03-25,2022-03-29,0.6774
2021-12-16,2021-12-14,2021-12-17,2021-12-21,0.8212
2021-09-29,2021-09-28,2021-09-30,2021-10-04,0.8869
2021-06-24,2021-06-23,2021-06-25,2021-06-29,0.5862
2021-03-26,2021-03-24,2021-03-29,2021-03-31,0.6292
2020-12-17,2020-12-16,2020-12-18,2020-12-22,0.6898
2020-09-11,2020-09-09,2020-09-14,2020-09-16,0.7074
2020-06-22,,,,0.6746
2020-03-10,,,,0.8409
2019-12-16,,,,0.6513
2019-09-26,,,,0.8344
2019-06-21,,,,0.6376
2019-03-21,,,,0.5968
2018-12-13,,,,0.6406
2018-09-24,,,,0.6488
2018-06-28,,,,0.4878
2018-03-16,,,,0.3776
2017-12-14,,,,0.437
2017-09-27,,,,0.419
2017-06-28,,,,0.406
2017-03-24,,,,0.363
2016-12-14,,,,0.433
2016-09-20,,,,0.403
2016-06-21,,,,0.35
2016-03-21,,,,0.407
2015-12-23,,,,0.403
2015-09-23,,,,0.985
2014-12-18,,,,1.171
2013-12-20,,,,0.944
2012-12-20,,,,0.833
2011-12-21,,,,0.485
2010-12-22,,,,0.362
2009-12-22,,,,0.25
2008-12-22,,,,0.326
2007-12-14,,,,0.175
2006-12-18,,,,0.136
2005-12-22,,,,0.091
2004-12-22,,,,0.609
