date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,28.91,29.075,28.71,28.82,27.9212568280952,23203003,0.0,1.0
2025-11-24,28.89,28.995,28.575,28.72,27.8243752985043,21901120,0.0,1.0
2025-11-25,28.86,28.965,28.62,28.75,27.8534397573816,15698916,0.0,1.0
2025-11-26,28.8,29.075,28.725,28.83,27.9309449810543,10995892,0.0,1.0
2025-11-28,28.83,28.975,28.79,28.82,27.9212568280952,6014341,0.0,1.0
2025-12-01,28.625,28.625,28.38,28.59,27.6984293100361,14828664,0.0,1.0
2025-12-02,28.65,28.685,28.175,28.45,27.5627951686089,23515074,0.0,1.0
2025-12-03,28.4,28.64,28.115,28.3,27.4174728742225,12220803,0.0,1.0
2025-12-04,28.22,28.285,27.94,28.0,27.1268282854499,13809886,0.0,1.0
2025-12-05,27.96,28.19,27.665,27.73,26.8652481555545,16346469,0.0,1.0
2025-12-08,27.88,27.99,27.685,27.92,27.0493230617772,15750239,0.0,1.0
2025-12-09,27.95,28.12,27.63,27.76,26.8943126144317,16778446,0.0,1.0
2025-12-10,27.78,27.9,27.72,27.76,26.8943126144317,14648254,0.0000,1.0
2025-12-11,27.8,28.14,27.79,28.12,27.2430861209589,12216379,0.0000,1.0
2025-12-12,28.29,28.82,28.29,28.66,27.7662463807498,11927427,0.0000,1.0
2025-12-15,28.72,28.77,28.07,28.6,27.7081174629952,14537198,0.0000,1.0
2025-12-16,28.61,28.72,28.28,28.31,27.4271610271816,16615638,0.0000,1.0
2025-12-17,27.9,28.395,27.88,28.39,27.9406331340134,28634595,0.4500,1.0
2025-12-18,28.34,28.39,28.05,28.1,27.6552233556103,16031689,0.0000,1.0
2025-12-19,28.18,28.18,27.65,27.7,27.2615546957439,24121133,0.0000,1.0
2025-12-22,27.64,27.9,27.56,27.86,27.4190221596905,14371530,0.0000,1.0
2025-12-23,27.86,27.88,27.59,27.76,27.3206049947239,12408165,0.0000,1.0
2025-12-24,27.8,28.0,27.79,27.96,27.5174393246571,5211502,0.0000,1.0
2025-12-26,27.95,28.15,27.88,28.13,27.6847485051002,4764093,0.0000,1.0
2025-12-29,28.22,28.31,28.13,28.3,27.8520576855434,6431104,0.0000,1.0
2025-12-30,28.23,28.4,28.23,28.34,27.8914245515301,6630274,0.0000,1.0
2025-12-31,28.29,28.3,28.09,28.12,27.6749067886036,7817570,0.0000,1.0
2026-01-02,28.16,28.2555,27.76,28.15,27.7044319380936,8303987,0.0000,1.0
2026-01-05,28.1,28.4499,27.735,28.13,27.6847485051002,20166257,0.0000,1.0
2026-01-06,28.03,28.075,27.605,27.85,27.4091804431938,23564821,0.0000,1.0
2026-01-07,28.0,28.1026,27.545,27.56,27.1237706647907,10672852,0.0000,1.0
2026-01-08,27.5,28.215,27.48,27.86,27.4190221596905,8847793,0.0000,1.0
2026-01-09,27.92,28.07,27.76,27.76,27.3206049947239,11313184,0.0000,1.0
2026-01-12,27.79,27.98,27.7,27.89,27.4485473091804,9322525,0.0000,1.0
2026-01-13,27.91,27.98,27.56,27.81,27.3698135772072,9092525,0.0000,1.0
2026-01-14,27.83,28.165,27.83,28.15,27.7044319380936,8145240,0.0000,1.0
2026-01-15,28.2,28.545,28.12,28.42,27.9701582835033,9238018,0.0000,1.0
2026-01-16,28.46,28.995,28.4,28.98,28.5212944073162,9501816,0.0000,1.0
2026-01-20,28.83,28.98,28.5655,28.82,28.3638269433697,11472121,0.0000,1.0
2026-01-21,28.87,28.951,28.255,28.37,27.92094970102,12269333,0.0000,1.0
2026-01-22,28.33,28.6,28.14,28.19,27.7437988040802,7437495,0.0000,1.0
2026-01-23,28.21,28.6,28.18,28.54,28.0882588814632,9379332,0.0000,1.0
2026-01-26,28.65,28.72,28.412829,28.51,28.0587337319733,7062090,0.0000,1.0
2026-01-27,28.53,28.625,28.32,28.5,28.0488920154766,7306593,0.0000,1.0
2026-01-28,28.48,28.615,27.82,27.89,27.4485473091804,9103477,0.0000,1.0
