ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-19,2026-03-05,2026-03-19,2026-04-09,0.45
2025-12-17,2025-12-04,2025-12-17,2026-01-08,0.45
2025-09-18,2025-09-04,2025-09-18,2025-10-09,0.45
2025-06-18,2025-06-05,2025-06-18,2025-07-10,0.4325
2025-03-20,2025-03-06,2025-03-20,2025-04-03,0.4325
2024-12-17,2024-12-05,2024-12-17,2025-01-09,0.4325
2024-09-18,2024-09-05,2024-09-18,2024-10-03,0.4325
2024-06-18,2024-06-07,2024-06-18,2024-07-03,0.415
2024-03-20,2024-03-07,2024-03-21,2024-04-04,0.415
2023-12-20,2023-12-07,2023-12-21,2024-01-04,0.415
2023-09-20,2023-09-07,2023-09-21,2023-10-05,0.415
2023-06-21,2023-06-08,2023-06-22,2023-07-06,0.39
2023-03-22,2023-03-09,2023-03-23,2023-04-06,0.39
2022-12-21,2022-12-08,2022-12-22,2023-01-05,0.39
2022-09-21,2022-09-08,2022-09-22,2022-10-06,0.39
2022-06-22,2022-06-09,2022-06-23,2022-07-07,0.36
2022-03-23,2022-03-10,2022-03-24,2022-04-07,0.36
2021-12-22,2021-12-09,2021-12-23,2022-01-06,0.36
2021-09-23,2021-08-04,2021-09-24,2021-10-07,0.36
2021-06-23,2021-06-10,2021-06-24,2021-07-08,0.33
2021-03-24,2021-03-11,2021-03-25,2021-04-08,0.33
2020-12-22,2020-12-10,2020-12-23,2021-01-07,0.33
2020-09-29,2020-09-10,2020-09-30,2020-10-08,0.33
2020-06-29,2020-06-11,2020-06-30,2020-07-10,0.2975
2020-03-30,2020-03-12,2020-03-31,2020-04-09,0.2975
2019-12-26,2019-12-12,2019-12-27,2020-01-09,0.2975
2019-09-26,,,,0.2975
2019-06-27,,,,0.2875
2019-03-28,,,,0.2875
2018-12-27,,,,0.2875
2018-09-27,,,,0.2875
2018-06-27,,,,0.2625
2018-03-28,,,,0.16
