date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2017-11-30,18.2500,19.7500,18.2500,19.7500,12.7404,12498538,0.0000
2017-12-29,19.7500,21.0000,19.5000,20.5000,13.2242,4574171,0.0000
2018-01-31,20.0000,22.9900,19.5000,22.0000,14.1918,7727852,0.0000
2018-02-28,21.0800,21.3300,18.4900,19.5500,12.6114,98085651,0.0000
2018-03-29,19.5500,19.7500,17.8550,18.3200,11.9214,73084047,0.1600
2018-04-30,18.3500,18.4200,17.5800,18.1800,11.8303,40567630,0.0000
2018-05-31,18.1000,20.0500,17.7900,19.3700,12.6047,77578415,0.0000
2018-06-29,19.6600,21.0900,19.4750,20.6400,13.6033,90364196,0.2625
2018-07-31,20.5700,21.2500,20.2400,20.3500,13.4121,32388915,0.0000
2018-08-31,20.2900,21.0100,19.3000,20.9100,13.7812,41898371,0.0000
2018-09-28,20.8500,21.8100,20.7250,21.6200,14.4429,75531626,0.2875
2018-10-31,21.6500,22.1500,20.4300,21.5900,14.4228,68592668,0.0000
2018-11-30,21.5700,22.3700,21.0100,21.7700,14.5431,159724462,0.0000
2018-12-31,21.8600,22.0700,17.6400,18.7800,12.7422,85440948,0.2875
2019-01-31,18.6100,21.6100,18.3300,21.5300,14.6081,78187811,0.0000
2019-02-28,21.5600,21.8100,21.0800,21.3100,14.4588,64873824,0.0000
2019-03-29,21.3100,22.1400,20.8500,21.8800,15.0413,59240367,0.2875
2019-04-30,21.8900,22.8500,21.5150,22.8000,15.6738,58364796,0.0000
2019-05-31,22.8500,23.0150,21.7800,22.1800,15.2476,61798068,0.0000
2019-06-28,22.2300,23.2700,21.4000,22.0400,15.3520,114675374,0.2875
2019-07-31,22.3100,22.7400,20.9800,21.3400,14.8644,134709510,0.0000
2019-08-30,21.3900,22.2100,20.4740,22.1600,15.4356,76151341,0.0000
2019-09-30,22.0800,23.0600,21.6120,22.6500,15.9855,77953250,0.2975
2019-10-31,22.6300,24.0100,22.3700,23.5500,16.6207,99528350,0.0000
2019-11-29,23.7900,24.9400,23.7400,24.7300,17.4535,104431673,0.0000
2019-12-31,24.6700,25.5500,24.1400,25.5500,18.2465,73191323,0.2975
2020-01-31,25.6200,27.1300,24.7100,26.8000,19.1392,72341217,0.0000
